landfall	(航海・飛行後初めての)陸地発見,陸地到達 / その発見(到達)した陸地
landfill	〈C〉ごみ埋め立て地 / 〈U〉埋め立てごみ
landholder	〈C〉土地所有者 / 地主(＝landowner) / 〈C〉土地の権利を持つ人(所有・賃貸・相続など形態を問わず)
landholding	土地所有
landing	上陸,着陸,着水 / (貨物の)陸揚げ / (また『landing place』)着陸(上陸)場,荷揚げ場,埠頭(ふとう) / (階段の)おどり場
landing craft	上陸用舟艇
landing field	飛行場
landing gear	(航空機の)着陸装置(車輪,フロートなど)
landing net	たも網(針にかかった魚を水からすくい上げる長い柄のついた網)
landing party	上陸部隊,陸戦隊
landing stage	浮き桟橋
landing strip	臨時(緊急)滑走路
landlady	女性の家主 / (旅館・下宿などの)『女主人』,おかみ / 家主の妻
landlocked	陸地で囲まれた / もっぱら淡水に住む
landlord	家主 / (旅館・下宿などの)『主人』,だんな
landlubber	新米(しんまい)船員
landmark	(土地の)境界標識 / (航海中の船舶などからの)陸標;目印になる建物(木など) / 歴史的な事件,画期的なでき事 / 重要文化財の建物,史跡
landmass	大陸地
landmine	地雷
landowner	地主,土地所有者
landscape	〈C〉(土地の)『風景』,ながめ,けしき / 〈C〉風景画(写真);〈U〉風景画法 / (樹木を植えたり地形を変えたりして)〈土地〉を造園する,美化する
landscape gardener	庭師,造園家
landscape gardening	造園術,庭造り
landslide	〈C〉地すべり,山くずれ / 〈U〉地すべりした土砂 / 〈C〉(選挙の)地すべり的大量得票,圧倒的大勝利
landslip	=landslide1,2
landsman	陸上生活者;陸上勤務者
landward	陸の方へ,陸に向かって / (海岸から離れて)陸地寄りにある,陸に面した;陸地の方へ向かう
lane	『小道』,横町,路地,いなか道 / (船・飛行機などの)航路,(車道の)車線 / (ボウリングの)レーン
lang.	language
language	〈U〉『言語』,言葉 / 〈C〉(一国家・一民族の持つ)『国語』,…語 / 〈U〉(文字・話し言葉以外の)伝達記号,人工言語;(動物の)伝達手段(鳴き声・身ぶりなど) / 〈U〉(個人・特定のグループなどの)『言葉遣い』,語法,(専門の)用語,術語 / 〈U〉語学,言語学(linguistics)
language laboratory	ラボ,語学実習室
languid	活気のない,熱意のない;ものうい,だるい
languish	〈人・動物が〉元気(活気)をなくす,弱る / 〈話・雰囲気・興味などが〉だれる / (…を)思いこがれる《+『for』+『名』》
languisher	元気(活気)のない人
languor	(体の)けだるさ,疲れ / (気持ちの)無気力,ものうさ / 動きのないこと,どんよりとしていること / 《しばしば複数形で》物思い,ものうい感傷
languorous	けだるい;不活発な
lank	ひょろ長い / (毛髪が)だらんと生気なく垂れた
lankily	ひょろ長く
lankiness	ひょろ長いこと
lanky	ひょろ長い,ひょろひょろした
lanolin, lanoline	ラノリン(羊毛から採る石けん,化粧品の原料)
lantana	ランタナ(香気のある熱帯植物)
lantern	『ランタン』,ちょうちん,角灯,カンテラ / (灯台の頂上にある)灯室 / 明かり窓
lantern jaw	やせ細った長いあご
lantern-jawed	やせ細ったあごの
lanternslide	(幻灯用の)スライド
lanthanum	ランタン(希土金属元素;化学記号は『La』)
lanyard	ラニヤード,括帆(かっぱん)索(帆・なわばしごなどを固定する短いロープ)
