last name	(名に対する)姓
last straw	(破滅をもたらす)最後の一小事,忍耐の限度を越えさせるもの
last word	(議論の末の)最後の言葉,結論 / 《話》(…の)最新型,最高権威[者]《+『in』+『名』》
last-ditch	絶体絶命の,死力を尽くした
lasting	『永続する』;長持ちする
lastly	最後に,結局
lat.	latitude
latch	(ドアなどにつける戸締まり用の)『掛け金』,かんぬき / 〈ドアなど〉に掛け金を掛ける / 〈ドアなどが〉掛け金が掛かる
latchkey	(玄関・門などの)掛け金のかぎ
latchkey child	かぎっ子
latchstring	掛け金ひも(戸の穴から通してひも掛け金を外側からはずす)
late	(定刻・通常・予定の時間より)『遅れた』,遅い / (時刻が)『遅い』,遅く始まる,遅くまで続く;夜更けの / (時期が)『遅い』,終りごろの,後期の / 『最近の』,最新の(recent) / 《the~,one's~》『前の』,先の,前任の(former) / 《the~,one's~》『故』…,つい先ごろ死んだ / (定刻などより)『遅れて』,遅く / (時刻が)『遅く』,遅くまで,(特に)夜更けに;(時期が)遅く,終りごろに / 『最近』,近ごろ(recently)
late-breaking	(情報など)今分かったばかりの
latecomer	遅れて来た人;最近来た人(物)
lateen	大三角帆(地中海の帆船に見られる)
lately	『近ごろ』,最近
latency	潜伏,潜在
lateness	遅いこと,遅れ,遅刻
latent	潜在(潜伏)している,隠れている
latent heat	潜熱(物質の変化の際放出または吸収される熱)
later	《補語にのみ用いて》(人などが)(…するのが)『もっと遅い』《+『in』+『名』(do『ing』)》 / (時刻・時期が)『もっと遅い』,もっと後の / 後で,のちほど / (lateの比較級)(定刻・予定時間・他の人(物))より遅れて,遅く
lateral	横の,側面の;横からの / (音声が)側音の / 側面,(道路の)側溝(そっこう) / 側音(英語の[1]など)
latest	最も遅い / 『最近の』,最新の / 《名詞的に》《単数扱い》(ニュース・流行・製品などの)最も新しいもの / いちばん遅く
latex	ラテックス(ゴムの木などから出る乳状の液で塗料・接着剤に用いる)
lath	木摺(きずり),木舞(こまい)(壁下地などに用いる細長い薄板);《集合的に》木摺,木舞
lathe	旋盤
lather	石けんの泡 / (馬などの)泡汗 / …に石けん泡を塗る(泡を立てる) / 〈石けんが〉泡立つ / 〈馬などが〉全身泡汗をかく
lathery	泡の,泡だらけの
latitude	〈U〉『緯度』(《略》『lat.』) / 《複数形で》(緯度からみた)地帯,地方 / 〈U〉(思想・行動などの)自由;自由の範囲,許容の程度 / 〈U〉(露出の)寛容度(最少露出から最高露出までのフイルムの許容感度の幅)
latitudinal	《名詞の前にのみ用いて》緯度の
latitudinarian	行動・思想などに寛容な人,自由主義者
latitudinarianism	(行動・思想における)寛容主義,自由主義
latrine	便つぼ(戦地・野営地などで便所用に掘った穴・みぞ)
latter	《the, thisまたはtheseと共に名詞の前にのみ用いて》(ある期間のうち)『後半の』,後のほうの / 《the~》(前述した二者のうちの)『後者の』
latter-day	《名詞の前にのみ用いて》近代の,現代の
lattice	格子(こうし) / 格子窓,格子の戸(門) / …を格子模様(造り)にする / …に格子を取り付ける
latticed	格子つきの,格子作りの
latticework	〈U〉格子作り(細工,模様) / 〈C〉格子
laud	…を高く賞賛する
laudable	(行動・行為が)賞賛に値する
laudanum	アヘンチンキ(鎮痛剤)
laudatorily	賞賛して,賛美して
laudatory	賞賛の,賛美の
laugh	(声を立てて)〈人が〉『笑う』 / 〈目・口もとなどが〉うれしそうに笑う / 〈動物,特にハイエナなどが〉笑い声に似た声(音)を出す / …を笑って言う / 《a+形容詞+laughを目的語にして》…の笑い方をする / 〈人〉を『笑う』 / 『笑い』;笑い声;笑い方 / 《話》笑いの種,冗談(joke)
laughable	笑いを誘う;(特に)失笑を買う
laughably	笑いを誘って,失笑を買って
laughing	笑っている;笑っているように見える(聞こえる) / 笑いを誘う(laughable) / 笑い,笑い声(laughter)
laughing gas	笑気(亜酸化窒素;歯科医が短時間用麻酔に用いる)
laughing jackass	=kookaburra
laughingstock	(世間の)笑い草,物笑いの種
laughter	『笑い』,笑い声
launch	〈ボート〉を水面に降ろす;〈船〉を『進水させる』 / (…に向かって)〈やりなど〉を投げる《+『名』+『at』(『against』)+『名』》;(…に)〈ロケットなど〉を打ち上げる,発射する《+『名』+『into』+『名』》;(艦上などから)〈飛行機〉を飛び立たせる《+『名』+『from』+『名』》 / (…に)〈攻撃など〉を加える,〈非難など〉を浴びせる《+『名』+『at』(『against』)+『名』》 / 〈計画・事業など〉を『始める』 / (事業などに)〈人〉を乗り出させる《+『名』+『in』(『into, on』)+『名』》 / 乗り出す / 〈船が〉進水する;〈航空機などが〉発進する / (船の)進水;(ロケット・宇宙船などの)発進 / ランチ(甲板のない小型モーターボート) / (軍艦に常備されている)大型モーターボート
launch vehicle	宇宙船(ミサイル)の推進用ロケット
launch window	ロケット打上げの発射時間帯
launcher	(ミサイルなどの)発射装置
launching pad	(ロケットの)発射台
launder	〈衣類など〉を洗濯する,洗濯してアイロン仕上げをする / 〈衣類などが〉洗濯とアイロンがきく(できる)
launderette,launderet	=laundromat
laundress	洗濯女(人の家に行って,あるいは自分の家に持って帰って洗濯する女性);クリーニング屋の女性従業員
laundromat	コインランドリー(《英》laundrette)
laundry	《集合的に》『洗濯』[『物』] / 〈C〉『クリーニング屋』 / 『洗濯室』(laundry room)《形容詞的に》
laundry basket	洗濯物用かご
laundry list	(洗濯屋に出す)洗濯物の表 / 《米話》(雑然と並べた)一覧表
laundryman	クリーニング屋の男性従業員
laundrywoman	=laundress
laureate	《文》(名誉の印として)月桂冠(げっけいかん)をいただいた,桂冠(けいかん)の / (ある分野で)非常にすぐれた,名誉ある / 桂冠詩人(poet laureate)
laurel	『ゲッケイジュ』(月桂樹) / (勝利・名誉のしるしとしての)月桂冠 / 《複数形で》栄冠,名誉
lava	(火山から噴出する高温の)溶岩;(すでに冷えた)火山岩
lavabo	(中世の僧院で用いた)手洗いばち
lavage	(特に胃などの)洗浄
lavaliere	ラバリエール(宝石をちりばめたペンダント)
lavatory	(学校・ホテルなどの共同の)洗面所,化粧室;便所,トイレ / 《おもに》便器 / 《米》(洗面用の)流し台
lave	…を洗う(wash), 浸す / 〈流れなどが〉〈岸〉を洗う
lavender	ラベンダー(シソ科の小低木;芳香ある紫色の穂状の花をつける) / ラベンダー色,フジ色 / (衣類などの香料として用いる)ラベンダーの乾燥葉(花) / ラベンダー色の;ラベンダーの香りをもつ
lavish	『気前のよい』 / 豊富な,多すぎる / (人・物事に)〈金・愛情など〉を『惜しまず与える』,浪費する《+『名』+『on』(『upon』)+『名』》
law	〈U〉《the ~》《集合的に》(法律・法規を総称して)『法』 / 〈U〉〈C〉(個々の)『法律』,法規 / 〈U〉法の[統制]力 / 〈U〉法律学 / 〈U〉弁護士[業] / 〈U〉《the law》警察[力],警官(police) / 〈U〉法の適用(発動);訴訟(legal action) / 〈C〉(科学・芸術などでの)法則,きまり / 〈C〉〈U〉(一般に従うべき)おきて,ならわし,規則
law court	法廷(court of law)
law-abiding	法律を守る,法律に従う
lawbreaker	法律違反者
lawbreaking	法律を破ること / 法律違反の
lawful	『合法の』,法定の;(法律上)正当な;法律を適用できる
lawgiver	《文》立法者,法律制定者
lawless	(地域・国家などが)法律で規則されない,非合法の / (人が)法律に従わない,無法の
lawmaker	立法者,議員(legislator)
lawmaking	立法 / 立法の,法の定める
lawman	(昔の西部の)保安官
lawn	『芝生』[『地』] / ローン(ハンカチ・ブラウスなどに用いるごく薄地のリネンまたは木綿布)
lawn tennis	(特に芝生コートで行う)テニス,庭球
lawnmower,lawn mower	芝刈り機
lawrencium	ローレンシウム(人工の放射性金属元素;化学記号『Lw』)
