lay sister	平修道女
lay-by	《英》(道路の)待避所,(車や船などの)すれ違い場所
layabout	なまけ者
layaway plan	予約月賦制(頭金だけで品物を予約した完済後に品物を受け取る方式)
layer	《複合語を作って》(物を)積む人(物),置く人(物) / 卵を産む鶏 / (積み重なっている)層;(ペンキなどの)一塗り;一皮 / (園芸で)取り木 / …を層にする / 〈植物〉を取り木する
layette	赤ちゃん用品一式
layman	(僧職にある人に対して)俗人・平信徒 / (僧職にある人に対して)俗人・平信徒 / (専門家に対して)しろうと
layoff,lay-off	〈U〉労働者の一時的解雇 / {動} lay off の名詞形
layout	(都市や建造物などの)設計《+『of』+『名』》 / (書籍・新聞の)割り付け,レイアウト《+『of』+『名』》
layover	途中下車,立ち寄り(stopover)
laywoman	女性の平信徒
lazar	らい病患者
laze	怠ける,のらくら暮らす / 〈時間〉をのらくらして過ごす《+『away』+『名』,+『名』+『away』》 / のらくらする時間
lazily	怠けて,ぶらぶらして
laziness	怠惰,無精
lazy	(人・動物が)『怠惰な』,無精な,物ぐさな / (物事が)(人の)怠惰を誘う,けだるい,ものうげな / 動きがのろい / 《名詞的に;the lazy》怠け者[たち]
lazy Suzan	レイジー・スーザン:回転式食卓・回転盆(底に小さな車輪が付いており、円形の卓上に乗せて使う盆。中華料理店の円卓の中央にあり、その上に料理を乗せてクルクル回せるようになっているもの)
lazybones	怠け者,無精者
lb,lb.	pound(重量単位のポンド)[ラテン語libraの短縮形]
ld.	load
ldg.	landing
lea	草原,牧草地(meadow)
leach	〈水など〉をこす,ろ過する / (灰・土・鉱石などから)〈可溶成分〉をこして取る《+『out』+『名』(+『名』+『out』)+『from』+『名』》
lead	《方向を表す副詞[句]を伴って》…を『導く』,案内する / 〈道・灯火などが〉…に道筋を示す;(…へ)…を導く《+『名』+『to』(『into』)+『名』》 / …の先頭になる,1番である / …の『率いる』,指揮する / 〈ある人生・生活〉を経験する,生きる,送る / 『先頭に立つ』,(競技・成績などで)リードする / 〈人が〉『案内する』,先導する / (…に)〈道などが〉『通じている』《+『to』+『名』》 / (…の)結果となる《+『to』+『名』(do『ing』)》 / 〈U〉《the~》『先頭』,首位 / 〈C〉《a~》相手を引き離した点(時間,距離) / 〈C〉模範,手本(example) / 〈C〉(問題解決の)手がかり,ヒント(clue) / 〈C〉(劇・映画などの)主役,主演俳優 / 〈C〉(新聞報道記事などの本文の前におく要約した)前文,前書き,リード / 先頭の,主要な / 〈U〉『鉛』(化学記号は『Pb』) / 〈C〉鉛のおもり,測鉛 / 〈C〉《複数形で》(ガラスをはめる)鉛の枠(わく);《英》(屋根をふくのに用いる)鉛板 / 〈U〉〈C〉黒鉛,鉛筆のしん / 〈U〉《集合的に》(鉛の)弾丸 / …に鉛をかぶせる,鉛を詰める,鉛のおもりを付ける
lead poisoning	急性鉛中毒
lead time	製品の企画から完成までの期間
lead-in	(テレビ・ラジオの)アンテナの引込み線 / コマーシャル導入部分
leaded	(ガソリンが)四エチル鉛入りの
leaden	鉛の;鉛製の / 鉛色の / (鉛のように)重い,重苦しい,鈍い,陰うつな
leader	『指導者』,先導者,主将 / 《英》(また『leading article』)(新聞などの)社説,論説)editorial) / 《米》(釣り針を釣り糸に連結する)はりす(鉤素 / 《米》合唱団の指揮者;《英》(オーケストラの首席第1バイオリン奏者
leadership	『指導者の地位』(任務) / 『指導』,指揮 / 『指導力』,統率力 / 《集合的に》指導者たち
leading	『先導する』,先頭の / 『主要な』,一流の / 指導する / 指導
leading article	〈C〉新聞の社説
leading light	重要人物,有力者
leading reins	(幼児の肩に結びつける)歩行練習用の引き綱
leading strings	いつまでも続く厳しい指導(監督,束縛) / =leading reins
leaf	〈C〉(木・草の)『葉』 / 〈C〉花びら / 〈C〉(本などのページの裏表)『1枚』 / 〈U〉(金属の)薄片,箔(はく) / 〈C〉(折りたたみ式テーブルの)補助板 / 《おもに米》〈木が〉葉を出す《+『out』》 / (本などの)ページをばらばらとめくる,内容にざっと目を通す《+『through』+『名』》
leafage	葉
leafed	=leaved
leafhopper	ヨコバイ(植物の液汁を吸う害虫)
leafless	葉のない・葉の落ちた
leaflet	(広告などの)ちらし,びら / (とじてない)パンフレット,小冊子 / 小さい(若)葉;(植物の複葉を構成する)小葉
