ledger	元帳,原簿
lee	物陰,風下[の場所];(特に船の)風の当らない側 / 風下の
lee tide	順風潮(風の方向に流れる潮流)
leech	ヒル(血を吸う環形動物) / 高利貸し,搾取者・ファイルを(むやみに、または無断で)ダウンロードする
leek	ニラ,西洋ネギ
leer	横目,流し目;意地悪い目つき / (…を)横目(色目)で見る,意地悪い(いやらしい)目つきでにらむ(見る)《+『at』+(『upon』)+『名』》
leeringly	横目(色目)で,いやらしい目つきで
leery	用心深い,疑い深い
lees	(ぶどう酒などの)おり;(一般に)かす
leeward	風下の,風下にある / 風下へ(に) / 風下,風下の側
leeway	船や飛行機が風のために流される進路のずれ,偏流 / 時間の損失,遅れ / (時間・金銭などの)余裕,余地
left	leaveの過去・過去分詞 / 《名詞の前にのみ用いて》『左の』,左方の / 《しばしばl-》(政治上の)左翼の,左派の,革新派の / 左に,左方に / 《通例 the ~》『左』,左方,左側 / 《しばしばthe L-》左翼の政党(団体),左派 / 〈U〉(野球で)左翼,レフト(left field);〈C〉左翼手(left fielder) / 〈C〉(ボクシングで)左手打ち
left luggage office	手荷物一時預り所(《米》baggage room)
left-hand	《名詞の前にのみ用いて》 / 左側の,左方の / 左手による,左手の
left-handed	(人が)左ききの / (道具などが)左手用の / (機械などが)左回りの,左巻きの / 無器用な(clumsy) / 疑わしい,あいまいな
left-winger	左派(革新派)の人,左翼政党員(leftist)
leftfield	(野球で)左翼,レフト;左翼手の守備位置
leftfielder	(野球で)左翼手,レフト
lefthander	左ききの人,左腕投手
leftist	左派(革新派)の人,左翼政党員 / 左派の,左翼の,革新派の
leftover	(複数形:leftoversとして、特に食事などの)残り物,食べ残し,残飯 / 残りの,食べ残りの
leftward	左の方の,左方に向かった / 左の方へ(に),左手に
leftwards	《おもに英》=leftward
leftwing	左翼の政党(団体) / (政党・団体内の)左派(急進分子) / 左翼の,左派の
lefty	《話》左ききの人(選手)
leg	(人・動物の)『脚』 / (ズボン・靴下などの)脚をおおう部分,脚部 / (家具などの)脚,形(機能)が脚に似た物 / (三角形の底辺を除く)一辺 / (旅などの全行程の中の)一区切り,一区間
leg bye	(クリケットでの)デッドボール得点
leg-pull	からかい,悪ふざけ
legacy	(特に遺言によって相続する)遺産 / (祖先・先人から受け継いだ精神的・物質的)遺産
legal	『法律の』,法律上 / 法で定められた,法定の / 『合法の』
legal age	法定年齢,成年
legal aid	訴訟救助(貧しい人に対する弁護士料扶助)
legal fiction	便宜的真実(実際には虚偽でも正しいと主張すること)
legal holiday	法定休日
legal tender	法定貨幣,法貨
legalese	難解な法律文体
legalism	(特に極端な)法律尊重主義
legality	合法[性],適法
legalization,legalisation	合法化,公認
legalize,legalise	…を合法化する,公認する
legally	法律上,法律的に / 合法的に
legate	(特にローマ教皇の)使節
legatee	遺産受取人
legation	〈C〉公使館 / 《集合的に》全公使館員
legato	(演奏法で)レガートで,音を切らないで
legend	〈C〉『伝説』,言い伝え;〈U〉伝説文学 / 〈C〉伝説上の人物 / 〈C〉(メダルなどの)題銘,銘(inscription) / 〈C〉(地図・図表などの)説明,凡例(はんれい)
legendary	伝説の,伝説的な,伝説に記されている / 有名な
leger	(楽譜の)加線
legerdemain	(特に手先の)手品,奇術 / ごまかし
legged	足(脚)が…の,…本足(脚)の
leggings	きゃはん,ゲートル,すね当て;レギンス(小児用保温ズボン)
leggy	足のひょろ長い / 脚線美を持った
