lenient	寛大な,哀れみ深い,情け深い
lenitive	(薬などが)緩和性の,鎮痛性の
lenity	慈悲,寛容
lens	『レンズ』 / (目の)水晶体
lent	lendの過去・過去分詞
lentil	ヒラマメ,レンズマメ(平たい両凸レンズ状の種子を持つ;食用) / ヒラマメ(レンズマメ)の木
lento	(音楽が)おそい,ゆっくりした / ゆっくりと[演奏して]
leonine	ライオンの(のような)
leopard	ヒョウ
leopardess	雌ヒョウ
leotard	レオタード(軽業師・ダンサーが着用する体にぴったりした服)
leper	ハンセン病患者,らい病患者 / ハンセン病患者の
leprechaun	(アイルランド民話で)小妖精,小人
leprosy	ハンセン病,らい病
leprous	ハンセン病(らい病)にかかった;ハンセン病の,らい病の
lesbian	(女性間の)同性愛の / レズビアン,同性愛の女
lesbianism	(女性間の)同性愛
lese majesty	不敬罪,大逆罪 / 《話》(重要な人物に対する)冒瀆(ぼうとく)
lesion	傷害,傷 / (体の組織や機能の)障害
less	(量が)(…より)『もっと少ない』,いっそう少ない;(大きさ・価値・程度などが)(…より)『もっと少ない』,さらに劣る,もっと低い《+『than』…》 / もっと少なく,…ほどでなく《+『than…』》 / 《形容詞・副詞の劣勢の意の比較級を作るのに用いて》…ほど…でない《+『than…』》 / さらに少ない数(量) / …だけ足りない,を引いた
lessee	借地人,借家人
lessen	…を『少なくする』,小さくする,減らす / 『少なくなる』,小さくなる,減る
lesser	『いっそう小さい(少ない,重要でない)』,より劣った
lesson	《しばしば複数形で》『授業』,けいこ / (教科書などの)『課』 / 《複数形で》(授業に伴う)勉強 / 『教訓』,教え,戒め / (礼拝の時に読む)聖書の一節
lessor	貸主;地主,家主, 賃貸人
lest	…『しないように』,するといけないから / 《fear,danger,afraidなど恐れ・危険を表す動詞・名詞・形容詞の後に用いて》…『ではないかと』(that),という[ことを]
let	〈人・動物など〉に(…)『させる』,させておく,を(…する)ままにしておく(受動態にできない) / 〈物事〉を(…する)状態にする,に(…)させる / 《『let us(let's)』do》…『しよう』 / 《おもに英》〈土地・家など〉を『貸す』,賃貸する(《米》rent) / (人に)〈工事〉を請け負わせる《+『名』+『to』+『名』》 / (…から)〈液体・空気など〉を出す,漏らす,放出する《+『名』+『out of』+『名』》 / レット(テニスやバレーボールなどで,ネットに触れたためにもう一度やり直さなければならないサービスのこと) / 《文》妨害,障害
let's	let usの短縮形
letdown	失望,幻滅 / (速力・力などの)減少,減退
lethal	死をもたらす,致死の;死をもたらす目的の
lethargic	昏睡[状態]の;無気力の,無感動の,不活発の / 眠気を催させる
lethargy	昏睡[状態];無気力,無感動,不活発
