ligneous	木のような,木質の
lignify	木質化する / …を木質化する
lignite	亜炭,褐炭
lignum vitae	ユソウボク;〈U〉ユソウボク材(熱帯産;硬質で定規などに用いる)
likable, likeable	好ましい
like	…を『好む』,が好きである / 《しばしば否定文で,またwould,《英》shouldと共に用いて》…を望む,…したい / 『好む』;望む / 《複数形で》好み,好きな事 / (外観・性質などが)…『に似た』,のような / (やり方,程度などが)…『と同じように』 / …『らしい』,にふさわいし / 《おもに話》たとえば…のような / 《名詞の前にのみ用いて》(性質・外観などが)同じの,(数量が)等しい / 《補語にのみ用いて》似ている,そっくりで / たぶん,おそらく(probably) / (…に)似た人(物),(…と)同等の人(物),匹敵する人(物)《+『of』+『名』》 / …のように / あたかも…のように
likeable	=likable
likelihood	(…が)ありそうなこと,(…の)見込み,可能性(probability)《+『of』+『名』》
likely	《補語にのみ用いて》…『しそうな』,らしい / 《名詞の前にのみ用いて》『ほんとうらしい』,ありそうな / 『適切な』,あつらえ向きの / 『たぶん』,おそらく(probably)
likeminded	同じ心(意見,趣味)をもった
liken	(…に)…をたとえる《+『名』+『to』+『名』》
likeness	〈U〉(…と)『似ていること』;〈C〉(…との)類似点《+『to』+『名』》 / 〈C〉《古》肖像画,写真 / 〈U〉外観,姿
likewise	『同様に』(in the same way) / …もまた(also);さらに(moreover)
liking	(…の)『好み』,趣味《+『for』(『to』)+『名』》
lilac	〈C〉ライラック,リラ;〈U〉ライラック(リラ)の花 / 〈U〉薄紫色 / ライラック色の,薄紫色の
lilo	空気ベッド(プラスチック製で海岸などで用いる)
lilt	軽快に歌う(動く) / …を軽快に歌う / 軽快な歌(調子,動作)
lily	『ユリ』;ユリの花 / (フランス王家の)ユリの紋章 / ユリのような,ユリのように白い(清純な)
lily of the valley	スズラン
lily pad	(水に浮かんだ)スイレンの葉
lily-livered	おく病な
lilywhite	ユリのように白い,純白の
lim.	limit
lima bean	ライマメ(食用の平たい豆;インゲン豆の一種)
limb	(動物の)『手足』;(鳥の)翼 / (木の)大枝
limber	しなやかな,柔軟な / 〈体〉を柔軟にする《+『up』+『名』,+『名』+『up』》 / 柔軟になる《+『up』》 / 砲の前車 / 〈他〉〈砲架〉に前車を付ける《+『名』+『up』,+『up』+『名』》
limbless	手足(翼)のない
limbo	辺獄,地獄の辺境(天国と地獄の間にあり,洗礼を受けないで死んだ子供,異教徒などの霊魂が住むとされる所)・拘留所; 無視; 忘却; 不安定, 中間(の状態);〈C〉(なおざりにされ忘れ去られたものの)捨て場所
lime	石灰 / 鳥もち(birdlime) / …に石灰をまく;…を石灰で処理する / …に鳥もちを塗る;…を鳥もちで捕らえる / ボダイジュ,シナノキ / ライム(レモンに似た酸味の強い果実) / ライムの木
limeade	ライムエード(ライム果汁の清涼飲料)
limejuice	ライムジュース
limekiln	石灰焼きがま
limelight	石灰光(昔,舞台照明に用いた) / 《the~》人目につく立場・「in the…」として「晴れ舞台で、 評判になって」
limerick	リメリック(5行からなるこっけいな詩)
limestone	石灰石
limey	英国人 / 英国水兵
limit	(空間・行為などの)『限界』,《+『of』+『名』》 / 《しばしば複数形で;単数扱い》『境界』,境界線範囲,区域 / (数量などの)許容量,制限 / 適度に / …を『制限する』
limitation	〈U〉〈C〉『制限するもの』,制約;《複数形で》(能力などの)限界 / 〈U〉制限すること(されること)
limited	限られた,狭い / 《米》(鉄道・バスなどが)特別の,特急の / 《英》(会社が)有限の(《米》incorporated) / 特急列車(バスなど)
limited company	有限[責任]会社(《略》『Ltd.』)
limited liability	(会社の)有限責任
limited war	限定戦争
limiting	制限する,限定する
limitless	無限の
limn	《古》〈絵〉をかく / 《文》…を言葉で描写する
limo	=limousine
limonite	褐(かつ)鉄鉱
limousine	リムジーン(3‐5人乗りの運転席と座席が仕切られた箱型自動車) / 小型バス,(運転手つきの)大型乗用車
limp	『びっこを引く』 / 〈物事が〉ちぐはぐになる,もたつく / びっこを引くこと / ぐにゃぐにゃの,柔軟な / 気力のない,薄弱な
limpet	カサ貝(岩にぴったりはりつく) / (地位などに)かじりついている人
limpid	透明な,清く澄んだ
limpidity	透明;清澄
limy	石灰質の
lin.	lineal / linear
linage, lineage	(原稿・印刷物の)行数
linchpin	(車の)輪止め,くさび
line	『線』,筋,けい / (色・縫い目などの)『線』,しま;(顔・手などの)しわ(wrinkle) / (物・人の)『列』,行列(row) / 『綱』,糸,針金 / 電線,電話線,電信線 / (文章の)『行』;(詩の)『行』 / 《しばしばa~》《話》『短い手紙』(note) / 《複数形で》輪郭,外形(outline) / 境界線(boundary);限界,限度(limit) / (鉄道・バスなどの)路線;航路,空路 / 《複数形で》せりふ / 進路,道順(course);(考えなどの)筋道,方針 / 《しばしばone's~》(活動の)分野,方面;特意 / 家系,血統,血筋 / 在庫商品,仕入れ品 / 導管,パイプライン / 《しばしば複数形で》戦線,防御線 / …に『線を引く』,筋(しま,しわ)をつける / …に『沿って並ぶ;』(…を)…に沿って並べる《+『名』+『with』+『名』》 / (材料で)〈着物など〉に裏を付ける《+『名』『with』+『名』》 / (…で)…を満たす,(…を)…に詰め込む《+『名』+『with』+『名』》
line abreast	(艦隊の)横列
line astern	(艦隊の)縦列
line drawing	(ペンや鉛筆による)線画
line graph	[折れ]線グラフ
line of battle	戦列,戦線
line of scrimmage	(アメリカンフットボールの)スクリメージ線
line of sight	(銃の)照準線
line printer	ラインプリンター(コンピューターからの情報を印刷する機械)
lineage	血統,家系 / 《集合的に》子孫,一族
lineal	(子孫・先祖が)直系の,正統の / 線の,線状の
lineament	顔だち,人相 / 特徴
linear	線の,直線の / 線から成る,線を使った;線状の / (方程式が)一次の
linear measure	尺度,尺度法(長さの単位の体系)
linear motor	リニアモーター(ギヤを用いない方式の線型モーター)
linebacker	(アメリカンフットボールで)ラインバッカー(ラインマン(lineman)のすぐ後で守る選手)
lineman	(電信・電話の)電線工,電線作業員,架線係 / (鉄道の)保線係 / 《米》アメリカンフットボールでラインのポジションを守る選手
linen	『リネン』,亜麻布;リネン糸 / 《しばしば複数形で;単数扱い》リネン製品(特に敷布) / リネンの;リネン製の
linen basket	=laundry basket
lineout	(ラグビーで)ラインアウト
