linkman	(昔の)たいまつ持ち / 《英》(放送の)司会者
links	《単数・複数扱い》=golf course / 《複数扱い》(海岸の)砂地
linkup	連結点 / (軍隊・宇宙船の)連結,結合
linnet	ベニヒワ(小型の鳴き鳥)
linocut	リノリウム版画法;〈C〉リノリウム版画
linoleum	リノリウム(台所など室内敷物の一種)
linotype	ライノタイプ(タイプライター式に活字を打ち出す機械;商標名)
linseed	亜麻仁(あまに)(アマ(flax)の種子)
linseed oil	亜麻仁(あまに)油(塗料・印刷インクなどに用いられる)
linsey-woolsey	麻と毛をまぜた織物 / ごたまぜ
lint	リント布(柔らかくした綿布で包帯用) / (ほこりのようになってつく)糸くず
lintel	まぐさ(ドア・窓の上の横木)
liny, liney	線の多い,線を引いた,線のような, 皺の多い
lion	『ライオン』,しし / (ライオンのように)勇猛な人 / 名士,人気者,花形 / (英国の象徴としての)ライオン;しし紋
lion's share	最も大きい分け前,うまい汁[イソップ物語から]
lioness	雌のライオン,雌じし
lionhearted	(ししのように)勇猛な
lionization,lionisation	人をもてはやすこと,特別扱い
lionize,lionise	〈人〉をもてはやす,祭り上げる,名士扱いにする
lip	〈C〉『くちびる』,口もと / 《複数形で》(発音器官としての)くちびる,口 / 〈U〉《俗》生意気な言葉 / 〈C〉(容器などの)口,へり,縁;(峡谷・火山などの)口 / 〈C〉(植物の)唇弁(しんべん)
lip service	口先だけの好意,おせじ
lip-read	読唇(とくしん)術を解する
lip-reading	読唇(とくしん)術
lipase	リパーゼ(脂肪分解酵素)
lipid	脂質,あぶら
lipped	くちびる(口)のある,唇状の
lipstick	(棒状の)口紅
lipsync,lipsynch	口合わせ,口歌い(録音した歌やせりふに口を合わせること)
liq.	liquid / liquor
liquefaction	溶解,液化;液化状態
liquefy	…を液化させる / 液化する
liquescent	液化中の / 液化性の
liqueur	リキュール酒
liquid	『液体』,流体 / 『液体の』,液状の / (空気・水などが)澄んだ,透明な / (音・調子などが)なめらかな,流れるような;(動作などが)なめらかな / (資産・証券・紙幣などが)流動性の(現金化しやすいこと)
liquid air	液体空気
liquid measure	液量(gallon, pintのように液体を量る単位)
liquid paraffin	液体パラフィン(緩下剤)
liquidate	…を除く,廃止する / 〈負債〉を弁済する / (破産などで)〈会社〉を整理する / 《話》…を殺す,片づける / 整理する,清算する
liquidation	(負債)の弁済,(会社の)整理 / 殺害
liquidator	[公認]清算人
liquidity	(資産・証券などの)換金性,流動性 / 《まれ》流動的な状態
liquidize,liquidise	…を液化する
liquidizer	(台所用)ミキサー(《米》blender)
liquor	〈U〉〈C〉《英》『アルコール性飲料』,《米》(特に強い)蒸留酒(発酵によるぶどう酒やビールに対して,特にウイスキー・ブランデーなど) / 〈U〉(一般に)液体,(特に)野菜や肉の汁;(薬物の)溶液,水薬
liquorice	=licorice
lira	リラ(イタリアの貨幣単位)
lisle	ライル糸(堅くよった綿糸)
lisp	舌たらずに発音する(特に[s][z]を発音する) / …を舌たらずに発音する / 舌足らずの発音, プログラミング言語
lispingly	舌足らずに
lissome,lissom	しなやかな,柔軟な / 機敏な
list	(…の)『表』,一覧表,目録,明細書;『名簿』,カタログ《+『of』+『名』》 / …を『表にする』,の一覧表を作る / …を目録(名簿)に載せる;(…として)…を記録する《+『名+as+名(doing』)》 / (船体・建物などの)(…への)傾斜《+『to』+『名』》 / 〈船体・建物などが〉一方に傾く / …を望む / 望む
list price	(カタログなどの)表示価格,定価
listen	(聞こうとして)『聞く』,耳を澄ます / (忠告・理性などに)『耳をかす』,従う《+『to』+『名』》 / 聞くこと
listenable	《話》(耳に)快く聞こえる,聞きやすい
listener	耳を傾ける人,聞き手;(ラジオ)聴取者
listing	〈U〉(名簿などの)表の作成 / 〈C〉表の記載事項
listless	気乗りしない,無関心な
lists	(中世の)闘技場
lit	lightの過去・過去分詞 / literature / literally / liter
litany	(キリスト教会の)連祷(れんとう)(司祭語句に会衆が唱和する祈りの形式) / 《the L-》英国国教会祈祷書(the Book of Common Prayer)中の連祷・嘆願; 反復する詠唱; 延々と続くもの[リスト], 長談議, 退屈な説明
litchi	レイシ(中国産の常緑小高木) / レイシの実(薄皮の白い実で甘い)
litchi nut	レイシの実
liter,litre	リットル(メートル法の容量の単位《略》『l.,lit』)
literacy	読み書きする能力
literal	(訳などが)原文の語句に忠実な / (比喩(ひゆ)的でなく)文字通りの意味の / (人が)字句の意味にこだわる想像力のとぼしい / 事実通りの,誇張のない / 誤字,誤植
literalism	文字通りに解釈すること,直訳調 / 写実主義
literally	字句を追って,文字通りに / 全く,ほんとうに
literary	『文学の』,文芸の / 《名詞の前にのみ用いて》(人が)文学に通じた,文筆を業とする / 文語の,書き言葉の
literate	読み書きのできる / 学問のある / 読み書きのできる人 / 学問のある人
literati	学者連中,知識階級
literatim	一字一句・逐語的に,文字通りに
literature	『文学』 / 文献 / 文筆業,著述業 / 《話》(特に広告,宣伝の)印刷物《+『on』(『of』)+『名』》
lith.	lithograph / lithographic / lithography
lithe	(動作・体が)しなやかな
lithic	石(質)の・(膀胱(ぼうこう)などにできた)結石の
lithium	リチウム(金属元素;化学記号は『Li』)
lithograph	石版;石版画 / …を石版で印刷する
lithographic, lithographical	石版の
lithography	石版印刷術
lithology	岩石学 / 結石学
lithosphere	地殻
litigant	訴訟当事者
