little slam	リトルスラム(ブリッジで13トリックのうち12トリックを取ること)
little theater	実験劇場;小劇場向きの演劇
little toe	(足の)小指
little woman	うちの女房,愚妻
little-known	ほとんど知られていない
littleneck	ホンビノスガイ(食用の貝)
littoral	海岸の,沿海の / 海岸地方,沿海州
liturgical	礼拝式の
liturgy	礼拝式;《the ~》祈祷(きとう)書
livable,liveable	(家・気候などが)住みよい
live	『生きている』,生命がある / 《副詞[句]を伴って》〈人などが〉『生き続ける』 / 〈物事が〉長く続く,存続する / 《場所を表す副詞[句]を伴って》〈人などが〉『住む』,居住する / 《副詞[句]を伴って》『生活する』,暮らす / 人生を楽しむ,おもしろく暮らす / 《a+形容詞+lifeを目的語にして》〈…を生活〉をする / 〈思想など〉を実践する / 《名詞の前にのみ用いて》『生きている』 / 『活気のある』 / (問題などが)当面の / 燃えている / (弾丸などが)まだ爆発してない,未発の / まだ動いている(働いている),有効な / 電流が通じている / (放送が)生の,実況の
live birth	(死産に対し)生きて生まれた赤ん坊
live oak	北米南部や西部産の常緑のカシの数種
liveable	=livable
livelihood	『生計』,暮らしの費用
liveliness	元気のあること;陽気 / 鮮やかさ
livelong	長々しい
lively	『生気にあふれた』,活気のある(vigorous) / 陽気な(cheerful) / 独創的な(creative) / (色彩などが)鮮やかな(vivid) / (描写が)真に迫った / (ベールが)よくはずむ / 元気よくはやく,急いで
liven	…を活気づかせる《+『up』+『名』,+『名』+『up』》 / 活気づく《+『up』》
liver	(ある態度で)生活する人;居住者 / 〈C〉『肝臓』 / 〈U〉(食用にする)動物の肝臓,レバー
liver sausage	=liverwurst
liveried	お仕着せ(livery)を着た,そろいの服を着た
liverish	色が肝臓のような,赤褐色に近い / 肝臓障害のある / 怒りっぽい,気むずかしい
liverwort	ゼニゴケ
liverwurst	レバーソーセージ(《英》liver sausage)
livery	〈U〉〈C〉(従業員・召使・組合員などの)そろいの服,制服 / 〈U〉《詩》装い / 〈U〉(馬に与えられる)飼葉(かいば)の定量 / 《米》=livery stable / =liverish
livery company	ロンドンの同業組合の一つ;特殊なそろいの服を着ている
livery stable	貸し馬車屋;馬預り所
liveryman	貸し馬車屋 / 《英》(ロンドンの)同業組合員
lives	lifeの複数形
livestock	家畜
livid	鉛色の,土色の;(打ち身などで)青黒くなった / 《話》(怒って)青くなった
living	『生きている』 / 生活の;生活に適した / 『現存の』,まだ使われている / 『生き生きした』,活気のある / 『生き写しの』 / 〈U〉生存;生活状態,暮らし / 〈U〉《a~,one's~》『生計』,暮らしの費用(livelihood) / 《the~》《複数扱い》生きている人々
living daylights	「動詞 + living daylights out of誰々」の成句で、「誰々をこっぴどく…する」
living death	死ぬよりつらい生活,生き地獄 / 生きたままの埋葬
living fossil	生きた化石(太古に絶滅したと考えられているのに生存している動物)
living room	『居間』
living space	生活圏(国が人口増加などのために必要と主張する国土) / 床面積
living standard	(階級・個人の)生活水準(=standard of living)
living wage	生活給(最低生活ができる賃金)
lizard	トカゲ / トカゲの皮
ll.	lines
llama	ラマ(南米産ラクダの一種;その毛は織物の材料となる)
llano	(中南米諸国の)樹木のほとんどない大草原
lo	見よ,そら
lo and behold	なんとまあ
load	荷,積み荷,(バス・旅客機などの)乗客数 / 《しばしば複合語を作って》1台(1そう)分(の…)《+『of』+『名』》 / (精神上の)『重荷』,心配 / (個人または機械に割り当てられた)仕事量 / (鉄砲の1回の)装てん(charge) / 《複数形で》《俗》たくさん,多数(の…)《+『of』+『名』》 / (荷・乗客などを)〈車・船など〉に『積む』,載せる《+『名』〈車など〉+『with』+『名』》 / (車・船などに)〈荷など〉を『積む』,載せる《+『名』〈荷〉+『into』(『in,on,onto』)+『名』》 / 〈質問・結果など〉をねじ曲げる / (フイルム・弾丸などを)〈カメラ・銃など〉に装てんする,入れる《+『名』+『with』+『名』》 / (カメラ・銃などに)〈フイルム・弾丸など〉を装てんする,入れる,込める《+『名』+『into』+『名』》 / 荷を積む / 弾を込める
load line	満載喫水線(船に荷を満載したときの喫水線)
loaded	荷を積んだ,たくさん載せた / (質問・説明などが)ねじ曲げられた / 《俗》酔っぱらった / 《補語にのみ用いて》《俗》たんまり金がある
loadstar	=lodestar
loadstone	=lodestone
loaf	(一定の形に焼いた)『パンの一塊』 / (ある形にした食品の)『塊』 / 砂糖の円すい形の塊(=sugar loaf) / のらくらする,ぶらつく《+『around』(『along』),《英》『about』》;(…を)ぶらつく《+『about』(『along』)+『名』》 / 〈時〉をのらくらと過ごす《+『名』+『away』》
loafer	怠け者,のらくら者;浮浪人 / (モカシンふうの)つっかけ靴
loafsugar	角砂糖
loam	ローム(砂・有機物などを含んだ肥土;れんが・しっくいなどの材料)
loamy	ローム土壌の
loan	〈U〉(…の)『貸し付け』《+『of』+『名』》 / 〈C〉貸し付け金,貸与物 / 《『loan』+『名』〈間〉+『名』〈直〉=『loan』+『名』+『to』+『名』》《米》…に…を『貸す』(《英》lend)
loan collection	(展覧会のために)借り集めた美術品
loan shark	高利貸し
loanword	外来語,借用語
loath,loth	(…するのを)きらって,いやがって《+『to』 do》
loathe	…をきらう,がいやでたまらない
loathing	(…に対する)嫌悪(けんお),(…が)大きらいなこと《+『for』+『名』》
loathsome	胸の悪くなるような,いまわしい
loaves	loafの複数形
lob	(テニスで)〈ボール〉をゆるく高く打ち上げる / (クリケットで)〈ボール〉を下手投げでゆるく投げる / (テニスで)ボールをロブで返す / (テニスの)ロブで打った球 / (クリケットの)下手投げの緩い球
