longhair	《しばしば軽べつして》インテリ,知識人・クラシック音楽愛好家・ヒッピー
longhaired	長髪の / 《軽べつして》芸術家気取りの,インテリの・ヒッピーの
longhand	(タイプライター・速記などに対して)普通の文字の書き方
longheaded	賢明な
longhop	ロングホップ(クリケットではね返ってから比較的遠く飛ぶ球)
longing	『あこがれ』,熱望 / (目の表情などが)あこがれの,熱望している
longingly	熱望して,あこがれて
longish	やや長い,長めの
longitude	『経度』(《略》long.)
longitudinal	経度の / 長さの;縦の
longshoreman	港湾労働者,沖仲仕
longstanding	長く続いた,積年の
longstop	(クリケットで)捕手のすぐ後方の野手
longsuffering	しんぼう強い,我慢強い
longtime	長年の,長い間の
longueur	(文学作品などの)長たらしく退屈な箇所,だれ場
longways	縦に, 長さで
longwearing	=hardwearing
longwinded	息の長く続く / (話・文章などが)長たらしい,冗漫な
longwise	=longways
loo	便所
loofah	(体を洗う)ヘチマ, ヘチマの海綿状繊維, ヘチマ布巾
look	目を向ける,眺める / (ある状態に)『見える』 / 〈家などが〉(…の)方を向いている,(…を)見渡せる《+『on』(『upon,into,to,toward,over』)+『名』》 / 〈状況・事態が〉(…に)傾く,向かう《+『to』(『toward』)+『名』》 / 《命令の慣用表現で注意や要求・抗議など》 / …を『じっと見る;』…に目をやめる / …にふさわしく見える / …を(顔つき)で表す / 《単数形で》(…を)『見ること』《+『at』+『名』》 / 《単数形で》(人の)『顔つき』,表情,目つき / 《単数形で》(物事の)『外観』,様子 / 《複数形で》容ぼう,器量
look-alike	よく似た人(物)
look-in	さっと見ること,一べつ / 短い訪問 / (勝利などの)見込み
look-over	ざっと目を通すこと,点検
look-see	一見,視察
looker	《話》美しい人(女性)
looker-on	見物人,傍観者
looking glass	姿見,鏡(mirror)
lookout	〈U〉《しばしばa~》(…に対する)警戒,注意,見張り《+『for』+『名』》 / 〈C〉見張り人;見張り所 / 〈U〉《時にa~》《英話》眺め,見晴らし;前途 / 〈U〉《英話》(個人の)関心事
loom	(織物を織る)機(はた),織機 / ぼうっと現れる,ぼんやりと大きく見えてくる《+『up』》 / 〈危険・困難などが〉不気味に迫る
loon	アビ(不気味な鳴き声を出す北半球産の海鳥) / 役に立たない人,ばか
loony	《俗》気の狂った / 気違い
loony bin	精神病院
loop	(糸・ひも・針金などで作った)『輪』・輪状のもの;(輪状の)湾曲部・(宙返り飛行・スケートなどで描く)輪・ループ (ある条件が成立するまで繰り返し実行される,プログラム中に記述された一連の命令のこと)・仲間、影響を受け合う間柄・同列の立場・「keep誰々in the loop」として、「keep誰々informed:情報を(人)に絶えず提供し続ける、報告を(人)に欠かさない、(人)に逐次連絡する、(人)に常に通知する」・避妊リング; (鉄道・電線などの)環状線(loop line)・…を輪にする,輪で囲む・…を輪で結ぶ,輪で締める《+『up』+『名,』+『名』+『up』》・輪になる,輪を描く
loophole	(要さいなどの監視・射撃用の)小窓,銃眼 / (特に法律・規則の)抜け穴,逃れ道
loose	『結んでない』,解けている,ばらの / 『解き放たれた』,自由な(free) / 『緩い』,だぶだぶの;ぐらぐらの / 『散漫な』,不正確な,あいまいな / 大ざっぱな,漠然とした / (行為などが)だらしのない,ふしだらな / (織物などが)目の粗い / …を『放す』,自由にする(set free) / …を緩める;〈結び目など〉を解く / 〈矢・弾丸など〉を放つ,発射する
loose end	未処理事項
loose-leaf	(帳簿が)用紙の抜き差し自在な,ルーズリーフ式の
loosebox	放し飼いうまや
loosely	緩く,だらりと / 大ざっぱに,漠然と / だらしなく;不身持ちに
loosen	…を『緩める』 / 〈土など〉をばらばらにする / 〈制限・規定・訓練など〉を緩める / 『緩む』,ばらばらになる
looseness	緩いこと,ばらばらであること;散漫,締まりのなさ
loot	戦利品;略奪物;(官吏などの)不正所得 / …を略奪する;…を荒らす / 略奪行為をする;不正利得をする
looter	強奪者,略奪者
lop	〈不要な枝〉を切る,払う;〈木〉を刈り込む / (だらりと)垂れる,ぶら下がる
lop-eared	(動物が)耳の垂れた,垂れ耳の
