lovable, loveable	愛らしい,人好きのする
love	〈U〉(…に対する)『愛』,愛情《+『for』(『of,to,toward』)+『名』》 / 〈U〉《時にa~》(物事に対する)『強い好み』,愛好《+『of』(『for』)+『名』》 / 〈U〉恋愛 / 〈C〉《my~》愛人,恋人 / 《夫・妻子・愛人に呼びかけて》おまえ,あなた / 〈C〉愛好するもの / 〈C〉(テニスで)零点 / …を愛する / 〈物事〉が『大好きである』 / …に『恋する』,ほれる / 愛する;恋する
love affair	恋愛[事件],情事
love letter	ラブレター,恋文
love match	恋愛結婚
love song	恋歌
love story	恋物語,恋愛小説
loveable	=lovable
lovebird	つがい鳥(ボタンインコの俗称) / 《複数形で》《話》愛し合っている恋人同士
lovechild	私生児
loveless	愛のない;愛させない;かわいげのない
loveliness	愛らしさ,かわいらしさ;美しさ
lovelorn	恋人に捨てられた;失恋に悩んでいる
lovely	『美しい』,ほれぼれするような,かわいらしい / 《話》『すばらしい』,愉快な / 美人,かわいい娘(こ)
lovemaking	愛のいとなみ;性行為・性交;《古》求愛
lover	『愛する人』,恋人《複数形で》恋人同士 / (…の)『愛好家』,(…を)愛する人《+『of』+『名』》
loveseat	二人掛けのいす
lovesick	恋に悩む,恋わずらいの
lovey	(呼びかけに用いて)おい,ちょっと,おまえ, = lovey-dovey
loving	(人を)『愛する』,愛情深い
loving cup	賞品(優勝)の大カップ / 親愛の杯(祝宴で飲み回す大杯)
loving-kindness	いつくしみ,慈悲,思いやり
lovingly	愛情を込めて,優しく
low	(高さ・位置が)『低い』,低い所にある / (価格・数量・程度などが)『低い』,少ない / (身分・地位などが)『低い』,卑しい / (人格・行為などが)『卑しい』,下劣な,下品な / 《補語にのみ用いて》(体が)『弱った』;元気のない,憂うつな / (供給が)不十分な;(…が)乏しい《+『in』(『on』)+『名』》 / (音・声が)低い,小さい / (生物が)下等な / 『低く』,低い所に / (価格・程度などが)『安く』,低く / 低い声(調子)で;静かに / 最低点,最低水準 / (牛の)モーという鳴き声 / (牛が)モーと鳴く
low beam	下向き光線(自動車のヘッドライトの下向きの方)
low comedy	茶番,低級な喜劇
low frequency	低周波(毎秒30‐300キロヘルツの周波数;《略》『LF』)
low gear	低速ギヤ
low profile	《通例単数形で》低姿勢
low relief	=bas-relief
low season	一年のうちでいちばん仕事がなく賃金の安い時期
low tide	干潮,干潮時
low water	(川などの)最低水位[時]
low-key	(文体などが)控え目の, 地味な, = low-keyed
low-lying	低い,低地の
low-minded	心の卑しい,あさましい
low-necked	(婦人服が)えりぐりの深い
low-pitched	調子の低い;(屋根が)傾斜の暖い
low-pressure	低圧の;低気圧の
low-rise	(建物が)低層の
low-spirited	元気のない,意気消沈した
low-tension	(電気が)低圧の
lowborn	生まれの卑しい
lowboy	低い脚のついたたんす
lowbred	育ちの悪い,しつけの悪い
lowbrow	《軽べつして》教育(知性,趣味)の低い人 / 教養(知性,趣味)の低い,低級な
lowdown	(…の,…に関する)実情,内幕《+『on』+『名』》 / (行為が)卑しい,下劣な
lower	(lowの比較級)『もっと低い』,(価格が)もっと安い / 《名詞の前にのみ用いて》『下級の』;低い(下の)ほうの / …を『下げる』,降ろす / 〈価格・程度・量・調子など〉を『下げる』,小さくする,低下させる / 〈人〉を品位(品格)を落とす / 低くなる,下がる,減る / (…に向かって)顔をしかめる,まゆをひそめる《+『at(on, upon)』+『名』》 / 〈空模様が〉険悪になる,〈雨などが〉降りそうな / しかめっつら / 険悪な空模様
lower case	小文字の, 小文字で印刷した[組んだ, 書いた] / 小文字で印刷する[組む]; 【校正】 〈大文字を〉小文字に換える / 小文字(活字) / ロアーケース 《小文字および数字・句読点・スペース・クワタを入れる活字箱》
lower class	下層階級
lower deck	〈C〉下甲板 / 〈U〉《the~》《集合的に》水兵
lowercase	(活字の)小文字 / 小文字[盤]の
lowering	低くする,低下させる;堕落させる / (空模様が)険悪な,荒れ模様の / しかめっつらの,(顔つきが)不機嫌な
lowermost	最低の,どん底の
lowery	(空模様などが)陰気な,荒れ模様の
lowest	(lowの最上級)最下の,最低の,最少の,最も安い
lowest common denominator	=least common denominator
lowest common multiple	=least common multiple
lowland	〈U〉〈C〉低地 / 《the Lowlands》スコットランド南東部の低地地方
lowliness	(地位・身分などの)低いこと / 腰の低いこと,謙そん
lowly	(身分が)低い,卑しい;みすぼらしい / 腰が低い,謙そんした / 卑しく;みすぼらしく;謙そんして
lox	サケのくん製の一種 / 液体酸素
loyal	『忠実な』,誠実な(faithful) / 『忠誠な』,忠義な
loyalist	(特に反乱時における)国王(政府)の支持者,王党員 / 《しばしばL-》《米国独立戦争当時の英国側の人,英国保守党員
loyally	忠義を尽くして,忠実に
loyalty	〈U〉(…に対する)忠義,忠誠;忠実,忠節《+『to』+『名』》 / 〈C〉《複数形で》忠実な行為;忠節関係
lozenge	ひし形;ひし形の物(紋・窓ガラスなど) / (もと,ひし形の)甘味入り錠剤
lt.	light
luau	ルーアウ(豪勢なハワイ料理の宴会)
lubber	(体の大きな)ぶこつ者,無器用者 / 未熟な水夫
lube	潤滑油[を塗ること]
lubricant	滑らかにするもの,潤滑剤,潤滑油
lubricate	(摩擦を減らすために)〈機械など〉に潤滑油をさす(塗る),〈皮膚など〉を滑らかにする / 潤滑油として役立つ
lubricating oil	潤滑油
lubrication	滑らかにすること;(摩擦を減らすための)注油,給油
lubricator	滑らかにする人(もの);潤滑装置,注油器
lubricious	=lubricous
lubricous	(表面などが)なめらかな,つるつるした / みだらな,わいせつな
lucent	光る / 透き通った
lucerne	=alfalfa
lucid	分かりやすい,明快な(clear) / 正気の(sane) / 透き通った,透明な(transparent) / 《詩》明るい,輝いた(bright)
lucidity	(思想・表現・文体などの)明快,明せき;透明
lucidly	明快に;透明に
luck	『運』,巡り合わせ / 『幸運』
luckily	『運よく』,幸運にも
luckiness	幸運
luckless	不幸な,不運な
lucky	『幸運の』,運のよい / 幸運をもたらす
lucky dip	〈C〉福引袋 / 《単数形で》運
lucrative	利益が上がる,もうかる
lucre	(悪い意味で)利得,金もうけ,金銭
lucubrate	(特に夜間に)せっせと仕事(研究)する
ludicrous	おかしい,こっけいな,ばかばかしい(ridiculous)
ludo	さいころ遊びの一種
luff	船首を風上へ向ける
lug	…を力を込めて引く,引きずる《+『名』+『along』》 / 強く引くこと / (物を支えるための)突出部,取っ手,柄
luggage	《おもに英》『手荷物』,小荷物,トランク・スーツケースなどの旅行かばん類
luggage rack	(列車・バスの)網だな
luggage van	(貨車の)荷物車
lugger	ラッガー(ラグスル(lugsail)のついた小型帆船)
