lughole	耳(ear)
lugsail	ラグスル(長い四角の縦帆)
lugubrious	痛ましい,哀れな,陰気な
lugworm	タマシキゴカイ(釣りのえさ)
lukewarm	(液体が)なまぬるい,微温の(tepid) / (態度などが)不熱心な,気乗りのしない
lull	〈子供など〉を『なだめる』,寝かしつける / 〈感情など〉を『和らげる』;〈波・風など〉を静める / 〈風・あらしなどが〉『静まる』,治まる / 《単数形で》(風・あらしなどの)なぎ,小やみ;(病気の)小康《+『in』+『名』》
lullaby	子守歌
lumbago	腰痛
lumbar	腰の,腰部の
lumber	《米》(製材した)『材木』,板材(《英》timber) / 《英》がらくた,(場所ふさぎの)古道具;《話》《a~》やっかいもの / 《米》〈樹木〉を切って木材にする / …にがらくたを詰め込む《+『up』+『名』,+『名』+『up』》;(がらくたで)〈場所〉をふさぐ《+『up』+『名』〈場所〉+『with』+『名』》 / (…を)〈特に体重のある人が〉のっしのっしと歩く;〈重い車などが〉ガタガタと通る《+『down』(『along,by,past』)[+『名』]》
lumber mill	製材所
lumberjack	材木切り出し人
lumberman	材木切り出し人;材木商
lumberyard	材木置き場
luminary	《文》発光体(特に太陽や星などを指す) / (その道の)先覚者,指導者
luminesce	冷光を発する(熱を出さずに発光すること)
luminescence	(熱を伴わない)白光,冷光
luminescent	冷光を発する
luminosity	光輝,明るさ / 発光体
luminous	『光を発する』,光る,輝く(shining);明るい(bright) / 明白な(clear),分かりやすい
luminous paint	夜光塗料
lumme	(驚きを表して)おお,ああ
lummox	無器用者,のろま,でくのぼう
lump	(一定の形のない)『塊』 / 小さい立方体 / 『こぶ』,はれもの / 《話》のろま,まぬけ,でくのぼう / 《英話》《集合的に》飯場臨時作業員 / 塊になった / 一まとめの,一括した / 〈いくつかのもの〉を一まとめにする,一様に扱う《+『together』+『名,』+『名』+『together』》 / 塊になる / …を我慢する,じっとこらえる
lumpish	塊のような / 動作の鈍い,のっそりして / 頭の悪い,ばかな
lumpy	塊の多い;(表面が)でこぼこの,ごつごつの / (動作が)のろのろした,鈍重な / (水面が)波立っている,荒れた
lunacy	〈U〉精神異常,狂気のさた
lunar	{形}月の,月に関連する / 月のような / 青白い
lunar eclipse	〈C〉月食(地球の影が月にかかって、月が暗くなる現象)
lunar month	〈C〉月の満ち欠けの周期 / 〈C〉(太陰暦の基礎単位)太陰月
lunar year	太陰年(12太陰月で太陽年より約11日短い)
lunate	三日月形の
lunatic	精神異常者,狂人 / 精神異常者の;気違いじみた(crazy),非常に愚かな / 狂人のための
lunatic fringe	(主義・運動の)狂信派,過激派
lunch	〈C〉昼食 / 昼ごはん(= midday meal) / {動} 昼食をとる
luncheon	『昼食』 / (正式接待の場所の)午餐(ごさん)
luncheon meat	ランチョンミート(すぐ食べられソーセージ・固形肉など)
luncheonette	軽食堂
lunchroom	(特に学校・工場の)食堂
lunchtime	昼食時間
lunette	三日月形(半円形)の物;弦月窓
lung	《しばしば複数形で》『肺』,肺臓
lunge	(ナイフなどの突然の)突き刺し;(体などの)突進 / 突き刺き,突進する / …を突き刺す
lungfish	肺魚(えらのほかに肺を持ち空気呼吸をする淡水魚)
lungpower	肺活量
lunkhead	うすのろ, 馬鹿者, 能なし, 間抜け
lupine,lupin	ルピナス(マメ科の観賞植物)
lupus	(医学用語)ループス(自己免疫疾患の総称)
lurch	(船・車などが)急に前後(左右)に動くこと / (人の)よろめき,千鳥足 / 〈船などが〉急に揺れる;〈人が〉よろめく / 困惑,窮地
lure	『誘惑するもの』,魅力 / 《おもに英》(魚釣り用の)にせ餌(え);(他の鳥をおびき寄せるための)おとり / を『誘惑する』,おびき寄せる《+『名』+『on』》
lurgy	《英》《おどけて》病気(illness, disease)
lurid	(空・雲などが)赤々と輝く;(色などが)けばけばしい / ぞっとする;恐ろしい;ものすごい(terrible)
lurk	(…に)〈人・動物が〉『潜む』,潜伏する;(…に)〈感情などが〉潜在する《+『in』+『名』》 / (…を)こそこそ歩く,潜行する《+『about』+『名』》
luscious	おいしい,甘美な / (感覚・心に)快適な,うっとりさせる
lush	(草木が)生い茂った,青草の多い / 《話》豊富な,ぜいたくな / 飲んだくれ
