make-work	(労働者を怠けさせないための)不必要な仕事,余分な仕事
maker	〈C〉『製作者』,作る人,メーカー / 《複合語を作って》…製造業者,…屋 / 《the M-,our M-》造物主,神(God)
makeshift	当座の間に合わせの物,代用品 / 間に合わせの,一時しのぎの
makeup,make-up	〈U〉〈C〉化粧;(俳優などの)メーキャップ,(かつら・つけひげなどの)ふん装 / 〈C〉《単数形で》(…の)構造,構成,(出版物の)割付け《+『of』+『名』》 / 〈C〉《単数形で》体質;性質 / 〈C〉作り話,八百長 / (また『make-up test』)〈C〉《米》再(追)試験
making	〈U〉作ること,でき上がること;(…の)製造《+『of』+『名』》 / 〈U〉《the~》(人を)成功(進歩)させる原因《+『of』+『名』〈人〉》 / 《the makings》(…の)適性,素質;(…の)材料,原料《+『of』+『名』》
malachite	クジャク石(装飾品に用いる);マラカイト色(鮮やかな緑)
maladapted	適合しない,不調和の
maladjusted	調節の悪い,(特に人が)環境に適応できない
maladjustment	適合(調和)しないこと;(環境への)不適応
maladminister	…をやりそこなう,の処理を誤る
maladministration	やりそこない;悪政,失政
maladroit	無器用な,不手ぎわの / 無器用,不手ぎわ
malady	《文》疾病,病気,(特に)慢性病 / (社会の)病弊,弊害
malaise	〈U〉(病気の前兆の)気分のすぐれない状態,不快感 / 《単数形で》不安,いらいら
malamute	《時に『M-』》(そりを引く)アラスカ犬
malapert	《古》ずうずうしい,無遠慮な,厚かましい(impudent)
malapropism	(音が似ているために生ずる)言葉の誤用,意味の取り違い / (物事の)はき違い,取り違い
malapropos	《文》《大げさに》適当でない,不都合な / 不適当に,不都合に
malaria	(また『swamp fever』)マラリア / 《古》毒気
malarial	マラリア[性]の;マラリアにかかった
malarkey,malarky	くだらない話(文)
malcontent	不平の,不満の,反抗的な;(…に)不満を抱いた《+『with』+『名』》 / (特に政治・体制に対する)不満家,反抗者,造反者
malcontented	=malcontent
male	『男性の』,男の;(動物が)雄の,(植物が)雄性の / 《名詞の前にのみ用いて》(機械・器具などが)雄の差し込み口のある / 『男性』;(動物の)雄,雄性植物
malediction	《文》のろい,のろいの言葉(curse)
malefactor	《文》悪人,悪党;犯罪者
malefic	有害な,災いを呼ぶ
