marshalling yard	鉄道操車場
marshmallow	マシマロ(でん粉・シロップ・砂糖・ゼラチンなどで作った柔らかい菓子)
marshy	沼地の,湿地の;沼地のような
marsupial	有袋(ゆうたい)類動物 / 有袋類の
mart	市場,店;商業中心地
marten	〈C〉テン(イタチに似た動物) / 〈U〉テンの毛皮
martial	戦争の,軍事の / 勇ましい,軍人らしい;好戦的な
martial law	戒厳令
martin	イワツバメ
martinet	訓練のきびしい軍人;規律の厳格な人,やかまし屋[フランスの将軍の名から]
martingale	むながい(馬の頭を安定する馬具)・(船)第2斜檣(しゃしょう)を固定する支索
martini	マーティニ(ジンまたはウオツカとベルモットで作るカクテル)
martyr	『殉教者』 / (信念・主義などに)殉ずる人,(…の)受難者《+『to』+『名』》 / (…に)絶えず苦しむ人《+『to』+『名』》 / 〈人〉を信仰(主義)のために殺す(苦難を与える) / 〈人〉を苦しめる,迫害する
martyrdom	殉教;殉教者の苦難,殉死 / 苦痛,苦難
marvel	〈C〉『驚異』,驚き / 〈C〉《話》《a~》驚くほど(…)の人(物)《+『of』+『名』(抽象名詞)》 / (…に)『驚嘆する』,驚く《+『at』+『名』(do『ing』)》 / 《『marvel』+『that節』(『wh-節』)》〈…ということ,…かどうか〉に『驚嘆する』,を不思議に思う
marvelous,marvellous	『驚嘆すべき』,信じがたい / 優秀な,すばらしい
marvelously, marvellously	不思議に;すばらしく,奇妙に
marvelousness,marvellousness	不思議;すばらしさ,奇妙
marzipan	マーチパン(すりつぶしたアーモンドに砂糖・卵を加えて煮つめて作った菓子)
masc.	masculine
mascara	マスカラ(まつげ・まゆげを染める化粧品)
mascon	マスコン(月の表面下の重力集中地帯;mass concentrationの短縮形)
mascot	マスコット(幸運をもたらすと考えられる人・物・動物)
masculine	『男らしい』,男性的な / 『男の』,男子の / (女が)男まさりの / (文法用語で,語が)男性の / 男性形の単語;〈U〉男性形
masculinely	男らしく,男性的に
masculinity	男らしさ,男性的なこと
maser	メーザー(マイクロ波増幅器)
mash	もやし汁(ビールの原料) / ふすま(ひき割りなど)を湯で溶かした家畜の飼料 / どろどろにすりつぶしたもの / (調理などで)…をすりつぶす
mask	(顔の一部または全部をおおう)『仮面』,覆面 / (防護用の)『マスク』,面 / (石膏(せっこう)などの)面型 / (物・事柄を)覆い隠すもの;見せかけ / 〈顔〉に面をかぶせる / (…から)〈物・事柄など〉を隠す《+『名』+『from』+『名』》
masked	仮面をかぶった;変装した
masking tape	保護用紙テープ(塗装のとき非塗装部にはってはみだしを防ぐ)
masochism	被虐性変態性欲,マゾヒズム
masochist	被虐性変態性欲者,マゾヒスト
masochistic	嗜虐(しぎゃく)性の,被虐性変態性欲の
masochistically	嗜虐的に
mason	=stonemason / 《M-》=Freemason
masonry	石工職,れんが職 / 石(れんが)工事;石造(れんが造り)建築・《M-》=Freemasonry
masque	仮面劇(16‐17世紀ごろ英国貴族間に流行した一種の無言劇) / 仮装舞踏会
masquerade	仮装舞踏会 / 仮装;見せかけ / 仮面舞踏会に出る / (…に)仮装する,変装する《+『as』+『名』》
masquerader	仮面舞踏者;仮装(変装)した人
mass	〈C〉(一定の形をもたない物に用いて)(…の)『固まり』,集まり《+『of』+『名』》 / 〈C〉『多数』,多量(の…)《+『of』+『名』》 / 〈C〉《the ~》『大部分』(の…),(…の)主要部《+『of』+『名』》 / 〈U〉(物体の)大きさ,かさ / 《the masses》『一般大衆』,庶民 / 〈U〉質量(物体の基本的性質を表す量) / 〈人・物〉を集める,一団にする / 〈人・物が〉一かたまりになる,一団となる / 大衆の,一般に普及した / 大規模な
mass communication	(新聞・ラジオ・テレビなどによる)大衆伝達,マスコミ
mass media	大衆伝達の媒体(放送,新聞,映画など)
mass number	質量数(原子核を構成する中性子と陽子の個数の和)
mass production	大量生産
mass, Mass	ミサ(カトリック教会の聖餐(せいさん)式)
mass-market paperback	大市場用ペーパーバック(スーパーなどで売る)
mass-produce	(特に機械を利用して)〈物〉を大量生産する,量産する
