mealy bug	コナカイガラムシ(ろう質の分泌物で覆われた昆虫;植物の害虫)
mealy-mouthed	ものをはっきり言わない,率直でない
mean	〈人が〉…を『意図する』,のつもりである;…を言おうとする;示そうとする / 〈単語・句・文章などが〉…を『意味を持つ』,を『意味する』 / (人に対して)…を当てる,向ける《+『名』+『for』+『名』》 / 《受動態で》〈人・物〉を(…)向きにする / 〈物事が〉…を示す,表す / (結果として)〈物事が〉…をもたらす,生じさせる / 《『mean』+『for』+『名』+『to』 do》《米話》(…が…するような)つもりでいる / 《名詞の前にのみ用いて》(品質・価値・才能などが)『劣った』,つまらない / (人・行為などが)『卑劣な』,さもしい / 《古》(身分・地位などが)卑しい / 《まれ》(身なり・建物などが)みすぼらしい,見るもあわれな / 《米話》(動物が)御しにくい;(一般に)扱いにくい / 中庸,中道 / (数学で) / 平均[値];(特に)算術平均,相加平均 / (比例式の)中項,内項 / (両極端の)中間の,中央に位置する / (大きさ・品質・程度などが)平均的な,平均の
meander	〈川が〉(…を)曲がりくねって進む《+『through』+『名』》 / 〈人が〉(…を)当てもなくさまよう《+『along』(『through, across』)+『名』》 / 《しばしば複数形で》(川・道の)曲がりくねり
meandering	曲がりくねった,曲がりくねって流れる
meanderings	遊歩;遊歩道
meaning	(…の)『目的』,意義《+『of』+『名』》 / (語・文の)『意味』(sense)《+『of』+『名』》 / 意味ありげな様子,意味深長 / 《名詞の前にのみ用いて》意味ありげな,意味深長な / 《複合語を作って》…するつもりの,の意図をもった
meaningful	有意義な,意義のある
meaningless	無意味な
meanly	卑しく;みすぼらしく / 意地悪く,つれなく / けちに
meanness	〈U〉不親切,意地悪;(生まれ・社会的地位などの)卑しさ / 〈C〉卑劣な行為
means	〈C〉《単数・複数扱い》『方法』,『手段』 / 《複数扱い》『資力』,『財産』,富
means test	収入調査(失業給付される時の収入調査)
meant	meanの過去・過去分詞
meantime	『その間に』 / その同じ時に;一方では / 『合間』 / =Greenwich Mean Time
meanwhile	=meantime
meany	心の狭い人,卑しい人
meas.	measurable / measure
measles	はしか,麻疹(しん) / 風疹(German measlesなど,はしかに似ているが軽症)
measly	はしかの;はしかにかかった;はしかに似た / ごくわずかの,ちょっぴりの
measurable	測ることのできる
measurably	測ることができるほどに
