menthol	メントール,ハッカ脳(薬・香料に用いる)
mentholated	メントールを含んだ
mention	…を『簡潔に述べる』 / …の名を挙げる / 〈U〉(…について)『簡単に述べること』《+『of』+『名』(do『ing』)》 / 〈C〉《単数形で》『言及』 / 〈C〉《単数形で》(ほめるために)名を挙げること
mentor	指導者,師・(良き)助言者,顧問
menu	(レストランの)『メニュー』,献立表 / 料理
meow	ニャー(猫の鳴き声) / 〈猫が〉ニャーと鳴く[擬声語]
mer.	meridian
mercantile	商業の,貿易の / 商人の
mercantilism	重商主義
mercenary	金銭(報酬)目あての / (兵士が)外国の軍隊に雇われた / 外国人雇い兵
mercer	服地商人
mercerize,mercerise	〈綿糸・綿布〉をマーセル法で処理する(苛性(かせい)ソーダで処理し,つやや強さを増す)
merchandise	(集合的に)『商品』(goods) / …を売買する / (広告などをして)…の販売を促進する / 商売をする
merchant	(比較的大規模に商品を扱う)『商人』;貿易商 / 『小売業者』 / 商業の,商人の
merchant marine	(一国の)全商船 / (一国の)全商船員
merchant navy	=merchant marine
merchant ship	=merchantman
merchantable	販売用の,売り物になる
merchantman	商船
merci	(フランス語)ありがとう
merciful	慈悲ぶかい,情けぶかい;神(運命)の慈悲による
merciless	無慈悲な,残酷な
mercurial	(比較変化なし)水銀の,水銀を含む,水銀の作用による / 機敏な,快活な / 気まぐれの,移り気の
mercuric	{形}水銀の/水銀を含む
mercuric chloride	塩化第二水銀,昇汞(しょうこう)
mercurous	第一水銀を含んだ
mercury	〈U〉『水銀』(化学記号は『Hg』) / 《the~》(温度計・晴雨計の)『水銀柱』
mercy	〈U〉『慈悲』,寛大,あわれみ / 〈C〉《a~》ありがたいこと,感謝すべきこと
mercy killing	安楽死
mere	『ほんの』,単なる / 湖,池
merely	『単に』,ただ
meretricious	(装飾・絵・文体などが)いたずらに飾り立てた / 不誠実な
merganser	アイサ(水に潜って細い口ばしで魚を捕る海ガモ)
merge	〈会社・組織が〉合併する,合体する;(…と)合併する《+『with』+『名』》 / (…に)溶け込む,しだいに変わる《+『into』(『in』)+『名』》 / 〈会社・組織〉を合併する,合体する;(…と)…を合併する《+『名』+『with』+『名』》
merger	(特に二つ以上の会社・組織の)吸収合併
meridian	〈C〉(天球上の)子午線;(地球上の)経線 / 〈U〉《the ~》(太陽・星の)最高点 / 〈U〉《the ~》(発展・繁栄などの)絶頂,極点;最盛期,全盛時
meridional	(特にヨーロッパ諸国で)南部の
meringue	メレンゲ(砂糖と卵の白身を混ぜて作った軽焼き);〈C〉その菓子
merino	〈C〉メリノメンヨウ(スペイン原産の毛質の良い羊) / 〈U〉メリノ毛織物
merit	〈U〉『価値』,優秀さ;〈C〉《しばしば複数形で》(賞賛・ほうびに値する)功績,手柄,美点 / 〈C〉《複数形で》(訴訟などで,物事の)理非(問題になっている事柄そのものの良し悪し,ありのままの事実) / 〈賞・罰・非難など〉に値する
meritocracy	《おもに英》(門閥でなく)実力主義[の人々]
meritorious	《文》賞賛(報奨)に値する,勲功(価値)のある
merle,merl	ヨーロッパ黒鳥
mermaid	(女の)人魚
merman	(男の)人魚
merrily	『愉快に』,楽しそうに
merriment	陽気な騒ぎ,喜び楽しむこと
merry	『陽気な』,愉快な,快活な / 《話》一杯きげんの
merry-go-round	《米》(また《米》carousel)回転木馬,メリーゴーランド(《英》roundabout) / (事件・パーティーなどの)めまぐるしい連続,次々に起こること
merrymaker	浮かれ騒ぎ人
merrymaking	浮かれ騒ぐこと,お祭り騒ぎ
mesa	メサ(米国南西部に多い台地で,頂上は平らで周囲は絶壁の地形)
mesalliance	自分より身分の低い人との結婚,不つりあいな結婚
mescal	〈C〉メスカル(アメリカのテキサス州および北部メキシコのサボテン) / 〈U〉〈C〉メスカル酒(リュウゼツランの発酵汁を蒸留して造った酒) / 〈C〉〈U〉(メスカル酒を造る)リュウゼツラン
mescaline	メスカリン(メスカルより採取した幻覚作用のある薬)
mesdames	(フランス語)madameの複数形(《略》『Mmes.』)
mesdemoiselles	mademoiselleの複数形(《略》『Mlles.』)
meseems	《古》(私には)…と思われる(it seems to me that …)
