metamorphosis	(昆虫の)変態 / (外形・性質・状態上の)完全な変化,大変貎,変身
metaphor	隠喩,暗喩(like, asなどを用いない比喩)
metaphorical	隠喩の,暗喩を含む
metaphysical	形而(けいじ)上学の / 推論に基づく,論証的な / (理論・思想などが)きわめて抽象的な,理解しにくい
metaphysician	形而上学者
metaphysics	《単数扱い》形而上学(哲学の一分野で,存在の根本原理を研究する) / (理解しにくい)抽象的論議
metastasis	(癌(がん)などの)転移
metatarsal	中足骨の / 中足骨
metatarsus	中足(人間の足の,足首からつま先までの部分で5本の骨から成る部分;四つ足動物の後足,鳥の足の同じ部分)
mete	《文》(程度に応じて)〈賞・罰など〉を割りあてる《+『out』+『名,』+『名』+『out』》
metempsychosis	(死後の霊魂の)転生;輪廻(りんね)(transmigration)
meteor	流星 / 隕石(いんせき)
meteoric	流星の,流星を含む / (速さ・はかなさ・輝きなどの点で)流星のような / 大気の;気象上の
meteorically	流星のように;ぱっとはなばなしく
meteorite	(地球に落ちてきた)隕石(いんせき)
meteoroid	流星体(大気圏にはいる前に,宇宙にある間の流星)
meteorol	meteorological / meteorology
meteorological	気象学の;気象学上の
meteorologist	気象学者
meteorology	気象学
meter	(ガス・水・電気などの)『計器』,メーター / (時間・速度・距離・強度などを測定,記録する)メーター,計器
meter maid	駐車メーターを調べて違反を取り締まる婦人警官
meter,metre	『メートル』(メートル法で長さの基本単位;『3.28』フィートに相当;《略》『m』) / (詩の)韻律 / (楽曲の)拍子
meter-kilogram-second	メートルキログラム秒単位の
methane	メタン
methanol	=methyl alcohol
methinks	《古》(…と)私には思われる
method	〈C〉(特に秩序だった)(…の)『方法』,方式《+『of』+『名』(do『ing』)》 / 〈C〉〈U〉(思考・行為・行動の)きちょうめんさ;秩序,筋道
methodical	秩序立った,組織的な / (習慣・行動の点で)きちんとした
methodize,methodise	…を方式化する
methought	methinksの過去
methuselah	〈U〉長寿の人(旧約聖書のメトセラに由来) / メトセラ瓶(酒瓶の大型ボトル,約6リットル)
methyl alcohol	メチルアルコール
methylated spirits	変性アルコール(ランプ・ヒーターに用いる)
meticulous	細かなことに気を配る;(…に)細かく気を配る《+『in』+『名』(do『ing』)》
metier	専門[分野],職業,仕事
metre	=meter / =meter
metric	メートル法の / =metrical
metric system	メートル法(10進法の度量衡の単位)
metric ton	メートルトン,トン(1,000キログラムに相当する重さの単位)
metrical	韻律の,韻文の / 測定の,測定に用いる
metrication	メートル法換算
metricize,metricise	…をメートル法に変える
metro	地下鉄
metronome	メトロノーム(音楽の拍子(ひょうし)をとる器具)
metropolis	《the metropolis》(国・州・地域などの)『首都』,(政府所在地ではないが)最も重要な都市 / 《the M-》ロンドン / (商業・文化などの中心地である)大都市 / (古代ギリシアの植民地の)本国,母都
metropolitan	首都の,首都に似た,首都に属する / 大都市とその周辺地域より成る(を講成する) / 首都の住民,大都市の人 / 《しばしばM-》(東方教会の)府主教;(カトリック教会の)首都大司教;(英国国教会の)大主教
