midday	正午,真昼 / 正午の,真昼の
midden	こやしの山,ごみの山, 貝塚
middle	(空間的に)『まん中の』 / (時間・順序・数量などが)『中間の』,まん中の / 『平均の』,中ぐらいの / 《M-》(言語史で)中期の / 《the~》(場所・地域の)『まん中』,『中央』《+『of』+『名』》 / (時間・順序などの)まん中,(行為などの)最中《+『of』+『名』+(do『ing』)》 / 《話》《the~,one's~》(人の)胴,腰
middle C	(楽譜上で)中央のハ
middle age	中年(40‐60歳くらい)
middle course	中道
middle distance	(油絵などの)中景 / 中距離競走
middle ear	中耳
middle finger	中指
middle name	中間名(first nameとfamily nameの間の名) / 《the ~》《話》(人の)目立つ点,特徴
middle school	中等学校(特に私立学校の学年区分で5年生から8年生まで)
middle-age spread	中年ぶとり
middle-aged	中年の;中年特有の
middle-distance	(スポーツで)中距離の
middle-of-the-road	極端に走らない;(特に政治的に)中道の
middle-sized	中型の,中くらいの
middlebrow	教養が中くらいの人;えせ文化人
middleclass	中流階級,中産階級 / 中流階級の,中産階級の
middleman	仲買人 / 中にたつ人,仲介者
middlemost	=midmost
middleweight	ミドル級選手(ボクシング・レスリング・重量あげの体重147‐160ポンド(66‐72kg)の選手) / 平均体重の人
middling	(大きさ・質・程度などが)中位の,普通の / 中ぐらいに,かなり
middy	《話》=midshipman / =middy blouse
middy blouse	セーラー服(女・子供が着るV字形の広いえりのゆったりしたブラウス)
midge	蚊,(特に小さい)ブヨ
midget	(体の各部分の釣り合いはとれているが全体が)極端に小さい人,ちび / 超小型のもの / 非常に小さい
midi	ミディスカート(ドレス)
midland	〈C〉(地域・国の)内陸,中部地方 / 《the Midlands》英国中部地方 / 内陸の,中部地方の
midmost	まんまん中の,どまん中の
midnight	『真夜中』,夜の12時 / 真夜中の,真夜中に起こる / 真夜中のような,まっ暗の
midpoint	(空間・時間の)まん中
midrib	(葉の)中肋(ろく),中脈
midriff	横隔膜(diaphragm) / 《話》(体・服の胸と腰の間の)上胴部
midshipman	《米》海軍兵学校生徒 / 《英》海軍少尉候補生
midships	=amidships
midst	中央,まん中 / =amid
midstream	流れの中ほど
midsummer	真夏 / 夏至(6月21日頃) / 真夏の;夏至の
midsummer madness	底抜けの狂乱,狂気のさた
midterm	学期の中間 / (学期の)中間試験 / 中間の
midtown	市(町)の中心部 / 市(町)の中心部の
midway	(距離・時・事の経過などの)中ほどの,まん中の / (道・距離の)中ほどに / (博覧会などの)余興場
midweek	週の中ほど(特に水曜日;火曜日と木曜日が加わることもある) / 週の中ほどの
midwicket	〈U〉ミッドウィッケット(クリケットで投手の右側前方の位置) / 〈C〉この位置にいる野手
midwife	助産婦,産婆
midwifery	産婆術,助産術
midwinter	真冬 / 冬至(12月22日ごろ) / 真冬の;冬至の
midyear	1年の中ほど / 1年の中ほどの
mien	(人柄・感情が分かるような)態度,物腰,様子
miff	〈人〉に腹をたてさせる
miffed	むっとして
might	mayの過去形 / 《直説法で》《時制の一致により従節に用いて》 / 《仮定法で》 / 《現在の事実と反対の仮定》…『かもしれないのだが』;…してもよい / 《過去の反対の推量》…『したかもしれない』 / 《仮定法から転じて遠回しの表現で》 / 《可能性・推量》『ひょっとしたら』…『かもしれない』 / 《疑問文で》《不確実》いったい…だろうか / 《許可》…『してもよい』 / 《提案・依頼》…『してくれませんか』…してみてはどうだろうか / 《非難・不平》…『してもよさそうなものだ』 / (…の)『巨大な力』,強い影響力《+『of』+『名』》 / 体力,腕力;(一般に物事をする)能力
might-have-beens	もしかしたらそうなったかもしれないこと
mightily	力強く,勢いよく,激しく / 《話》非常に
mightiness	強大さ
mightn't	might notの短縮形
mighty	《文》『強力な』,勢力のある(powerful) / 《文》大きくて強そうに(りっぱに)見える,大した / たいへん,非常に
mignonette	モクセイソウ(かおりのいい緑色がかった小さい花房をつける庭木)
migraine	偏頭痛
migrant	移住者;渡り鳥 / 渡り歩く(migratory)
migrate	(…から…へ)移住する《+『from』+『名』+『to』+『名』》 / (季節に応じ定期的に)〈鳥・動物が〉移動する,渡る
migration	〈U〉〈C〉移住,(動物の)移動 / 〈C〉《集合的に》(人・動物などの)移動の群
migratory	(定期的に)移動する,移住する / 転々とする,放浪性の
mikado	帝(みかど),日本の天皇
mike	=microphone
mil	ミル(1000分の1インチ)
mil.	military
milady	奥様,夫人
milch	乳を出す
mild	(人,人の気性・態度などが)『柔和な』,ものやわらかな,温和な / (程度・力・効果などが)『適度な』,ほどよい / (病気などが)そんなにひどくない,軽い / (気温が)おだやかな / (味・においが)強くない,ぴりぴりしない / マイルド(苦みの少ないビールの一種)
mildew	(植物につく)べと病,うどん粉病 / (湿気により紙・皮革・食物・木材などにつく)白色(灰色)のかび / …にかびをはやす / かびがはえる
mildewy	べと病の,うどんこ病の / かびのはえた
mildly	おだやかに,温和に / わずかに,ほんの少し
mildness	柔和さ,温和な性質 / 適度な状態,おだやかさ
mile	〈C〉『マイル』(長さの単位;1609メートル) / 《the ~》1マイル競走(mile race) / 〈C〉《複数形で》《話》長い距離;多量,たくさん
mileage	《時にa ~》(一定期間に走った)総マイル数 / 《時にa ~》(一定量の燃料による)自動車走行マイル数 / 《時にa ~》マイル当たりの費用 / 《話》使用[量];利益
mileometer,milometer	(車の)走行距離計
milepost	(ある場所との距離を示した)マイル標,里程標
miler	1マイル競走者(馬)
milestone	(次の町までの距離を示すために道ばたに立てられた)里程標 / (歴史・人生での)重大なでき事,重大事件
milieu	《単数形で》(特に人の社会的な)環境,周囲
militancy	交戦性,闘志
militant	(目的・主義のために)攻撃的な,好戦的な,闘争的な / 好戦的な人,闘争家
militarism	軍国主義
militarist	軍国主義者 / 軍事研究家
militaristic	軍国主義の,軍人精神の
militarize,militarise	〈国・地域〉に軍隊を配置する,を武装化する / …を軍隊化する / …を軍隊使用に変える / …に軍国主義を吹き込む
military	『軍隊の』,軍人の,戦争の / 軍隊(陸・海・空軍を含む)(the armed forces)
military industrial complex	軍産複合体(軍需と企業利益が結びついて発展する産業組織)
military police	憲兵隊
military policeman	〈C〉憲兵
militate	〈証拠・事実などが〉(…に不利に)作用する,働く《+『against』+『名』(do『ing』)》
