milk glass	乳白ガラス,くもりガラス
milk jelly	牛乳入りフルーツゼリー
milk loaf	乳白色の甘いパン
milk powder	ドライ(粉)ミルク
milk pudding	ミルクプディング(米・砂糖などを牛乳に混ぜて焼いたプディング)
milk round	牛乳配達の順路
milk run	毎日決まりきってある所へ出かけること;決まりきった仕事, 各駅停車, 牛乳配達, 旅慣れた道, take a milk run 鈍行(各駅停車)に乗る
milk sugar	ラクトーゼ,乳糖
milk tooth	乳歯
milker	搾乳者 / 乳牛
milkiness	乳白色であること / 乳状
milking machine	搾乳器
milkmaid	=dairymaid
milkman	牛乳屋,牛乳配達人
milkshake	ミルクセーキ
milksop	弱虫,めめしい奴(sissy)
milkweed	トウワタ(大きな葉と種の入った長いさやを有し,紫色の花をつける植物で乳状の液を出す)
milky	乳白色の / 乳を含んだ;乳を出す / (液体が)不透明な;白濁した
mill	『製粉所』 / 『製粉機』;(手動の)ひき器 / 製造所,工場 / 〈穀物・コーヒーなど〉をひいて粉にする,製粉する / 〈金属・鋼鉄〉を圧延機(断裁機,打出機など)にかける / 〈貨幣など〉のへりにぎざぎざをつける / 〈家畜・人の群れが〉目的もなくうろうろする;ぞろぞろ歩く《+『about(around)』》 / ミル(貨幣計算の単位;1ドルの1000分の1,1セントの10分の1)
millage	(不動産などの)税率(1ドル当たりをミル(mill)という単位で計算する), ドル当たりミル数
millboard	ミルボード(書籍の表紙用のじょうぶな板紙)
milldam	水車用のせき
millennium	〈C〉1000年間 / 《the ~》至福千年(キリストが再臨してこの世を治めるという神聖な1000年間;新約聖書「ヨハネの黙示録」) / 《the ~》(待ち望まれる幸福と平和と繁栄の)黄金時代,理想的な時代
millepede	=millipede
miller	『粉屋』,製粉業者,水車屋 / 白い蛾(が)(体・羽に白い粉がふいている)
millet	キビ,アワ(粟) / (穀物の)きび,あわ
milli ampere	ミリアンペア(1アンペアの1000分の1)
milliard	10億(billion)
millibar	ミリバール(気圧の単位;1000分の1バール)
milligram,milligramme	ミリグラム(1グラムの1000分の1)
milliliter,millilitre	ミリリットル(1リットルの1000分の1)
millimeter,millimetre	ミリメートル(1メートルの1000分の1)
milliner	婦人帽子屋
millinery	(婦人帽子屋の扱う)服飾品 / 婦人帽製造販売業
milling	うすでひくこと,製粉 / (貨幣のふちなどに)ぎざぎざをつけること;(つけられた)ぎざぎざ
million	『100万』 / (貨幣単位の)100万 / 《複数形で》(…の)多数,たくさん《+『of』+『名』》 / 『100万の』 / 多数の
millionaire	『百万長者』,大金持ち
millionth	《the ~》第100万の,100万番目の / 100万分の1の / 〈U〉《the ~》第100万,100万番目[のもの] / 〈C〉100万分の1
millipede,millepede	ヤスデ(陸生節足動物)
millisecond	ミリセカンド(1秒の1000分の1)
millivolt	ミリボルト(1ボルトの1000分の1)
millpond	(水車用)貯水池,水車池
millrace	水車用の導水路
millstone	ひきうす / 重荷;やっかい者
millstream	水車用導水路の流れ
millwheel	水車の輪
millwright	水車大工
milometer	=mileometer
milord	御前(ごぜん)様,だんな
milquetoast	気の弱い人,いくじなし
milt	(雄魚の)魚精,白子
mime	〈C〉身ぶり道化役者 / 〈U〉身ぶり道化を演じること / 〈C〉(古代ギリシア,ローマの)道化芝居(ものまねで実際の人物や事件を風刺した芝居) / 身ぶりで道化芝居をする;物まねをする / 〈動作など〉を身ぶりで演じる;〈人物〉をまねる
mimeo	=mimeograph
mimeograph	謄写版,複写器 / (謄写版による)写し / …を謄写する(duplicate)
mimesis	(修辞上の技法としての)模写,模倣
mimetic	模倣の,まねをする / 見せかけの,模擬の
mimic	〈人,人の話し方・しぐさなど〉をまねてからかう / (欺くために)…に似せる / ものまねをする人,ものまね役者 / 人まねをする動物;人の声をまねる鳥 / 《名詞の前にのみ用いて》 / ものまねをする / 偽りの,模擬の / 擬態の
mimicry	ものまね,模倣 / 擬態(ある動物が他の動物,あるいは周囲の物に似せて身の安全を守ること)
mimosa	ミモザ,オジギソウ(まめ科の植物;シダのような葉を持つ)
min.	minimum / mining / minister / minor / (また『m』.)minute[s]
minaret	(イスラム教寺院の)光塔(周囲にある露台から祈りの時間を告げる)
minatory	《文》おどしの,威嚇的な(menacing)
mince	(ナイフで)〈特に肉〉を細かく切る,刻む / (気どって)…を控え目に言う,遠回しに言う / 《副詞[句]を伴って》〈特に男が〉上品ぶって小またに歩く / 気どって話をする
mince pie	ミンスパイ(ミンスミートのパイ)
mincemeat	ミンスミート(刻んだ干しぶどうに砂糖・香料,時には肉などを混ぜたもので,ミンスパイの中身になる)
mincer	ひき肉機
mincing	もったいぶった
mind	〈U〉(思考・知覚・意志などをつかさどる)『心』,精神 / 〈C〉《単数形で》(心の働きによって生じた)『知性』,理性,理解力 / 〈U〉正常な精神状態,正気 / 〈C〉意見,考え方,物の見方 / 〈U〉記憶,回想 / 《one's~》注意,精神の集中 / 〈C〉《単数形で》願い,意向 / 〈C〉《前に形容詞を伴って》(…を備えた)人 / 《しばしば命令文で》…に『注意する』,用心する / …の番をする,世話をする(look after) / 〈人,助言など〉の言うことを聞く,に従う / 《否定・疑問・条件文で》…を『気にする』,『気にかける』,いやだと思う / 《疑問文・否定文で》気にする,心配する,いやに思う
mind reader	読心術師
mind's eye	心の目,心眼,想像力
mind-bending	(麻薬などが)もうろうとさせる,変な気分にさせる / 意味不明な
