miscible	混和できる
misconceive	…を誤解する,思い違いをする(misunderstand)
misconception	誤解,誤認,思い違い
misconduct	非行,不品行,(特に)不義 / …をやり損なう,の処置を誤る
misconstruction	誤解,意味の取り違え
misconstrue	〈人の言葉・行為〉を誤解する
miscount	…を誤算する,勘定違いをする / 誤算する,勘定違いをする / 数え違い,誤算
miscreant	悪漢,悪党(villain) / (人が)極悪の
miscue	(ビリヤードで)突き損ないをする / 《話》しくじる / 玉の突き損ない / 《話》しくじり,誤り
misdate	〈手紙・小切手など〉の日付を誤る / 〈歴史上のでき事など〉の年代を間違える
misdeal	〈カードの札〉を配り損なう / 札を配り損なう / (カードの)札の配り違い
misdeed	悪行,悪事
misdemeanor,misdemeanour	軽犯罪 / 非行,不品行
misdirect	(道案内などで)〈人〉に誤った指示を与える / 〈自分の力・才能〉を間違った方向へ向ける / 〈手紙など〉のあて名を間違える
misdirection	(…の)見当違い,誤った指示《+『of』+『名』》
misdo	…を間違ってする,やり損なう
misdoing	《通例複数形で》《文》非行,悪行(misdeed)
mise-en-scène	舞台装置 / 《文》(事件の)状況
miser	『欲ばり』,けちん坊,守銭奴
miserable	(人が)『みじめな』,ひどく不幸な / (物事が)人の気をめいらせるような,哀れな;ひどく不快な / 《名詞の前にのみ用いて》貧弱な,みすぼらしい,程度の低い
miserably	みじめに,哀れに,見る影もなく;貧弱に,粗末に
miserliness	しみったれ,けちなこと
miserly	守銭奴のような,しみったれな,けちん坊の(stingy)
misery	〈U〉《しばしば複数形》『みじめさ』,(精神的・肉体的な)非常な不運(苦難,苦痛) / 〈C〉(…にとっての)不運(苦痛)のたね《+『to』+『名』》 / 〈U〉貧困,困窮
misfeasance	(法律用語で)不法行為
misfile	〈書類など〉を誤ってとじる
misfire	〈銃砲などが〉発火しない;〈内燃機関などが〉点火しない,点火が悪い / 〈計画などが〉望んだ効果をあげられない / 不発;不点火・失敗
misfit	周囲に適応できない人,不適格者 / (服飾用語で)ぴったり合わない服(靴,帽子など)
misfortune	〈U〉『不運』,『不幸』 / 〈C〉(…にとっての)『不幸』(『不運』)『なでき事』,災難(calamity)《+『of』+『名』》
misgive	〈心が〉〈人〉に不安を感じさせる
misgiving	(…についての)『恐れ』,疑い,懸念《+『about』+『名』》
misgovern	…の支配(統治,管理)を誤る
misgovernment	悪政,失政
misguide	〈人〉を誤った方向に導く,を指導を誤る
misguided	誤って指導された,道を誤った
mishandle	…を誤って取り扱う / …を乱暴に扱う
mishap	(比較的小さな)不運なでき事;〈U〉不運,災難
mishear	…を聞き誤る / 聞き違える
mishit	(クリケット・ゴルフなどで)〈ボール〉を打ち誤る / ボールを打ち誤る / まずい打法
mishmash	(雑多な物の)寄せ集め,ごたまぜ《+『of』+『名』》
misinform	(…を)〈人〉に間違えて伝える(教える)《+『名』〈人〉+『about』(『of』)+『名』》
misinformation	間違った情報
misinterpret	…を誤って解釈する,誤訳する
misinterpretation	誤解;誤訳
misjudge	…を誤って判断する
misjudgment,misjudgememt	(…ついての)誤った判断,不当な見解《+『of』+『名』》
mislabel	…にラベルをはり違える
mislay	…を置き忘れる / …を置き(並び)違える
mislead	〈人〉を誤って道案内する / 〈人〉を誤らせる,誤解させる
misleading	人を誤らせる,誤解を招きやすい,紛らわしい
misled	misleadの過去・過去分詞
mismanage	…の管理(経営,取り扱い)を誤る
mismanagement	誤った管理(経営,取り扱い)
mismarriage	不釣り合いな縁組,不幸な結婚
mismatch	…をまずく(不釣り合いに)組み合わせる / まずい(不釣り合いな)組み合わせ
mismate	…を不適当に組み合わせる;に不似合いな結婚をさせる / 組み合わせを誤る;不釣り合いな結婚をする
misname	《しばしば受動態で》…を誤って名を呼ぶ
misnomer	(…の)誤称,呼び違い《『for』+『名』》
misogamy	結婚ぎらい
misogynist	女ぎらいの人
misogyny	女ぎらい
misplace	…を置き間違える;…を置き忘れる / (受ける価値のない人・物に)〈愛情・信頼など〉を間違って与える《+『名』+『in』+『名』》
misplay	(スポーツ・ゲームなどで)矢策,エラー / …を演技し損なう,を矢策をする
misprint	ミスプリント,誤植 / (印刷で)〈文字〉を誤植する
misprision	見逃し / 過失による不正の放置(特に重大犯罪に関する隠匿) / (文語)(古語)軽視 / 見下し / 誤認識
mispronounce	…の発音を誤る
mispronunciation	発音の誤り,誤った発音
misquotation	(…を)間違った引用《+『of』+『名』》
misquote	…を間違って引用する
misread	…を読み誤る / …を誤解する
misreport	《しばしば受動態で》…を虚報を伝える,を誤って報告する
misrepresent	…を間違って(偽って)伝える
misrule	悪政,矢政 / …の統治(政治)を誤る
miss	〈C〉未婚婦人;《複数形で》少女(girl) / 《M-》《未婚婦人の姓・姓名の前に付けて》…『嬢』,…『さん』 / 《通例M-》《おもに英》《生徒が女の先生に対して》…先生 / 《通例M-》《単独で呼び掛けに用いて》お嬢さん;《ふざけて》おねえちゃん / 《M-》《おもに容姿端麗のため一国・一団の代表に選ばれた未婚女性に対して》ミス… / 〈ボールなど〉を『打ち損なう』,〈的(まと)など〉を『外す』 / 〈人〉に『会い損なう』,〈列車・船など〉を『捕まえ損なう』;〈約束など〉に間に合わない / …を『見落とす』,見そこなう,見矢う / 〈物事〉を『逃す』,逸する / 〈会合・学校など〉に出席しない / …を理解できない / …がない(いない)のを残念に思う / …がない(いない)のに気付く / …を避ける,免れる(avoid, escape) / …を欠く / …の答えを間違う / 的(まと)を外れる,当たり損なう;受け損なう / (…で)失敗する《+『in』+『名』》 / 発火しない,点火しない / やり損ない,失敗(failure);免れること,回避(escape)
missal	《しばしばM-》(ローマカトリック教会の)ミサ典書;(一般に)祈祷書
misshape	を作りそこなう
misshapen	できそこないの,ぶかっこうな;奇形の(deformed)
missile	『ミサイル』,ロケット弾 / 《文》飛び道具(石,矢,投げやりなど)
missilery	ミサイル工学,誘導弾学
missing	紛失した,行方不明の / 欠けている,ない(lacking) / 《the ~;名詞的に》行方不明者
missing link	連鎖しているもので欠けた部分 / 《the ~》類人猿と人間の中間に存在したとされる仮定の動物
mission	(…への)『使節団』,派遣団《+『to』+『名』》;(特定の任務・使命のための)隊,団 / (派遣される人または団体の)任務,使命 / 軍事作戦上の任務 / 《米》在外公館 / (伝道のために,特に外国に派遣される)牧師団,布教団;伝道所;《複数形で》伝道事業(活動) / (人間としての)使命
missionary	使節,(特に外国へ派遣される)宣教師,伝道師 / 伝道の,布教の
missive	《時に誇張して》(長々しく,大まじめな)信書,書状;(特に)公文書
misspell	…のつづりを誤る
misspelling	〈U〉つづりの誤り / 〈C〉間違ったつづり
misspend	…をむだに(間違って)使う
misstate	…について間違って(偽って)述べる
misstatement	誤った(虚偽の)陳述
misstep	(足の)踏み誤り / (行動・判断などの)誤り,過失
missus	(男性の話し言葉で)家内,かみさん,かあちゃん / 《まれ》(特に)女中頭(がしら)
missy	《呼び掛けに用いて》お嬢さん
mist	〈C〉〈U〉『かすみ』,もや,霧 / 〈U〉(窓ガラスなどで水蒸気による)曇り;霧(もや)状(の…)《+『of』+『名』》 / 〈C〉《the ~》(涙などによる)目のかすみ《+『of』+『名』》 / 〈C〉《a ~》(疲労などによる)心の曇り,判断の鈍り《+『of』+『名』》 / 《the mists》《文》(過去の)もやに包まれた時代《+『of』+『名』》 / 霧(もや)が掛かる;(涙などで)〈目などが〉曇る《+『over』(『up』)+『名』》 / 《米》《itを主語にして》霧雨(きりさめ)が降る(drizzle) / …をかすみ(もや)で覆う;…を曇らせる《+『up』+『名』》
mistake	『誤り』,『間違い』;誤解,思い違い / …を『間違って考える』,誤解する / 《『mistake』+『名』+『for』+『名』》(別の物・人と)…を『取り違える』
mistaken	mistakeの過去分詞 / (考え・行為などが)『間違った』,誤りのある / 《補語にのみ用いて》(人が)思い違いをした,誤解した / 《補語にのみ用いて》(話などが)誤解された
mistakenly	誤って
mister	《M-》…『さん』,…氏,…様,…殿,…先生 / 《話》《単独で呼び掛けとして用いて》あなた,君,だんな / 〈C〉…さんと呼ばれるだけの人,普通の人
mistily	霧が深く / おぼろに,ぼんやりと
mistime	…の時機を誤る / (スポーツで)〈ボールなど〉を打ち損なう
mistiness	霧が深いこと / おぼろげ,ぼんやりしていること
