moil	あくせく働く
moire	波紋織の絹 / 波紋模様
moist	『湿っぽい』,湿気を含んだ;《比喩(ひゆ)的に》涙でぬれた
moisten	…を湿らす,ぬらす / (…で)湿る,ぬれる《+『with』+『名』》
moisture	『湿りけ』,湿気 / (空気中,または物の表面の)蒸気,水分
moisturize,moisturise	…に湿気を含ませる,湿らせる
moke	(英俗)ろば(donkey)
mol.	molecular / molecule
molar	臼歯(きゅうし)
molasses	糖みつ(砂糖精製中に粗糖から出る液); 糖液・糖蜜・(サトウキビの)糖液・モラス(スコットランドの糖蜜から作る蒸留酒)ラテン語「はち蜜」の意
mold,mould	沃土(よくど),肥土,耕土 / (かびを生やす)糸状菌 / かび / かびが生える / 〈C〉(材料を流し込んで特定の形を作る)『型』;鋳型(いがた);(プディング・ゼリー用の)流し型 / 〈C〉型に入れて作った物 / 〈U〉〈C〉(一般に)(…の)形,姿(shape)《+『of』+『名』》 / 〈U〉《文》(人の)特性,性格,性質 / (…の材料で)…を『型に入れて作る』,型どる《+『名』+『in』(『out of, from』)+『名』》 / 〈材料〉を型に入れて(…の形に)する《+『名』+『into』+『名』》 / (…を手本にして)〈人格など〉を形成する《+『on』(『upon』)+『名』》
moldboard	(うねの土をはね返す)すき板;(ブルドーザーの)ブレード
molder,moulder	朽ち果てる,崩れ去る《+『away』》
moldiness,mouldiness	かび臭さ / 陳腐,時代遅れ
molding,moulding	〈U〉型で作ること,形作ること / 〈C〉型で作られたもの,塑像(そぞう),鋳造物 / 《しばしば複数形で》くり形,モールディング 《軒じゃばら・抱(だ)き石・家具などの突出部を装飾する輪郭部》
moldy,mouldy	かびの生えた / かび臭い(musty) / 《話》古臭い,陳腐な,時代遅れの
mole	モグラ / ほくろ,あざ / 防波堤,突堤 / モル,グラム分子(化学分子量をグラムで表したもの)
molecular	分子の,分子による
molecule	分子《略》『mol』) / (一般に)(…の微量《+『of』+『名』》
molehill	モグラ塚
moleskin	モグラの毛皮 / モールスキン(昔,衣服・帽子を作ったじょうぶで滑らかな綿布)
molest	…を悩ます / 《話》(変態性欲で)〈女・小供〉にいたずらする
molestation	(人・動物を)苦しめること,いじめること
moll	(ギャングの)情婦
mollification	(怒りなどの)鎮静,なだめること
mollify	〈人・怒り・強い感情など〉をなだめる,和らげる
mollusk,mollusc	軟体動物(貝・イカ・タコの類)
mollycoddle	(特に甘やかされて)めめしい男,軟弱な男;弱虫 / …を甘やかす
molt,moult	〈鳥・犬などが〉羽毛(毛)が抜け替わる;〈昆虫・爬虫(はちゅう)類が〉脱皮する / 〈羽毛・毛・外皮・殻など〉を脱ぐ / (羽毛・外皮などの)抜け替わること,脱皮
molten	(金属などが)熱で溶けた
molto	(音楽用語で)非常に
molybdenum	モリブデン(金属元素;化学記号は『Mo』)
mom	=mother
mom-and-pop	(小売店など)夫婦だけで経営している
moment	〈C〉『瞬間』,瞬時 / 〈C〉《単数形で》(特定の)『時期』,機会,場合 / 《the moment》今,現在 / 〈U〉『重要』,重大(importance) / 〈C〉《単数形で》(物理・機械で)モーメント,運動率
moment of truth	重大な瞬間 / (闘牛で)とどめの一突き
momentarily	ちょっとの間,瞬時(for a moment) / すぐに,今にも / 刻々と;今か今かと
momentary	『瞬時の』,はかない,つかの間の / 《ややまれ》刻々の
momentous	重要な,重大な(serious)
momentum	〈U〉〈C〉運動量(運動する物体の質量と速度の相乗積) / 〈U〉(一般に)勢い,はずみ
momma	=mama
mommy	おかあちゃん(mom)(《英》mummy)
monarch	『君主』,帝王 / オオカバマダラ(北米産の赤茶色と黒のまだらの大きなチョウ)
monarchic, monarchical	君主の;君主制の / 君主政治の;君主制支持の
monarchism	君主制 / 君主制主義
monarchist	君主制主義者
monarchy	〈U〉君主政体(政治) / 〈C〉君主国
monastery	〈C〉男子修道院 / 〈U〉《集合的に》修道僧
monastic	修道院の;修道僧の;修道(禁欲)生活の / 修道士
monastically	修道院的に,禁欲的に
monasticism	修道院生活;(修道院の)禁欲生活
monaural	片耳用の / (レコードなどが)モノラルの(音響再生を1チャンネルでする)
monetarism	通貨主義
monetary	貨幣の,通貨の / 金銭上の;金銭についての
money	〈U〉『金』(かね),金銭;通貨 / 〈U〉(金銭的な)利益,もうけ;富,財産 / 《複数形で》(政府・公共事業などの)財源,基金(funds)
money of account	計算貨幣(計算だけに用いられる貨幣の名称;ミル(mill)=1000分の1ドルなど)
money order	郵便為替(かわせ),銀行為替(《略》M.O.)(《英》postal order)
money spinner, money-spinner	金つむぎ(オニグモの一種;このクモが体をはうと金もうけができるといわれる) / 金をどっさりもたらすもの
money supply	通貨供給量;貨幣供給量;マネーサプライ
money tree	(伝説・童話などで)金のなる木 / 《話》よい収入源
moneybag	(銀行などに運ぶときに用いる)金袋 / 《複数形で》《単数扱い》《話》金持ち
moneychanger	両替屋;両替機
moneyed,monied	金のある,金持ちの(wealthy)
moneygrubber	金にどん欲な人,守銭奴
moneylender	金貸し
moneymaker	金もうけのうまい人 / 金もうけになるもの
moneymaking	金がもうかる,金もうけのできる / 金もうけ
monger	《英》(特に小規模の)商人 / 《複合語を作って》「…商」「…屋」の意を表す
mongoose	マングース(イタチに似たネコ科の動物)
mongrel	雑種の動物;(特に)雑種犬 / 《軽べつして》混血児;雑種 / 《名詞の前にのみ用いて》雑種の,混血の
monied	=moneyed
monism	(哲学理論での)一元論
monition	《文》訓戒,警告 / (裁判所の)出頭命令,召喚
monitor	(人の行為についての)訓戒者,勧告者;監視役 / 『学級委員』,級長,(学校の)風紀委員 / (無電など機械の)監視装置:外国放送受信係 / 『モニター』(新聞・ラジオに感想・批評を提供する人) / (アフリカ・南アジア・オーストラリア産の)大トカゲ / 〈人の行動〉を監視する,監督する / 〈機械〉を監視する,の正誤を確かめる
monitory	警告する,注意を与える
monk	(一般に)修道僧,僧侶(そうりょ);(キリスト教の)修道士,道士 / サル(猿)
monkey	『さる』(猿)(普通小さくて尾のあるサル) / 《話》猿に似た顔つきの人(動作をする人);(特に)いたずら小僧 / 《英俗》500ポンド,500ドル / (…を)いじる《+『around with』+『名』》
monkey business	詐欺,いんちき / いたずら
monkey nut	=peanut
monkey puzzle	チリスギ(常緑針葉樹で,葉は密生し堅く鋭い)
monkey suit	(男子用)夜会服、(パイロットなどの)制服、正装
monkey tricks	=monkey business
monkey wrench	モンキー,自在スパナ
monkeyshine	悪ふざけ,いたずら
monkish	修道僧の / 坊さんくさい,修道院じみた
monks cloth	バスケット織り綿布(カーテン・寝台掛けなどに用いる)
mono	=mononucleosis / =monophonic
monochromatic	(絵・写真が)単色の,単色で描いた
monochrome	{形}単色の,モノクロの / 〈C〉単色画像 / 白黒写真 / ギリシャ語の「mono(一つ)」+「 chroma(色)」が語源。
monocle	単眼鏡,片めがね(目のくぼみにはめて用いる)
monocotyledon	単子葉植物
monocular	片目しかない,単眼の / 単眼用の
monody	哀悼詩 / (ギリシア悲劇の)独唱歌
monogamist	一夫一婦主義者
monogamous	一夫一婦主義の
monogamy	一夫一婦[制]
monogram	組み合わせ文字(姓名のかしら文字を組み合わせた図案) / 〈かしら文字〉を組み合わせる
monograph	専攻論文
monolingual	一言語しか知らない / 一言語だけで表現された
monolith	(巨大な)一枚石(岩) / 一枚石(岩)で作ったもの;《比喩(ひゆ)的に》どっしりしたもの
