monolithic	一枚石(岩)の / 一枚岩のような;どっしりとした
monologue,monolog	(劇の)独白(どくはく) / 独白で構成された劇,一人芝居 / (一般に)長談義
monomania	〈U〉偏執 / 〈C〉偏執狂
monomaniac	偏執狂[者]
monomer	単量体(異種の分子と反応し重合体を構成する)
monomial	(数式で)一項から成る / 単項式
mononucleosis	単核症(急性伝染病;突然に熱が上がりリンパ腺肥大を起こす)
monophonic	単旋律の;単旋律曲の / 1チャンネル録音再生の(monaural)
monophthong	単母音
monoplane	単葉飛行機
monopolist	独占者,専売者
monopolistic	独占的な,専売の
monopolization,monopolisation	独占,専売
monopolize,monopolise	〈事業など〉を独占する,〈商品〉を専売権を車つ / (一般に)…を独り占めにする
monopoly	〈U〉〈C〉《単数形で》(事業などの)『独占』,(商品の)『専売』;(一般に)(…の)独占,占有《+『of』+『名』》 / 〈C〉(国家・特許などによる)(…の)『独占権,専売権』《+『of』(『on』)+『名』》 / 〈C〉独占企業,専売会社(公社) / 〈C〉(独占の対象となる)専売品,専売業,独占事業
monorail	モノレール / モノレールのレール
monosyllabic	(単語の音節が)単音節の / 単音節語の
monosyllable	単音節語(as,desk,dog,getなど)
monotheism	一神教(キリスト教,イスラム教など)
monotheist	一神論者,一神教信者 / 一神論者の,一神教信者の
monotone	単調な音の連続;単調音 / (話し方,文体・デザインなどの)単調,一本調子
monotonous	(音・声・リズムなどが)『単調な』,一本調子な / (一般に)変化のない,退屈な
monotony	単調,一本調子 / たいくつ
monotype	モノタイプ(活字の鋳造植字機械) / 〈U〉モノタイプ印刷方式
monoxide	一酸化物
monsieur	…様;あなた(英語のMr.,Sirにあたる敬称;《略》『M.』(複『MM.』))
monsoon	モンスーン,季節風(夏期は南西,冬期は北東から吹く季節風) / (季節風による)雨期
monster	(想像・伝説上の)『怪物』,化け物 / 《a ~》(…の)巨大な(怪異な)物,怪物(のような…)《+『of』+『名』》 / (動・植物の)奇形 / 極悪非道の人,人非人 / 巨大な
monstrance	聖体顕示台(ローマカトリック教会で礼拝のために聖体がおかれている容器)
monstrosity	〈U〉奇怪さ,怪異さ / 〈C〉巨大(怪異)な物(人)
monstrous	『怪物のような』,奇怪な / 『巨大な』 / 《話》恐ろしい,ぞっとするような
montage	モンタージュ写真(画像),合成写真 / 合成画[法](いくつかの写真・画像を合成して作った写真・画像;その手法)
month	(また『calendar month』)(暦の上の1月から12月までのそれぞれの)『月』 / (ある日から翌月のその日までの)ひと月,1か月間 / (また『lunar month』)(太陰暦の)ひと月(月が地球の周りを1公転する期間;太陽暦では『solar month』)
monthly	『月1回の』,毎月の,月ぎめの / 1か月間の,1か月続く / 『月1回』,毎月 / 月刊雑誌
monthly period	月経
