morning room	(大邸宅の)午前中使用する居間
morning sickness	(妊娠初期の)つわり
mornings	(いつも)朝に,朝はたいてい
morocco	モロッコ皮(上質のヤギのなめし皮で製本・手袋用)
moron	(知能が8‐12歳程度の)軽度精神薄弱者 / 《話》低能,薄のろ
moronic	低能の,愚鈍な
morose	むっつりした,ふきげんな
morpheme	形態素(意味を持つ最小の言語の単位)
morphine	モルヒネ(鎮痛・麻酔剤)
morphinism	モルヒネ中毒
morphology	形態学(生物の構造の研究) / 形態論,語形論(言語の形態の研究)
morris	モリスダンス(14世紀中ごろの英国の仮装舞踏)
morrow	《the~》《文》明日,翌日(tomorrow) / 《古》朝
morsel	(食物の)一口,一片《+『of』+『名』》 / 少量,小片
mortal	『必ず死ぬ運命の』 / 『致命的な』,命とりの(fatal) / 《名詞の前にのみ用いて》(はかない)人間の,現世の / 《名詞の前にのみ用いて》死ぬまで続く;殺さずにはおかない / 死の;死にぎわの / 《名詞の前にのみ用いて》《話》非常な,はなはだしい / 許すことのできない,永遠の死を招く / 《しばしばおどけて》人間
mortal sin	(ローマカトリック教会で)大罪(死後も消えない神にそむく重大な罪)
mortality	〈U〉死を免れぬこと,死ぬべき運命 / 〈U〉《時にa~》死亡数;死亡率 / 〈U〉《時にa~》(戦争などによる)多数の死
mortality table	死亡率統計表
mortally	死ぬほどに,致命的に / 《話》非常に,はなはだしく
mortar	モルタル / …をモルタルで接合する,にモルタルを塗る / 乳鉢(にゅうばち),うす / 臼砲(きゅうほう)(砲身が短く高い曲線の弾道を描く砲)
mortarboard	こて板(石工・左官がモルタルを受けるのに用いる板) / (儀式に用いる大学生の)角帽
mortgage	『抵当』,担保;抵当権 / 抵当証書 / …を抵当に入れる / (あるものを得ようとして)〈命など〉を投げ出してかかる,賭ける
mortgagee	抵当権者
mortgagor,mortgager	抵当権設定者
mortice	=mortise
mortician	葬儀屋(《英》undertaker)
mortification	〈U〉くやしさ,屈辱;〈C〉くやしさの種 / 〈U〉(宗教的な)苦行,禁欲 / 〈U〉脱疽(だっそ),壊疽(えそ)
mortify	〈感情・欲情など〉を抑制する,克服する / 《しばしば受動態で》…をくやしがらせる
mortise lock	彫込み錠(ドアなどの端を彫り込んで取り付ける錠)
mortise,mortice	ほぞ穴(木材などの結合のための穴) / 〈木材など〉にほぞ穴を掘る / 〈木材〉をほぞで接合する
mortuary	(病院内の)死体仮置場;葬儀場,葬式会場(funeral home)・死の;埋葬の
mos.	months
mosaic	〈U〉モザイク(ガラス・木材・石などを組み合わせて図案化したもの) / 〈C〉《単数形で》モザイク画;モザイク模様
mosey	《米話》ぶらつく,うろつく
mosque	イスラム教寺院(外部に数個の尖塔(せんとう)がある独特の建築物)
mosquito	『カ』(蚊)
moss	『コケ』(苔)
moss-grown	苔の生えた,苔むした
mossback	頭の古い人,こちこちの保守派
mossy	苔(こけ)の生えた / 苔のような;苔が生はえたような
most	《the ~》(数・量・程度などが)『最も多い』,最高の,最大の / 《theをつけないで》『たいていの』,大概の / 《the ~》《単数扱い》『最大数』(量),最高額,最大限度 / 《theをつけないで》(…の)『大部分』,大多数《+『of』+『名』》 / 『最も多く』,いちばん / 《形容詞・副詞の最上級を作って》『最も』 / 《theをつけないで》はなはだ,非常に / 《米話》ほとんど(almost, nearly)
mostly	『たいてい』,ほとんど;主として
mot	気のきいた言葉
mote	ちり,(特に,ほこりの)小片
motel	モーテル(街道沿にある自動車旅行者の宿泊所)[motorとhotelの合成語]
motet	(聖書の文句に曲をつけた)経文歌,聖歌
