New Left	新左翼(1960年代,英国・米国などで体制変革論をかかげた若者のグループ)
New Mexico	ニューメキシコ州(米国南西部の州;州都はSanta Fe;《略》N.M.,NM,N,Mex.)
New Orleans	ニューオーリンズ(米国のLouisiana州のミシシッピ河口に近い港市;綿の大集散地)
New Testament	《the ~》新約聖書(《略》『NT.,N.T.』)
New World	新世界(西半球,つまり南北米大陸を言う)
New Year	=New Year's Day / 〈C〉『正月』 / 《the n- y-》新年,来たるべき年
New Year's Day	元日
New Year's Eve	大みそか
New York	『ニューヨーク州』(米国北部東海岸の州;州都はAlbany;《略》『N.Y.,NY』) / (また『New York City』)『ニューヨーク市』(米国New York州南東端ハドソン河口の港市;《略》『N.Y.C』)
New Yorker	ニューヨーク市民,ニューヨーク州の住民
New Zealand	『ニュージーランド』(オーストラリア南東方の英国自治領;南北両島から成る;首都Wellington;《略》『N.Z.』)
New-Year	《名詞の前にのみ用いて》新年の,元日の
Newcastle	ニューカッスル(イングランド北部東海岸の貿易港;造船・製鉄の中心地;アメリカの同名の都市はNew Castleとつづる)
Newf.	Newfoundland
Newfoundland	ニューファンドランド島(カナダ東部の大きな島;カナダ領) / 〈C〉ニューファンドランド犬(Newfoundland原産;水泳の巧みなスパニエル種の大型犬) / ニューファンドランド 《カナダ東端の島または同島および Labrador 地方を含む州;略 N.F., NFD, Nfd., Nfld., Newf.》
Newton	ニュートン(『Sir Isaac ~』;1642‐1727;英国の物理学者)
Newtonian	ニュートン学説信奉者
Nfld,Nfd.	Newfoundland
Ni	nickelの化学記号
Niagara Falls	ナイアガラの滝(米国とカナダの国境を流れ,Niagara川にかかる大滝)
Nicaragua	ニカラグア(中米の共和国;首都はManagua)
Nice	ニース(フランス南東部の地中海に臨む港市;避寒・保養地)
Nicholas	聖ニコラス(『Saint』(『St.』)~; 4世紀の小アジアの司教;子供・旅人・水夫,およびロシアの守護聖人;Santa Clausの名は彼に由来)
Nielsen rating	ニールセン視聴率(モニターによるテレビ番組の視聴率)
Nietzsche	ニーチェ(『Friedrich Wilhelm』~;1844‐1900;ドイツの哲学者)
Niger	ニジェール(アフリカ北西部の共和国;首都はNiamey)
Nigeria	ナイジェリア(アフリカ西部の共和国で英連邦の一員;首都はLagos)
Nightingale	ナイチンゲール(『Florence』『~』;1820‐1910;近代看護法と看護婦養成に貢献した英国婦人)
Nike	ニケ(ギリシア神話の勝利の女神) / 〈C〉ナイキ(米軍の対空誘導弾) ・ ナイキ (米国のスポーツ用品製造会社)
Nile	ナイル川(アフリカ東部ビクトリア湖に発し地中海に注ぐ大河)
Nilotic	ナイル川の / ナイル川流域住宅の / ナイル言語群の
Nimrod	ニムロデ(聖書に出てくる狩りの名人) / 〈C〉《しばしばn-》(一般に)狩りの名人
Nippon	日本
Nipponese	=Japanese
Nisei	二世(米国在住日本人の2代目)
Nissen hut	かまぼこ型組立兵舎,英国の技師 Peter Nissenの名前に由来する
Nixon	ニクソン(『Richard Milhous~』;1913‐;米国第37代大統領1969‐74)
No	nobeliumの化学記号
No.,no.	〈C〉《数字の前に用い,冠詞をつけず》『…番』,第…号,…番地・north; northern
Noah	ノア(ユダヤの信仰厚い家長;大洪水(the Flood)のとき,神の命により箱舟(ark)を作り,家族とすべての動物一つがいずつを入れて難を逃れた:旧約聖書「創世記」)
Noah's ark	ノアの箱舟
Nobel Prize	ノーベル賞
Nobelist	ノーベル賞受賞者
Noel,Noël	〈U〉クリスマス / 〈C〉《n-》クリスマス祝歌(Christmas carol)
Nor.	North / Norman / Norway; Norwegian
Nordic	北欧人の(特にスカンジナビアのゲルマン人種をいう)
Norman	〈C〉ノルマン人;《the Normans》ノルマン民族 / 10世紀にノルマンジーを征服した古代スカンジナビア / 1066年,英国を征服したフランス人と古代スカンジナビア人の混血の子孫 / (フランス北部ノルマンジー地方に住む人) / =Norman French / ノルマンジーの;ノルマン民族の / (建築が)ノルマン式の
Norman Conquest	(また『the Conquest』)ノルマン人の英国征服(1066年ノルマンジー公William the Conquerorによる英国征服)
Norman French	ノルマン・フランス語(ノルマンの英国征服後15世紀まで英国の公用語として使われた)
Normandy	ノルマンジー(フランス北部の英国海峡に面した地方)
Norse	古代スカンジナビアの;古代スカンジナビア人(語)の / =Norwegian / 《the~》《集合的に;複数扱い》(特に古代の)ノルウェー人;古代スカンジナビア人 / =Norwegian
Norseman	=Northman
North Africa	北アフリカ(サハラ砂漠以北)
North America	北アメリカ(合衆国・カナダ・メキシコを含む大陸)
North American	北米の / 北米人
North Carolina	ノースカロライナ州(米国南東部大西洋岸の州;州都はRaleigh;《略》『N.C.,NC』)
North Dakota	ノースダコタ州(米国北中部の州;都はBismarck;《略》『N.D.,ND,N.Dak.』)
North Korea	北朝鮮(公式名the Democratic People's Republic of Korea(朝鮮民主主義人民共和国);首都は平壌Pyongyang)
North Pole	北極
North Sea	北海(イギリス・オランダ・デンマーク・ノルウェーに囲まれた海)
North Star	北極星(Polaris)
Northern Hemisphere	北半球
Northern Ireland	北アイルランド(アイルランドの北部の自治地方で英本国の一部;《略》『N.I』)
Northman	古代スカンジナビア人(特に8‐11世紀にフランス北部および英国に侵入した海賊)
Northwest Territory	《the~》(もと)北西部属領地域(現在はIllinois,Indiana,Michigan,Ohio,Wisconsin,およびMinnesota州の一部に分けられている) / 《複数形で》(北カナダの)北西地区
Norw.	Norway / Norwegian
Norway	ノルウェー(スカンジナビア半島の西半分を占める王国;首都はOslo)
Norwegian	ノルウェーの / 〈C〉ノルウェー人 / 〈U〉ノルウェー語
Nos.,nos.	Numbers
Notation	〈C〉(特殊な記号・符号による一組の)表記,表習 / 〈U〉(特殊な記号・符号による)表記法 / 〈C〉《米》(本の欄外などの)書き込み,注記(note)
Notre Dame	(パリにある)ノートルダム寺院 / 聖母マリア
Nov.	November
Nova Scotia	ノウァスコシア(カンダ南東部の半島,またその州)
November	11月(《略》Nov.)
Novocaine	ノボカイン(特に歯科治療などの局所麻酔剤の商標名)
Np	neptuniumの化学記号
Number Ten	No.10 Downing Streetダウニング街10番地(英国首相官邸所在地で政府中枢部)
Numbers	民数記(旧約聖書の第四書)
Nv.	Nevada
n.	noun / north; northern / noon / number / note / name / neuter
n.d.	no date日付なし
n.e.s.,N.E.S.	not elsewhere specified 特に別記なき場合は
n.p.	no pagination ページを付けずに・no place of publication 発行地名を付けずに・(また『N.P』)no protest(手形で)拒絶証書不要
n.s.	not specified 明記されずに
n.u.	name unknown 氏名不詳
n/a	no account取引きなし
nab	(現行犯で)…を逮捕する / …をひっつかむ,ひったくる
nabob	(18‐19世紀のイギリスで,アジアでもうけた)大金持ち;《軽べつして》大尽;お偉がた
nacelle	(飛行機の)機関室,乗務員室
nacre	=mother-of-pearl
nadir	〈U〉《the~》天底(天体の1点から鉛直に下ろした地上の点) / 〈C〉《単数形で》最下点;どん底
nae	=no, not / =no
nag	おいぼれ馬;駄馬(だば) / 《話》(一般に)馬,(特に)競走馬 / (…のことで)〈人〉にがみがみ言う,口やかましく言う《+『名』+『about』+『名』(do『ing』)》;(…をせがんで)…にうるさく言う《+『名』+『for』+『名』》;…にうるさく言って(…)させる《+『名』+『into』+『名』(do『ing』)》 / 〈物事が〉…をしつこく悩ませる / (…に)がみがみ言って苦しめる《+『at』+『名』》 / 〈物事が〉悩みの種になる
naiad	(ギリシア神話・ローマ神話で,少女の姿をして川や泉に住む)水の精
naif,naïf	=naive
nail	(手の)『つめ』(fingernail);《まれ》(足の)つめ(toe-nail);(鳥獣の)つめ(claw, talon) / 『くぎ』,びょう / (…に)…をくぎ(びょう)で止める《+『名』+『on』(『to』)+『名』》 / (…に)〈人,人の注意・目など〉をくぎ付けにする《+『名』+『on』(『to』)+名》 / 《話》…をつかまえる,しとめる;〈うそなど〉を見破る
nail file	(つめの手入れ用の)つめやすり
nail polish	マニキュア液(《英》nail varnish)
nail scissors	つめ切りばさみ
nailbrush	(マニキュア用の)つめのブラシ
