nainsook	ネインスック(肌着・幼児服用の柔らかな綿織物)
naive,naïve	(若き・経験不足から)〈人・言葉などが〉無邪気な,天真らんまんな,世間知らずな / 人を信じやすい,だまされやすい 日本語で「繊細な」という意味で「ナイーブ」使われることがありますが、英語では「ナイーブ」にそのようなニュアンスは含まれません。
naivety,naïvety	=naiveté
naiveté,naïveté,naivete	〈U〉天真らんまん,純真;〈C〉《複数形で》無邪気な言葉(行為)
naked	(体の全部,または一部が)『裸の』 / 『はぎ取られた』,むき出しにされた / (目が)肉眼の,裸眼の / 《名詞の前にのみ用いて》(事が)赤裸裸の,あからさまの
namby-pamby	《話》めそめそした;にやけた / 感傷的な話(詩文);めめしい人,にやけた男
name	『名』,『名前』,姓名;(物の)名称;名義 / 《単数形で》『名声』;評判(reputation) / 悪口,悪態 / 《俗》有名な人 / 名のある,有名な,一流銘柄の / …に『名をつける』,命名する / を『名を言う』 / 〈人〉を指名する,任命する / (…に対して)…を指定する《+『名』+『for』+『名』》
name day	《古》聖名祝日(人が名をもらった聖人の祝日) / 命名日,洗礼日
name of the game	《話》(行動などの)ねらい,決め手,一番肝心なこと,最重要点,主目的,本質,核心,要点,
namedrop	《話》(よく知らないくせに)有名人の名前や作品を口にする
nameless	名前のついていない / 名の知られていない,無名の / 口に出すのもはばかられる / 口に出して説明できない
namely	『すなわち』,つまり(that is to say)
nameplate	表札,名札
namesake	同名の人 / (ある人の)名をもらった人
nankeen,nankin	〈U〉南京(なんきん)もめん / 《複数形で》もめんのズボン
nanny	《英》(特に上流家庭の)乳母(うば),ばあや
nanny goat	雌ヤギ
nanosecond	10億分の1秒
nap	(特に日中の)『ひと眠り』,昼寝 / ひと眼りする,まどろむ / (ラシャなどの)けば / ナポレオン(カードゲームの一種) / 〈新聞記者などが〉〈勝ち馬の名〉を予想する
napalm	ナパーム(焼い弾・火炎放射器に用いる高い放火性をもつゼリー状の物質)
nape	うなじ,えり首
napery	食卓用白布(テーブル・クロス・ナプキンなど)
naphtha	ナフサ,粗製ガソリン
naphthalene,naphthaline	ナフタリン
napkin	(また『table』『napkin』)『ナプキン』 / 《英》=diaper
napkin ring	ナプキンリング(各人のナプキンを巻いてはさんでおく木(銀)製などの輪)
nappy	=diaper
narc	麻薬取締官
narcissi	narcissusの複数
narcissism	自己陶酔症,ナルシシズム
narcissist	自己陶酔者
narcissistic	自己陶酔の,自己に酔った
narcissus	スイセン
narcosis	(麻酔剤による)昏睡(こんすい)状態
narcotic	麻酔性の / 《名詞の前にのみ用いて》麻薬の / 麻酔剤,麻薬
narcotism	麻薬中毒;(麻酔による)昏睡(こんすい)
narcotize,narcotise	…に麻酔をかける;…を鈍くさせる
nard	甘松(かんしょう)香(古代人が用いた香油)
nares	鼻孔(びこう),単数形は「nare」
nark	=narc / たれ込み屋 / …を怒らせる,悩ませる・不平を言う
narky	ふきげんな
narrate	…の話をする,を物語る,述べる / (ドラマなどで)語り手になる
narration	〈U〉(…について)『話をすること』,物語ること《+『of』+『名』》 / 〈C〉〈U〉物語(narrative) / 〈U〉(文法上の)話法
narrative	〈C〉〈U〉『物語』,話(story) / 〈U〉話術,語り口 / 『物語の』 / 手術の
narrator,narrater	『語り手』,ナレーター
narrow	(幅の)『狭い』,細い / 『範囲(種類)が限られた』(limited) / 『厳密な』,正確な(exact) / 『やっとり』,かろうじての / (海・川などの)『せばまった場所』; / (…に)…を狭くする,細める,せばめる《+『down』+『名』(+『名』+『down』)+『to』+『名』》 / 狭くする,細くなる
narrow boat	運河用ボート
narrow-gauge	(鉄道の)狭軌レール
narrow-minded	(人が)心の狭い,偏狭な,(意見などが)偏った
narrowly	狭く,細く;限定して / かろうじて,危うく,やっと / 綿密に,つぶさに
narrowness	(幅が)狭いこと / (範囲などが)限られていること
narthex	拝廊(教会の正面入口から本堂の至る広間になっている廊下)
narwhal	イッカク(寒帯の海に住む鯨の一種で,雄には角のような長いきばが一本ある)
nasal	《名詞の前にのみ用いて》鼻の / 鼻声の / (音声が)鼻音の / (音声で)鼻音;鼻音字([m][n][g])
nasalization, nasalisation	鼻音化
nasalize,nasalise	…を鼻声で発音する,鼻音化する / 鼻声で言う
nascent	始まりの,初期の
nastily	不快に / 意地悪く / みだらに
nastiness	不快さ / 意地悪さ / みだらさ
nasturtium	キンレンカ(黄や赤の花をつける園芸植物)
nasty	『意地悪な』,卑劣な / 『不快な』,いやな(unpleasant) / みだらな,下品な / 厄介な,ひどい
nat.	national / natural
natal	《おもに文》誕生の
natality	出生率
nates	《複数形》しり,臀部(でんぶ)
nation	《集合的に》『国民』(people) / 『国家』,国(country) / 民族,種族(北米インディアンの)部族
nation-state	民族国家
national	『国民の』;『国家の』 / 『国立の』,国有の / 全国的な / 《修飾語を伴って》(特定国の)市民,国民
national anthem	国歌
national debt	〈C〉国債 / 国の借金 / 政府債務
national government	連立内閣,挙国一致内閣
national monument	国定の史(名)跡,国定天然記念物
national service	《しばしば『N-』『S-』》(英国の)国民兵役[期間](《米》draft, selective service)
nationalism	愛国心;国家主義 / (植民地などの)民族主義,独立自治主義
nationalist	国家(国粋)主義者 / 民族独立主義者 / 国家(国粋)主義の;民族独立主義の
nationalistic	=nationalist
nationalistically	国家(国粋)主義的に;民族独立主義[者]的に
nationality	〈U〉国籍 / 〈C〉民族 / 〈U〉国家としての独立
nationalization,nationalisation	(…の)国民化《+『of』+『名』》 / (…の)国有化,国営化《+『of』+『名』》
nationalize, nationalise	〈土地・産業など〉を国有化する / …を全国的にする,国家的にする
nationally	国家的に,国家的見地から / 国全的に
nationwide	全国的な
native	《名詞の前にのみ用いて》『出生地の』,母国の / 『生まれつきの』,生来の / 原産の,土地特有の / 《名詞の前にのみ用いて》土着の;《今はまれ》原住民の,原住民特有の / 天然のままの;純粋な / (…)『生まれの人』《+『of』+『名』》 / (移民・旅行者などと区別して)土着の人;《今はまれ》原住民 / (…に)固有の動物(植物);(…の)原産物《+『of』+『名』》
nativism	原住民保護主義(政策)
nativity	〈U〉〈C〉出生(birth) / 《the N-》キリストの降誕;キリスト降誕の図;キリスト降誕祭,クリスマス(Christmas)
nativity play	キリストの降誕劇
natl	national
natter	(…について)おしゃべりする《+『away on』(『about』)+『名』》 / たわいないおしゃべり,むだ話,不平を言う
nattily	こぎれいに,きちんとして
nattiness	きちんとしていること
natty	(服装・風さいなど)こぎれいな,きちんとした
natural	『自然のままの』,自然にある,自然が作る / 自然に関する / 『当然の』,あたりまえの / 『生まれつきの』(inborn) / 生き写しの,真に迫った / 気どらない,飾らない / (音階が)本位の / (音階の)本位音;本位記号 / 《単数形で》《話》(…の)生来の達人,(…に)最初からうってつけの人《+『for』(『as』)+『名』》
natural gas	天然ガス
natural history	博物学(動物学・植物学・鉱物学など自然物の研究を扱う)
natural law	(道徳上の)自然法;自然の理法,自然法則
natural number	自然数(1から始まって無限に続く正の整数)
