naturalism	(文学・芸術・哲学などの)自然主義
naturalist	博物学者;(特に)動物(植物)学者 / (文学・芸術・哲学などの)自然主義者 / =naturalistic
naturalistic	(文学・芸術・哲学などの)自然主義的な,写実的な
naturalization	帰化 / (文芸などの)移入 / (動物植などの)移植
naturalize,naturalise	(…に)〈外国人〉を帰化させる《+『名』+『in』(『into』)+『名』》,(…として)…に市民権を与える《+『名』+『as』+『名』》 / (…に)〈動植物〉を移植する,帰化させる《+『名』+『in』(『into』)+『名』》 / (…に)〈外国の言葉・習慣など〉を取り入る《+『名』+『in』(『into』)+『名』》
naturally	『気どらずに』,自然に / 《しばしば文全体を修飾して》『当然』,もちろん(of course) / 『生まれつき』(by nature) / 自然の力で,ひとりでに
nature	〈U〉『自然』,自然界,万物;自然の力;《しばしば『N-』》(擬人化した)自然,自然の女神 / 〈C〉〈U〉(人・動物,あるいは物事の持っている)『本質』,性質,本性 / 〈C〉《単数形で》種類(sort, kind)
naturism	自然崇拝説 / 裸体主義
naturopathy	自然療法医,食餌(しょくじ)療法医
naught	〈U〉《古》《詩》無,無価値(nothing) / 《英》(またnought)〈C〉〈U〉ゼロ,零
naughtily	わんぱくに
naughtiness	わんぱく
naughty	(子供が)『いたずらな』 / 《遠回しに》みだらな,わいせつな
nausea	吐き気 / 強い嫌悪(けんお)(loathing)
nauseate	…に吐き気を起こさせる / …にひどくいやな感じを与える
nauseous	 {形}吐き気を催すような / 吐き気がする / (比喩的)不快な,むかむかする
naut.	nautical
nautch	ノーチ(インドの踊り子の演じるショーダンス)
nautical	船の;船員の;航海の
nautical mile	海里(1,852メートル)
nautilus	オウムガイ(南太平洋・インド洋産の渦巻き貝)
nav.	naval / navigable
naval	『海軍の』;軍艦の
nave	(教会の)身廊(しんろう),会衆席
navel	へそ / 中心(center)
navel orange	ネーブル(オレンジの一種)
navigability	(川・海などの)航行可能(性)
navigable	(川・海などが)船が通える,航行可能な / (船・航空機が)航海(航空)に耐える
navigate	〈人が〉〈船・航空機など〉を『操縦する』 / 〈船・飛行機が〉…を『航行する』,〈人が〉…を船(飛行機)で行く / 〈物事〉をうまくやっていく / (飛行機)を操縦する,航行する
navigation	(船・飛行機の)『航行』 / 航海術,航空術
navigator	『航海士』,航空士 / 航海熟練者(特に初期の海洋深検家についていう)
navvy	土木労働者,土方,土工
navy	《集合的に;《米》単数扱い,《英》単数・複数扱い》『海軍』 / 《集合的に;《米》単数扱い,《英》単数・複数扱い》《通例the N-》(ある国の)海軍 / 〈U〉=navy blue
navy bean	白インゲンマメ(《英》haricot [bean])
navy exchange	(海軍基地の)酒保,売店
navy-blue	濃紺色(英国海軍の制服の色) / 濃紺[色]の
nay	《古》いな,いや(no) / 《文》そればかりでなく,それどころか / 拒絶,否定 / 反対投票;反対投票者
ne plus ultra	(…の)極致,頂点《+『of』+『名』》,極限
ne'er	=never
ne'er-do-well	ろくでなし,ごくつぶし / ろくでなしの
neap	小潮(こしお)(潮の干満の差が最小の日)
neap tide	=neap,最低潮,小潮
near	(空間的・時間的に)(…の)『近くに』,(…に)接近して《+『to』+『名』》 / 《しばしば複合語を作って》『ほとんど』(almost, nearly) / (空間的・時間的に)『近い』,接近した / (関係などが)『身近な』 / 『きわどい』,やっとの / (空間的・時間的に)…『に近く』,『の近くに』 / (状態などが)…に近く,…しそうで / (時間・空間上)…に近づく / 近づく,接近する / 「ほとんど…,ほぼ…」の意を表す
near beer	(アルコール分0.5%以下の)代用ビール
near miss	至近弾 / (航空機の)異常接近,ニアミス / 惜しい失敗,成功の一歩手前
near thing	《単数形で》《話》間一髪の危機
nearby	《名詞の前にのみ用いて》すぐ近くの,そばの(close by) / 《名詞・動詞の後に用いて》近くに / 《前置詞的に》…の近くの(に)
nearly	『ほとんど』,もう少しで / 《まれ》(血縁・利害・関連などについて)密接に,親密に(closely)
nearness	(…への)近さ,接近,近似《+『to』+『名』》
nearside	《名詞の前にのみ用いて》《おもに英》(馬や馬車の)左側の
nearsighted	《おもに米》近視[眼]の(《英》shortsighted)
neat	(見た目に)『きちんと整った』,小ぎれいな / (人などが)きれい好きな;(服装などが)さっぱりした / (やり方・話し方などが)手ぎわのよい / 《米話;現在はまれ》すばらしい,すてきな / 《話》(酒などが)水で割らない,ストレートの
neath,'neath	《詞》=beneath
