negative income tax	(国庫から低所得者への)収入補助[制度]
negative pole	(磁石の)陰極
negatively	否定的に / 消極的に
negativism	否定論,懐疑論
neglect	…を『無視する』,かまわない,ほっておく / (特に不注意で)…を『怠る』,忘れる(disregard) / (…の)『無視』,怠慢,(…を)ほったらかしにすること《+『of』+『名』》 / 無視(放置)されていること(状態)
neglected	無視された,顧みられない
neglectful	怠慢な,ほったらかしの;(…を)投げやりにしている《+『of』+『名』》(careless)
negligee,négligé	化粧着,ネグリジェ
negligence	(習慣的な)『怠慢』,不注意,落ち度;(法律で)過失 / 『むとんじゃく』,だらしなさ
negligent	『怠慢な』,なげやりな / 『むとんじゃくな』,かまわない
negligible	取るに足らない
negotiable	交渉できる / (手形などが)譲渡できる / 《話》(障害・困難などが)乗り越えられる
negotiate	(人と)〈物事〉を『取り決める』,『協定する』《+『名』+『with』+『名』〈人〉》 / 〈小切手・手形・証券など〉を売却する,換金する / 《話》〈障害・困難〉をうまく乗り越える,切り抜ける / (人と物事について)取り決める,協定する《+『with』+『名』〈人〉+『about』(『for,on,over』)+『名』》
negotiation	〈U〉〈C〉《しばしば複数形で》(物事についての人との)『取り決め』,『交渉』,話し合い《+『with』(『between』)+『名』〈人〉+『about』(『for,on,over』)+『名』》 / 〈U〉(手形などの)換金,譲渡 / 〈U〉《話》(障害・困難などの)克服
negotiator	交渉者,協定者 / (小切手などの)譲渡者
negus	ニーガス酒(ワイン・湯・砂糖・香料などを混ぜて作った飲料)
neigh	馬のいななき / 〈馬が〉いななく,ヒヒーンと鳴く
neighbor,neighbour	『隣人』,隣国,隣国人,隣の席の人;隣にあるもの / 同胞,仲間 / 《『neighbor』 『on』+『名』》(…に)隣接する
neighborhood,neighbourhood	〈C〉『近所』,近隣 / 《the ~》《集合的に》『近所の人々』 / 〈C〉街区,地区;住宅地;近隣社会
neighboring,neighbouring	《名詞の前にのみ用いて》『近くの』;隣の
neighborliness,neighbourliness	隣人らしさ;隣人愛,親しい隣人関係
neighborly,neighbourly	隣人らしい;人付き合いのよい
neither	《単数名詞を伴って》(二つのうちの)『どちらの…も…ない』,…のどちらも…でない / (二つのうち)『どちらも…ない』 / 《neither…nor~の形で》…『でも~でもない』,また…もしない,…もまた…でない / 《否定文(節)に続いて》…『もまた』…『ない』,…でもなくまた…でもない
nelson	(レスリングの)首固め
nem con	=nemine contradicente 満場一致で
nematode	線虫(環節のない細長い虫)
neoclassical	新古典主義の,新古典派の
neoclassicism	(美術・文学などの)新古典主義
neocolonialism	(強国の新興独立国にする)新植民地主義
neodymium	ネオジム(希土類金属元素:化学記号は『Nd』)
neologism	〈U〉新語の使用 / 〈C〉新語,新語釈
neon	ネオン(気体元素;化学記号は『Ne』)
neon light	ネオン燈
neon sign	ネオンサイン
neonatal	新生児の
neonate	新生児
neophyte	新改宗者,新たに洗礼を受けた人 / 初心者,初学者
neoplasm	(体内にできる)新生物;腫瘍(しゅよう)
nepenthe	〈U〉〈C〉悲しみや苦しみを忘れさせてくれる薬;(一般に)忘却を誘うもの / ウツボカズラ(熱帯産の食虫植物)
nephew	『おい』(自分や配偶者の兄弟姉妹のむすこ)
nephritis	腎炎(じんえん)
nepotism	(官職任用の際の)縁者びいき,同族登用
neptunium	ネプトニウム(放射性元素;化学記号は『Np』)
nerve	〈C〉『神経』 / 〈C〉《複数形で》『神経過敏』,いらだち / 〈U〉『勇気』,度胸(courage) / 〈U〉《時にa ~》厚かましさ,ずぶとさ;無礼 / 〈C〉葉脈;(昆虫の)翅脈(しみゃく) / 〈人,特に自分〉に力を与える,を元気づける
nerve cell	神経細胞
nerve center	神経中枢
nerve fiber	神経繊維
nerve gas	神経ガス(呼吸神経などを冒す軍事用毒ガス)
nerve-racking, nerve-wracking	神経にさわる,いらいらさせる
nerveless	勇気のない,意気地のない,力のない(weak) / 冷静な,落ち着いた(calm) / 神経のない;葉脈(翅脈)のない
nervous	『神経の』 / 『神経質な』,神経過敏な / 『心配な』,不安な
nervous breakdown	神経衰弱
nervous system	《the ~》神経系統
nervously	神経質に,びくびくして,いらいらして
nervousness	神経質なこと,神経過敏;おく病
nervy	《米話》ずうずうしい,厚かましい(bold) / 《英話》神経質な;神経衰弱の
ness	《古》岬(みさき)
nest	(鳥・昆虫・魚類・小動物などの)『巣』,巣穴 / 《集合的に》巣の中の鳥(動物など),(昆虫などの)群れ / 居ごこちよい場所,落ちつける場所 / (犯罪などの)温床;(悪党などの)巣窟(そうくつ) / (入れ子式・重箱式などになった物の)一組,一そろい《+『of』+『名』》 / 巣を作る,巣ごもる / …を巣に入れる / (巣に入れるように)…をすっぽり収める / …を入れ子式にする,重ね合わせる
nest ce pas	そうでしょ,そうじゃないかい(=Isn't it [so]?)
nest egg	擬卵,抱き卵(めんどりが卵を産むのを促すために巣に入れておく陶製の卵) / (不時の支出,将来のために)用意の金,貯金
nesting	《英》(卵を取るための)鳥の巣捜し
nestle	《場所を表す副詞[句]を伴って》ここちよく(ぴったりと)落ち着く / (…に)…をここちよく落ち着かせる《+『名』+『in(into)』+『名』》 / (…に)…をすり寄せる《+『名』+『on(against)』+『名』》
nestling	(巣離れするには早すぎる)ひな鳥
net	(魚・鳥・昆虫などを捕らえる)『網』;(人・物を保護するための)網,ネット;(各種球技用の)ネット;(ベール・カーテンなどに用いる)ネット / わな,落とし穴 / (電話・ラジオなどの)情報網,通信網(network) / …を網に作る(編む) / …を網で捕らえる / …を網でおおう;…に網を張る / 《名詞の前にのみ用いて》正味の / 正味;正価;純益,実収入 / …の純益を上げる
net ton	〈C〉容器などを除いた中身だけの重さ / 〈U〉正味トン(貨物の重量を表す単位)
netball,net ball	ネットボール(バスケットボールに似た英国のゲーム)
nether	《名詞の前にのみ用いて》下の
nethermost	いちばん下の
netherworld	下界,地獄
nett	=net
netting	(製品を作る材料としての)網 / 《集合的に》網細工,網製品 / 網を編むこと;網打ち
nettle	イラクサ(とげのある雑草) / …をちくちく刺す / …をいらだたせる
nettle rash	じんましん
nettlesome	いらいらさせる,しゃくにさわる
network	〈U〉〈C〉網,網細工 / 〈C〉『網状のもの』 / 〈C〉(ラジオ・テレビの)放送網
neural	神経[系統]の
neuralgia	神経痛
neuralgic	神経痛の
neurasthenia	神経衰弱
neurasthenic	神経衰弱の / 神経衰弱症患者
neuritis	神経炎
neurologist	神経学者,神経科医
neurology	神経学(神経・神経系の病気に関する学問)
neuron	神経単位,神経細胞,ニューロン,ノイロン
neurosis	神経症,ノイローゼ
neurotic	神経症の,ノイローゼの / 神経症患者
neut.	neuter
neuter	(文法で)中性の / (文法で)中性,中性名詞(形容詞,代名詞) / …を去勢する
neutral	『中立の』;中立国の / 『公平な』,不偏不党の / (人・物が)特色のはっきりしない;(色が)はっきりしない,くすんだ / (酸性でもアルカリ性でもない)中性の / (電気が)中性の,(物体が)帯電していない / (自動車などのギアが)ニュートラルの / (文法で)中性の / 〈C〉(戦争・論争などで)中立の人;中立国民;中立国 / 〈C〉くすんだ色,灰色 / 〈U〉(自動車などのギヤの)ニュートラル(動力のかかっていない状態・位置)
neutral spirits	中性スピリット(ウィスキーなどの調合用アルコール)
neutralism	(外交問題などの)中立主義政策
neutrality	中立
neutralization,neutralisation	中立化 / 中和
neutralize,neutralise	…を中立化する,の中立を宣言する / (反対の作用で)…を打ち消す,無効にする / (化学作用で)…を中和する / 〈電荷など〉を中性にする
neutralizer	中立化させる人;中和剤
neutrino	中性微子(放射性物質の崩壊のとき放出される素粒子)
