never-ending	果てしのない
never-never land	まぼろしの国,夢の国
nevertheless	『それでもやはり』 / 『それにもかかわらず』
nevus	母斑(ぼはん)(先天性のあざ・ほくろ・そばかすなど)
new	(その状態になってまだ時間がたっていなくて)『新しい』;《名詞の前にのみ用いて》新しく発見(発明)された,新しく来た / 《名詞の前にのみ用いて》目新しい,初めて聞く,なじみのない / 《補語にのみ用いて》(人が)(…に)『まだ慣れていない』,(…を)よく知らない《『to』+『名』》 / 《補語にのみ用いて》(人が)(…から)出てきたばかりの《+『from』+『名』》 / 《名詞の前にのみ用いて》まだ着た(使った)ことがない,新品の / 新たに始まる;(肉体的・精神的に)一新した / 《おもに複合語を作って》最近(recently);新たに,新しく(newly)
new blood	(企業・組織・チームなどの)新しい血,新人
new math	新数学(集合の概念から出発する数学の一方法)
new moon	新月,三日月 / 新月の出る期間
new town	(周到な都市計画に基づく)ニュータウン
new wave	ニューウェーブ(1970年代後半から1980年代に欧米で流行した音楽・芸術運動) / 新しい潮流,新風
new-fashioned	新式の,新流行の
newborn	生まれたばかりの / 生まれ変わった,再生の
newcomer	(…に)新しく入った人,新入者《+『to』+『名』》
newel	(らせん階段の軸になる)親柱;(階段の手すりの)親柱
newfangled	《名詞の前にのみ用いて》《やや軽べつして,またはこっけいに》 / 新奇な,新式の / 新しがり屋の
newly	『最近』,近ごろ / 『新たに』,再び
newness	新しさ
newpenny	(英国の)新ペニー(硬貨)
news	(新しい)『報道』,記事;(一般的に)知らせ,たより / (耳新しい)事件,でき事 / 〈C〉ニュース
news agency	通信社
news conference	=press conference
news media	ニュース媒体(新聞・ラジオ・テレビなど)
newsagent	=newsdealer
newsboy	新聞売り子,新聞配達少年
newscast	(ラジオ・テレビの)ニュース放送番組
newscaster	ニュース放送者,ニュース解説者
newsdealer	新聞(雑誌)販売人(《英》newsagent)
newsgirl	(女性の)新聞売り,新聞配達婦
newsletter	(定期講読者向けの)時事通信;社報,公報,回報,PR誌
newsman	新聞売り / 報道記者;ニュース解説者
newsmonger	うわさ好きな人,おしゃべり
newspaper	(また《話》『paper』)〈C〉『新聞』 / 〈C〉新聞社 / 〈U〉新聞印刷用紙(newsprint)
newspaperman	(また『newspaper reporter』)新聞記者 / 新聞経営者
newspaperwoman	婦人新聞記者
newsprint	新聞印刷用紙
newsreel	(短い)ニュース映画
newsroom	(新聞社・放送局の)ニュース編集室 / 新聞雑誌閲覧室
newssheet	(1または2ページの)1枚新聞
newsstand	(駅・街頭などの)新聞雑誌売場
newsvendor,newsvender	新聞雑誌販売人 / 新聞雑誌自動販売器
newswoman	婦人新聞記者,婦人報道員
newsworthy	報道価値のあるニュース(記事)になる
