nightjar	ヨタカ(ヨーロッパ産の夜鳥)
nightlife	(観劇・ナイトクラブなどでの)夜の楽しみ,夜遊び
nightlight	終夜灯(寝室・病室などで夜通しつけたままにしておく明かり)
nightline	(夜間水中に仕掛けておく)夜釣り糸
nightlong	一晩じゅうの,徹夜の / 一晩じゅう,徹夜で
nightly	夜の,夜間の;毎晩の,夜ごとの / 毎晩,夜ごとに
nightmare	悪夢 / 悪夢のような経験(状態) / 夢魔(睡眠中の人を息苦しくさせるという魔女)
nightmarish	悪夢のような;恐ろしい
nightrider	(特に南北戦争後の)夜の騎馬暴力団員
nights	夜な夜な,毎晩
nightshade	ナス属の種々の有毒植物,(特に)イヌホウズキ / ナス科植物の総称
nightshift	〈C〉(昼夜交替制の)夜勤[時間] / 〈U〉《the ~》《集合的に》(工場などの)夜間労働者
nightshirt	(男子用の)長いシャツ型の寝巻き
nightspot	ナイトクラブ
nightstick	(警官の)警棒
nighttime	夜間
nightwalker	夜間うろつきまわる人(泥棒,売春婦など)
nightwear	寝巻
nigritude	黒さ,漆黒,まっ暗やみ
nihilism	虚無主義,ニヒリズム
nihilist	虚無主義者 / 無政府主義者
nihilistic	虚無的な,虚無主義の,ニヒルな
nil	無(nothing) / 《英》(スポーツの得点で)ゼロ
nimbi	nimbusの複数形
nimble	(人・動作などが)すばやい,軽い,敏しょうな・理解が早い,分かりが早い・鋭敏な
nimbleness	すばやさ,敏しょう
nimbly	すばやく,機敏に
nimbostratus	(雨・雪を降らせる)乱層雲
nimbus	(宗教画などの)後光 ・光輪・(人・もの・場所にただよう)輝かしいふんい気; 後光 (halo)・光輪; 栄光;雨雲
nincompoop	ばか者,まぬけ(fool)
nine	〈C〉(数の)『9』;9の記号(9,IXなど) / 〈U〉9時,9分;9歳 / 〈U〉《複数扱い》9人,9個 / 〈C〉9人(9個)一組のもの;野球チームのメンバー / 〈C〉(カードゲームの)9の札 / 《the N-》9人の学芸の女神(the nine Muses) / 『9の』,9人の,9個の / 《補語にのみ用いて》9歳の(で)
nine days' wonder	(10日もたてば忘れられる)ほんのしばらく注意を引くことがら,すぐに忘れられてしまう物事,人の噂も75日
ninefold	9倍の,九重の / 9倍に,九重に
ninepins	《単数扱い》九柱戯(とっくり型のピン9本を並べ,玉をころがして倒すボウリングに似た野外遊戯) / 《複数扱い》九柱戯で使うピン
nineteen	〈C〉(数の)『19』;19の記号(19,『XIX』など) / 〈U〉(24時間制で)19時,19分;19歳 / 〈U〉《複数扱い》19人,19個 / 〈U〉19人(19個)一組のもの / 『19の』,19人の,19個の / 《補語にのみ用いて》19歳の(で)
nineteenth	《the~》『第19の』,19番目の / 19分の1の / 〈U〉《the~》『第19番目』[のもの];(月の)19日 / 〈C〉19分の1
ninetieth	《the~》『第90の』,90番目の / 90分の1の / 〈U〉《the~》『第90番目』[のもの] / 〈C〉90分の1
ninety	〈U〉(数の)『90』;90の記号(90,XCなど) / 〈U〉90歳 / 〈U〉《複数扱い》90人,90個 / 《the nineties》(世紀の)90年代;(年齢の)90歳代 / 『90の』,90人の,90個の / 《補語にのみ用いて》90歳の(で)
ninny	ばか
ninon	ニノン織り(軽いドレス用絹布)・薄絹
ninth	《the~》『第9の』,9番目の / 9分の1の / 〈U〉《the~》『第9』・9番目[のもの];(月の)9日 / 〈C〉9分の1
niobium	ニオビウム(金属元素;化学記号は『Nb』)
nip	…をはさむ,つねる,ぎゅっとかむ / (…から)…を摘み取る,はさみ切る《+『of』+『名』(+『名』+『off』)+『from』+『名』》 / 《まれ》…を縮みあがらせる,ずきっと痛くする / を成長(進展)を止める / はさむ,つねる,かむ / 《おもに英話》《方向などを表す副詞を伴って》すばやく動く,急ぐ / 〈U〉〈C〉はさむ(つまむ,かむ)こと / 〈C〉《しばしばa~》肌を刺す寒さ / 〈U〉《しばしばa~》《米》強い(刺激的な)味,つんと鼻にくる風味 / 〈U〉〈C〉《英話》急ぐこと / 酒の一口,すすり
nipper	《複数形で》はさむ物;やっとこ,くぎ抜き,毛抜き,針金切りなど / 《英話》少年
nipping	(風・寒さなどが)身を切るように冷たい / (言葉・調子などが)辛らつな
nipple	(人間や動物の)乳首 / 乳首に似た物;《米》(ほ乳びんの)乳首
nippy	すばしこい / 身を切るような / ぴりっとくる
nirvana	〈U〉《『N-』》ねはん(仏教の用語) / 〈C〉〈U〉苦痛・悩み・世俗を超越していること(した場所)
nisi	(法律で)仮判決の(一定期間内に異議を申し立てない限り効力を発する)
nit	(シラミなどの)卵,幼虫 / 《英》=nitwit
niter,nitre	硝酸カリウム,硝石(火薬原料) / 硝酸ナトリウム,チリ硝石(肥料用)
nitpick	(…のことで)こまごまとこだわる,せんさくする《+『at』+『名』》
nitpicker	細かいことにこだわる人,あら探しする人
nitrate	硝酸塩 / 硝酸塩類化学肥料
nitre	=niter
nitric	窒素の,窒素を含む
nitric acid	硝酸
nitride	窒化物
nitrify	…を硝化する,亜硝酸に変える / …に窒素[化合物]をしみこませる
nitrite	亜硝酸塩
nitrocellulose	ニトロセルロース,硝酸繊維素
nitrogen	『窒素』(気体元素;化学記号は『N』)
nitroglycerin, nitroglycerine	ニトログリセリン(ダイナマイトの原料;俗称nitro)
nitrous	(特に3価の)窒素の,窒素を含む
nitrous acid	亜硝酸
nitrous oxide	=laughing gas
nitty-gritty	《the~》《俗》物事の核心,(困難な)中心問題
nitwit	《話》ばか,あほう
nix	無,皆無 / いや,だめで(no) / {間} / やめろ,いやだ;気を付けよ / …を拒否する,断る
nixie	宛先不明郵便物
no	《名詞の前に置いて》『一つも』(『一人も,少しも』)…『ない』 / 《補語につけて》『決して…でない』 / 《省略文で》…なし;…お断り / 《話》少ししか(あまり)…ない / (肯定の問いに対して)『いいえ』;(否定の問いに対して)はい,ええ / 《not, norの前に挿入して》『いや』,否 / 《形容詞の前に置その形容詞を否定して》…どころではない / 《比較級の前に置いて》ちっとも…でない,…と全く同じ / 《… or no の形で》…であってもなくても / 《驚き・困惑・不信などを表して》とんでもない / 《単数形で》『拒否』,「『いいえ』」という返事 / 《複数形で》反対[投]票
no ball	(クリケットの)反則投球
no doubt	確かに,きっと,恐らく
no load	(販売手数料なしで売られる)オープン投資信託
no one	『だれも』…『ない』
no-account	ろくでなし,能なし / ろくでなし,能なしの
no-fault	(自動車の)無過失保険[制度] / (自動車の)無適失保険[制度]の / (離婚が)どちらに原因があるのかを問わず認められる
no-frills	余計なものがついていない
no-fund	=no-load
no-go area	(抗争する集団の)縄張り,不可侵領域
no-good	役立たずの / 役立たず,うどの大木
no-knock	(法律・条項などで)警官の無断立ち入りを許す
no-load	=no-load fund,ノーロードファンド,手数料不要のミューチャルファンド(販売手数料 = load は不要だがアドバイスもない)
no-man's-land	(交戦中の両軍前線間の)中間地帯 / (通例不毛の)所有者のない土地 / どちらともつかない状態,はっきりしない分野
no-no	許されない事(物),いけない事
no-par	額面価格を明記しない
no-return	(飲物の空びんなどが)返却不要の
no-show	(旅客機・列車などの座席を予約しながら)出発までに来ない客
no-trump	(ブリッジで)切り札なしの宣言(勝負手)
nob	金持ち,名士,上流人 / 頭
nobble	〈人など〉の歓心を買う / 〈物など〉を不正手段で勝ち取る,だまし取る / (薬などを与えて)〈競走馬〉を勝てなくする
nobelium	ノーベリウム(放射性元素;化学記号は『No』)
nobility	《the nobility》《複数扱い》『貴族階級』(英国の貴族階級は「duke公爵,marquis侯爵,earl伯爵,viscount子爵,baron男爵」がある.baronetは准男爵,knightは騎士) / 貴族の位;貴族の身分 / 『高貴さ』,気高さ
noble	高貴の;貴族の / 高潔な,気高い / (姿・規模などが)壮大な,堂々とした;すばらしい / (金属が)腐食しない / 《複数形で》(特に中世の)貴族
noble-minded	気高い,高潔な・心の大きい
nobleman	貴族
noblesse oblige	高貴な身分に伴う(徳義上の)義務,ノブレス・オブリージュ・高い身分には(道徳上の)義務が伴うこと
noblewoman	(女性の)貴族
nobly	身分高く,貴族にふさわしく / 気高く,壮大な,雄々しく
nobody	『だれも…ない』(not anybody) / 取るに足らない人,つまらぬ人間
