nonstick	(フライパンなどが)こげつかない,テフロン加工の
nonstop	途中停車(着陸)しない,直行の / 途中で停車(着陸)しないで / 《話》休まずに
nonsupport	扶養義務不履行
nonunion	労働組合に加入しない / 労働組合員を雇っていない
nonverbal	言葉によらない,言葉にならない
nonviolence	(戦術としての)非暴力主義(政策)
nonviolent	非暴力[主義]の
nonvoter	投票しない人,棄権者
nonwhite	白人でない / 〈C〉白人でない人
noodle	ヌードル(平打ちうどんの類;スープなどに入れる) / ばか者 / 《米俗》頭
nook	隅(すみ)(corner);引っ込んだ所 / 隔離された閑静な場所
noon	(また『noonday,noontide,noontime』)『正午』;真昼(midday) / 《the noon》(…の)最盛期《+『of』+『名』》
noonday	=noon 1 / 正午の,正午(真昼)に起こる
noontide	=noon 1
noontime	=moon 1
noose	(一方の端を引っ張ると締まるようになる)輪なわ,引き結び / 《the noose》絞首刑 / 〈動物など〉を輪なわ(わな)で捕らえる
nope	いいや,いえ(no)
nor	《neither…nor,で》…『も』,『も』…『ない』,また…ない(or not) / 《not,no,neverなどを含む否定節の後で,さらに次に続く内容を否定して》…『もまた』…『ない』 / 《肯定文の後,または文頭に置いて,次に続く内容を否定して》『そしてまた』…『ない』(and not)
norm	《しばしば複数形で》標準,規準;一般水準;(行動の)規範,ノルマ・基準量(値)
normal	『正常な』,『通常の』,標準の / (人が肉体・知能・情緒の発達において)平均的な,年齢相応の / (線などが)垂直な;(…に)垂直な《+『to』+『名』》・普通の;典型的な;直角をなす (to)・(実験動物が)常態の, 未処置[未免疫]の;(濃度が)規定の・常態;垂線, 法線;平均量[値]正常,通常;標準
normal school	(20世紀初期の)師範学校(今日ではteacher-training college)
normalcy	=normality
normality	正常,常態
normalization,normalisation	正常化;標準化,規準化
normalize,normalise	…を正常化する;…を規準に合わせる,標準化する
normally	正常に,普通に,常態では;標準的に
normative	標準[通り]の,規範的な
north	《the~》『北』;北方 / 《the~,the N-》北部[地方],北方[地域] / 《the N-》米国の北部諸州(特にOhio川以北のMaryland州・Missouri州を含む諸州;南北戦争で南部同盟諸州と戦った) / 『北の』,北部の,北向きの;北からの / 『北に』,北方へ
north-northeast	北北東 / 北北東へ向かう;北北東からの / 北北東へ(に)
north-northwest	北北西 / 北北西へ向かう;北北西からの / 北北西へ(に)
northbound	北方行きの
northeast	《the~》『北東』(《略》『NE,N.E.』) / 《the~》北東地域,北東部;《the N-》米国北東部[地方] / 北東へ向かう / (風が)北東からの / 北東へ(に)
northeaster	北東の強風
northeasterly	北東の;北東への / (風が)北東からの / 北東へ(に) / (風が)北東から
northeastern	北東の;北東へ向かう / 北東からの / 北東部得典の
northeastward	北東へ(に) / 北東の;北東へ向かう / 北東;北東部
norther	強い北風
northerly	北の;北へ向かう / (風が)北からの / 北へ(に) / (風が)北から
northern	『北の』,河[部]にある;北に向かう / 北からの / 《しばしばN-》北部特有の,北部ふうの;(特に)米国北部の
northern lights	=aurora borealis
northerner	北国の人,北部の人 / 《N-》《米》米国北部人
northernmost	最北の,最北端の
northland	〈C〉北国,(特にカナダ北部やアラスカを指して)北部地方 / =Scandinavia
northward	北へ(に) / 北の;北へ向かう / 北部,北方
northwest	〈U〉《the~》『北西』(《略》『NW,N.W.』) / 《the~》北西地域,北西部;《the N-》米国北西部[地方](特にIdaho,Oregon,Washington州を含む) / 北西へ向かう / (風が)北西からの / 北西へ(に)
northwester	北西の強風
northwesterly	北西の;北西への / (風が)北西からの / 北西へ(に) / (風が)北西から
northwestern	北西の;北西へ向かう / 北西からの / 北西部特有の
northwestward	北西へ(に) / 北西の;北西へ向かう / 北西,北西部
nose	『鼻』 / 《単数形で》(…に対する)『嗅覚』(きゅうかく)《+『for』+『名』》 / (鼻のように)突起した部分;船首,機首 / 《単数形で》(…を)かぎつける力《+『for』+『名』》 / 《副詞[句]を伴って》…を鼻で押す,鼻でさわる(こする) / …を鼻でかぐ,をにおいをかぐ;…をにおいで知る / (…の)においをかぐ《+『at』+『名』》 / 《副詞[句]を伴って》(用心しながら)鼻先を向けて進む
nose flute	鼻笛(鼻息で鳴らすタイなどの楽器)
nose ring	(牛などを引くための)鼻輪
nosebag	(馬などの頭からつるす)かいば袋
nosebleed	鼻血
nosecone	ノーズコーン(ロケット先端の円錐(えんすい)形部分)
nosedive	〈飛行機が〉急降下する / 《比喩(ひゆ)的に》急に落ちる / (機首を下に向けた)垂直降下,急降下 / 《比喩(ひゆ)的に》(価格などの)急落
nosegay	(特に,服につける香りのよい)小さな花束
nosey	=nosy
nosh	間食をする,つまみ食いする / 《おもに英俗》食べる / 〈U〉食べ物 / 〈C〉《単数形で》食べること
nosh-up	すごいごちそう
nosher	間食の多い人,つまみ食いをする人
nosiness	せんさく好き,おせっかい
nostalgia	ノスタルジア,昔を懐しむ気持ち,懐古の情 / 郷愁
nostalgic	郷愁の,郷愁に満ちた / 昔を懐しむ,懐古にふける
nostalgically	昔を懐しんで,郷愁で
nostril	鼻孔
nostrum	(製造会社が自己宣伝する)妙薬,万能薬 / 《やや皮肉に》(解決のための)妙案,秘策
nosy parker	せんさく好きな人,おせっかいやき
nosy, nosey	せんさく好きの,おせっかいな
