nut-brown	くり毛の,はしばみ毛の
nutcracker	《しばしば複数形で》クルミ割り / ホシガラス(とがった口ばしのカラス科の鳥)
nuthatch	ゴジュウカラ(ゴジュウカラ科の短い尾の鳥)
nuthouse	精神病院
nutmeat	堅果の仁(じん)(食用の部分)
nutmeg	ニクズクの木(種子)(東インド諸島産;種子は香料・薬用になる);〈U〉ニクズク,ナツメッグ
nutpick	くるみ掘り出し器
nutria	〈C〉ヌートリア(南米産の海狸(かいり)ネズミでその毛皮は珍重される) / 〈U〉その毛皮
nutrient	栄養に富む / 〈C〉栄養物,栄養剤
nutriment	〈U〉〈C〉栄養分,養分;食物(food)
nutrition	(生物の)栄養摂取 / 栄養分,食物
nutritional	栄養の,栄養的の
nutritionist	栄養士;栄養学者
nutritious	栄養に富む
nutritive	栄養に富む / 栄養の,栄養に関する
nuts	気違いの;気違いじみた / (…に)夢中の《+『about』(『over』)+『名』》 / (失望・不幸・拒否・失敗などを示して)ちぇっ,だめだ,くそっ
nutshell	(クルミなどの)殻(から)
nuttiness	木の実が多いこと / 木の実のような風味
nutty	木の実(堅果)の多い,木の実のなる / (味が)木の実のような / 《話》気違いの,気違いじみた
nuzzle	〈動物が〉…に鼻をすり寄せる,を鼻でこする / (…に)麦をすり付ける;寄り添う《+『up against』(『to』)+『名』》
nylon	〈U〉『ナイロン』 / 《複数形で》ナイロンの靴下
nymph	『ニンフ』(ギリシア・ローマ神話で泉・川・森・海などに住む美しい妖精) / 美少女 / 若虫(じゃくちゅう)(トンボ・セミなどの不完全変態をする昆虫の幼虫)
nymphet	(10代前半の)魅力的な少女
nymphomania	〈U〉(女性の)異常性欲 / 色欲症
nymphomaniac	〈C〉色欲症の女性 / 過剰な性的欲求をもつ女性
