oak apple	カシワ没食子(もっしょくし)(虫の産卵で木にできる虫こぶ)
oaken	オーク材製の
oakum	まいはだ(古い麻なわをほぐしたもの;船板のすき間に詰める)
oar	(ボートの)『オール』,かい / こぎ手(oarsman) / 〈ボート〉をオールでこぐ / こぐ
oarlock	(舟べりの)オール受け,かい座(《英》rowlock)
oarsman	(ボートの)こぎ手
oarsman ship	(ボートの)こぎ手の腕前
oasis	オアシス,砂漠の緑地 / (一般に)憩いの場所
oast-house	(とがった屋根をした)ホップ乾燥所
oat	《まれに》〈C〉(植物としての)『カラスムギ』,オートムギ,エンバク / 《複数形で;単数・複数扱い》(穀物としての)カラスムギ,オートムギ(家畜の飼料,またoatmealの原料)
oatcake	オートケーキ(オートミールで作った堅焼きビスケット)
oath	〈C〉〈U〉『誓い』,誓約 / 〈C〉のろいの言葉,悪態;下品な言葉
oatmeal	オートミール(あらくひいたカラスムギ) / オートミールのかゆ(普通牛乳と砂糖をかけて朝食に食べる)
ob.	obiit 彼(彼女)死せり
obbligato	助奏(普通の伴奏以外につける装飾的伴奏) / (伴奏などが)不可欠の,省略できない
obduracy	強情,がん固;冷酷
obdurate	がん固な,言うことをきかない / 冷酷な
obeah	(アフリカ・西インド諸島で行われる)魔術
obedience	(人,命令,規則などに対する)『従順』,服従;(…に)忠実なこと《+『to』+『名』》
obedient	『従順な』,すなおな
obediently	従順に,すなおに
obeisance	〈C〉(…に対する)敬礼,おじぎ《+『to』+『名』》 / 〈U〉(…に対する)敬意《+『to』+『名』》
obelisk	オベリスク,方尖(ほうせん)塔(断面が方形で先端がピラミッド形の石塔;古代エジプトの記念碑)
obese	でっぷり太った
obesity	肥満
obey	〈人〉に『服従する』 / 〈命令・法律など〉に『従う』,を守る / …に従って動く / 服従する;命令に従う
obfuscate	《文》…を混乱させる,わかりにくくさせる / 〈人の心〉を暗くする,曇らせる
obfuscation	混乱 / 心を暗くすること
obi	〈C〉帯 / (特に西アフリカの民間信仰における)呪術・魔術
obit	=obituary
obiter	ついでに
obiter dictum	(判事の)付随意見 / 付言,余録
obituary	(新聞などの)死亡記事 / 死亡の,死者に関する
obj.	object / objective
object	(見たり,触れたりできる)『物』,物体 / (…の)『対象となる人』(『物』,『事』),(…の)的《+『of』+『名』》 / (…の)『目的』,目当て(aim)《+『of』(『in』)+『名』(do『ing』)》 / (文法で)『目的語』 / (…に)『反対する』,異議を唱える《+『to』(『against』)+『名』(a person's do『ing』,『wh-節』)》 / (…を)いやに思う《+『to』(『against』)+『名』(a person's do『ing』,『wh』‐『節』)》 / 《『object』+『that節』》…だと反対して言う
object glass	(顕微鏡などの)対物レンズ
object lesson	(原理の)具体的例証 / (…の)実物教育,訓話《+『in』+『名』》
object of art	芸術品
object of virtu	美術骨とう品
objection	(…に対する)『反対』,異議,異論《+『to』(『against』)+『名』(do『ing』,『wh-節』)》 / (…に対する)嫌悪,不満《+『to』(『against』)+『名』(do『ing』,『wh』‐『節』)》 / (…に)反対する理由(根拠)《+『to』(『against』)+『名』(do『ing』,『wh』‐『節』)》
objectionable	不快な,好ましくない
objectionably	不快に
objective	(心の中だけでなく)実際に存在する / 客観的な / (文法で)目的格の / 目標,目的 / (文法で)目的格 / 対物レンズ
objectivity	客観性;客観的実在
objector	反対者
objet d'art	(フランス語)骨董品,小美術品,オブジェ
objurgate	…を激しく非難する,厳しく叱る
obl.	oblique / oblong
oblate	扁球の,扁円の
oblate sphere	(横に広い)扇球
oblation	《しばしば複数形で》《文》(神への)奉納物,供物;(聖体祭儀の)パンとぶどう酒
obligate	《受動態で》(道徳上または法律上)〈人〉に義務を負わせる;〈人〉に(…する)義務を負わせる《+『名』+『to』 do》
obligation	(法律・社会・道徳上の)『義務』,約束 / (法律・契約・約束などの持つ)拘束力,束縛 / (与えられた恩恵・好意などに対する)『恩義』,義理《+『to(toward)』+『名』》
obligatory	(道徳上・法律上)義務のある,強制的な;(課目など)必修の;(…に)必須の《+『on』(『upon』)+『名』》
oblige	〈人〉に『義務を負わせる』,強制する / 〈人〉に親切にする,の願いをかなえる
obligee	債権者,権利者 / 恩を受けた人
obliger	恩恵(恩義)を施す人,世話人,尽力者
obliging	進んで他人を助ける,人の役に立とうとする;(…の)役に立とうとする《+『to』+『名』》
oblique	傾いた,斜めの / 間接の,遠回しの / 〈C〉〈U〉斜線(/)
oblique angle	斜角(直角でない角;acute angle「鋭角」またはobtuse angle「鈍角」であることをいう)
obliterate	(…から)〈物の痕跡・記憶など〉を消す,抹殺(まっさつ)する《+『名』+『from』+『名』》
obliteration	消すこと,抹殺(まっさつ),削除;消滅
oblivion	人から忘れられている状態 / 忘れている状態,忘却
oblivious	(…を)忘れて,忘れっぽく《+『of』+『名』》;(…に)気づかないで《+『of』(『to』)+『名』》
oblong	長方形の,長円の / 〈C〉長方(長円)形;長方(長円)形のもの
obloquy	(特に大勢の人から)非難,悪口 / (非難・悪口で受けた)不名誉,汚名
obnoxious	有害な / 非常に不愉快な,いやな
oboe	オーボエ(木管楽器)
oboist	オーボエ奏者
obs.	obsolete
obscene	(言葉・思想・絵などが)みだらな,わいせつな
obscenity	〈U〉(言葉・思想・絵などの)わいせつ,みだらなこと(状態) / 〈C〉わいせつなもの(言葉,行い)
obscurantism	反啓蒙主義,教化(開化)反対 / 故意にあいまいにすること
obscure	『はっきりしない』,分かりにくい / よく知られていない,目につかない / 『薄暗』 / …を隠す,おおう / 〈意味など〉あいまいにする,分かりにくくする
obsequious	こびへつらう(人に)へつらう《+to(towards)+名》
obsequy	葬式,埋葬式
observable	目につく,観察できる / 注目に値する
observably	目立って,著しく
observance	〈U〉(法律・慣習・義務などを)『守ること』,(…に)従うこと《+『of』+『名』》 / 〈U〉(祭日・祭などを)『守って行う』(『祝う』)『こと』《+『of』+『名』》 / 〈C〉《しばしば複数形で》(お祝い・宗教上などの)行事,式典
observant	すぐ気がつく,観察力の鋭い《補語にのみ用いて》(法律・規則・慣習などを)よく守る《+『of』+『名』》
observation	〈U〉〈C〉(…を)『観察』(『注意』)『すること』;(…の)(特に,科学的)観察《+『of』+『名』》 / 〈U〉『観察力』,注意力 / 《複数形で》(…について)観察されたもの,(…の)観察記録《+『of』(『on』)+『名』》 / 〈C〉(観察に基づく)発言,意見《『observation on』(『about』)+『名』》…についての意見
observation post	(軍の)監視所
observational	観察の,観察上の
observatory	(自然現象,特に天体の)観察所 / 展望台
observe	…を『観察する』,注意して見る;…を見て気づく / 《『observe』+『that節』》…と『述べる』,言う / 〈法律・慣習・義務など〉を『守る』 / 〈儀式など〉を『とり行う』,挙行する,〈祭日・祭など〉を祝う(celebrate) / 観察(観測)する / (…について)所見を述べる,論評する《+『on』(『upon』)+『名』》
observer	(…を)『観察する人』,見守る人《+『of』+『名』》 / オブザーバー(会議などの正式の代表者でなく傍聴する人) / (規則・習慣などを)守る人
observing	注意ぶかい,観察力の鋭い
obsess	〈悪魔・妄想などが〉〈人〉にとりつく,の心につきまとう
obsession	〈U〉(悪魔・妄想などが)つきまとうこと;(悪魔・妄想などに)つきまとわれること / 〈C〉(…についての)妄想,強迫観念《+『about』+『名』》
obsessional	(人・考えが)強迫観念(妄想)にとりつかれた / (病気が)強迫観念(妄想)の症状を表して / 強迫観念(妄想)を持っていめ人
obsessive	妄想がとりついて;強迫観念を引き起こす / =obsessional
obsidian	黒曜石(黒色のガラス状火山岩)
obsolescence	すたれてきたこと
obsolescent	すたれかけている,すたれてきて
obsolete	(言葉・習慣などが)すたれた / 時代遅れの,旧式の(out of date)
obstacle	(…に対する)『障害』[『物』],邪魔[物]《+『to』+『名』》
obstet.	obstetric / obstetrics
obstetric,obstetrical	産科の
obstetrician	産科医
obstetrics	産科,産科学
