obstinacy	〈U〉頑固さ,強情;〈C〉頑固な行為(言葉) / 〈U〉(病気の)治りにくいこと
obstinate	『頑固な』,強情な / (病気などが)直りにくい
obstreperous	騒々しい;手に負えない
obstruct	(通れないように)…を『ふさぐ』 / …を『遮る』 / …の通過(進行)を妨げる,を妨害する
obstruction	〈U〉(…への)妨害,障害《+『to』+『名』》 / 〈C〉(…への)妨害物,障害物《+『to』+『名』》
obstructionism	議事妨害[行為]
obstructionist	議事妨害者
obstructive	妨害する,じゃまする;(…を)妨害する《+『of』+『名』》
obtain	(努力して)…を『得る』,手に入れる / 《『obtain』+『名』〈人〉+『名』=『obtain』+『名』+『for』+『名』〈人〉》〈物事が〉〈人〉に…を得させる,もたらす / 《文》〈習慣・制度などが〉一般に実われている
obtainable	入手できる,手にはいる
obtrude	(…に)…を押しつける,むりじいする《+『名』+『on』(『upon』)+『名』》 / …を押し出す,突し出す / (…に)でしゃばる《+『on』(『upon』)+『名』》
obtrusion	押しつけ;でしゃばり
obtrusive	押しつけがましい;でしゃばりの
obtuse	《まれ》(刃などが)鈍い(blunt) / 鈍角の / (人・感覚などが)鈍感な,愚鈍な
obtuse angle	鈍角
obverse	(貨幣・メダルなどの)表側;(一般に)表面 / 表面の;表向きの
obviate	〈危険や困難など〉を未然に防ぐ,前もって取り除く
obvious	(一見して)『明白な』,明らかな,すぐ分かれる;見えすいた
obviously	明らかに,明白に
obviousness	明白さ
ocarina	オカリーナ(10個の指穴のついた卵型の笛,おもに陶器製)
occ.	occupation
occas.	occasional / occasionally
occasion	〈C〉(事が起こる,特定の)『時』,場合 / 〈C〉『でき事』;(しばしば)意義深いでき事 / 〈U〉〈C〉『機会』,好機 / 〈U〉〈C〉『理由』,根拠;必要 / …を引き起こす,生じさせる
occasional	『時たまの』,時おりの / 《文》特別な場合のための / 《文》(家具が)予備の,補助の
occasionally	『たまに』,時おり
occlude	〈通路・穴など〉をふさぐ / …を遮る / 〈ある化合物が〉〈他の化合物〉を吸収する,〈ガス〉を吸蔵する / 〈上あごと下あごの歯が〉よくかみ合う
occult	秘法の / 人間の理解を越えた,神秘の / 超自然の世界
occultism	神秘論,神秘主義(超自然・超能力的な力の存在を信じること) / 神秘学
occupancy	(家・土地などの)占有 / 占有期間
occupant	(ある家・土地などの)居住者,占有者《+『of』+『名』》
occupation	〈C〉『職業』,仕事 / 〈C〉時間の使い方 / 〈U〉(…を)『占有すること』,(軍隊が)(…を)占領すること《+『of』+『名』》
