ontology	存在学,本体論(哲学の一分野)
onus	(…の)重荷,負担,責任,義務《+『of』+『名』(do『ing』)》 / 非難
onward	(空間的・時間的に)『前へ』(『に』),『先へ』(『に』)(forward) / 『前方への』,前へ進む(forward)
onwards	=onward
onyx	シマメノウ
oodles	多量,多数,たくさん(の…)《+『of』+『名』》
oof	〈C〉ウー,ウーン(腹部を殴られて出す声) / 〈U〉《英古俗》お金 / ウー,ウーン
oomiak	=umiak
oomph	活力,精力 / 性的魅力
oops	おっとっと,しまった
oops-a-daisy	(登る人を後押しして)よいしょこらしょ / (ころんだ人に)どっこいしょ
ooze	(…から,…を通して)にじみ出る《+『from』(『through』)+『名』》 / 〈勇気・興味などが〉だんだんなくなる 《+『away』》 / …をにじみ出させる / (川底・海底の)泥,軟泥
oozy	にじり出る,じくじくする / どろどろした,泥のような
op	=op art
op art	オプアート(抽象的な光学芸術)[optical artの略]
op.	opus / operation
op.cit.	opere citato引用(前掲)書の中に
opacity	〈U〉不透明性,不透明(であること) / 曖昧さ / IT用語で透明度を指定する項目名 /〈C〉不透明な物質
opal	オパール,蛋白石(乳白色でにじ色に変化する光をもつ宝石)
opalescence	オパールのような光,乳白光
opalescent	(オパールのように)にじ色に変化する
opaline	=opalescent / 〈U〉乳白ガラス
opaque	不透明な / にぶい,光沢のない,くすんだ / 不明確な,あいまいな(obscure) / 愚鈍な
open	…を『開く』,開ける;…のふた(おおい)をとる / …を『切り開いて作る』,開拓する;…を全開通させる《+『名』+『up,』+『名』+『up』》 / …を『広げる』《+『up』+(『out』)+『名,』+『名』+『up』(『out』)》 / …を『始める』 / …を開業する,開店する,開場する / (人に)〈心など〉を打ち明ける,〈秘密など〉を漏らす《+『名』+『to』+『名』》 / (新思想などに)〈心・目〉を開く《+『名』+『to』+『名』》 / 〈戸などが〉『開く』,あく / 〈花・つぼみが〉開く《+『out』》 / 〈学校などが〉『始まる』;〈店などが〉開く / 〈道路などが〉開通する / (…に)向かって開いている,(…に)通じている《+『out』『on』(『upon,to,onto』)+『名』》 / 《副詞[句]を伴って》〈風景などが〉広がる,ひらける / 本を開く;(…)ページを開く《+『to』(《英》『at』)+『名』》 / (窓・口などが)『開いた』,開いている;(包みなどが)広げられて / (花が)咲いた / (店などが)『開いている』,開業している;(催し物が)『公開の』,だれでも入れる / 《名詞の前にのみ用いて》ふたのしてない,屋根のない,おおいのない / 広く開いた,さえぎるものがない / 公然の / 率直な,遠慮しない / さらされている,無防備の / 《補語にのみ用いて》(職・地位などが)空位の;(時間などが)あいている / (問題・議事などが)未解決の / 凍結しない,雪や霜の降らない;温和な / (漁・猟が)解禁の / (音声が)開口音の;開音節の / 《the~》戸外,野外 / 空き地;(樹木のない)開けた場所,平野
open air	戸外,野外(outdoors)
open circuit	電気開回路
open house	(来たい人は拒まない)公開パーティー / (学校・寮などを一般人に参観させる)公開日
open letter	公開状
open primary	開放予選会(投票者が所属政党を明示する必要のない直接予備選挙)
open question	未解決の問題
open sandwich	オープンサンドイッチ(1枚のパンに中身を乗せただけのサンドイッチ)
open sea	公海
open season	(狩猟・釣りの)解禁期間
open sesame	開けごまの呪文(じゅもん);(困難な問題などの)有効な解決手段 / 開けごま[“The Arabian Nights"から]
open shop	オープンショップ(労働組合員以外の労働者をも雇用する会社)
open verdict	(検死陪審での) 死因不明の評決(犯行動機を考慮せず死因のみを決める)
open vowel	開母音(口を大きく開け,舌を落とし発声する母音)
open-air	戸外の,野外の(outdoor)
open-and-shut	簡単明瞭な
open-door policy	自由貿易思想(政策),門戸解放政策
open-ended	(時間・数量などに)制限のない,無制限の / 広い解釈ができる
open-eyed	(びっくりして)目を見張った / 油断のない,抜け目のない
