opprobrium	不名誉 / 非難,悪口
ops	軍事作戦
opt	(…を)選ぶ《+『for』+『名』》;(…するほうを)選ぶ《+『to』 do》
opt.	optical / optician / optics / optional
optative	願望を表す / 〈U〉(文法の)願望法;〈C〉願望法の動詞
optic	目の;視覚の
optical	視覚の,視力の / 光学用の
optical art	=op art
optical scanner	光学式走査器(文字を読み取りコンピューターに記憶させる機器)
optician	(特に)眼鏡商,光学器機商
optics	光学
optimal	=optimum
optimism	楽天主義 / 楽観,のんき
optimist	楽天主義者;楽天家,のんき者
optimistic	楽天主義の;楽観的な,のんきな
optimistically	楽観して,楽天的に
optimum	(成長のための)最適の条件(水準) / (また『optimal』)(比較変化なし)《名紙の前にのみ用いて》最高の,最上の
option	〈U〉選択すること,選択の権利(自由) / 〈C〉(…として)選択できるもの;(…の)選択科目《+『for』+『名』》 / 〈C〉(…の)選択売買権(一定期間内に一定価格で売買する権利)《+『on』+『名』》
optional	選択が自由の,随意の
optometrist	検眼医,視力測定者
optometry	検眼,視力測定
opulence	富裕 / 豊富
opulent	富んだ,富裕な / 豪勢な / 豊富な
opus	(音楽の)作品
or	《選択を表し,語句・節を結んで》《肯定文・疑問文で》…『または』…,…か… / 《否定文で》…も…もない / 《命令的表現の後で》『さもないと』 / 《前出の語を言い換えたり説明したりして》『すなわち』,言い換えれば
oracle	(古代ギリシアの)神託;神のお告げ / 神託所 / (神託を告げる)神官,巫女(みこ) / 賢人;賢人の忠告
oracular	神託の;神託のような / 解しがたい,なぞめいた
oral	『口頭の』,口述の(spoken) / 口の,口部の / 経口の
orally	口頭で,口述で
orange	〈C〉『オレンジ』,柑橘(かんきつ)類 / 〈U〉オレンジ色,だいだい(橙)色 / オレンジ色の,だいだい色の / オレンジからできた,オレンジで風味を付けた
orange stick	(マニキュア用の)オレンジ棒
orangeade	オレンジエード(オレンジの汁(しる)で作る甘い飲物)
orangery	オレンジ栽培畑(温室)
orangutan,orangutang,orangoutang	オランウータン,ショウジョウ
orate	演説する,演説口調で話す
oration	演説
orator	演説者,講演者 / 雄弁家
oratorical	演説の,雄弁の / 雄弁家の,雄弁家ふうの
oratorio	聖譚(せいたん)曲(聖書に題材を取った宗教音楽劇)
oratory	雄弁術 / 雄弁 / 小礼拝堂
orb	球,球体 / 天体(太陽,月,星など) / 宝珠(しゃく(scepter)とともに英国王権の象徴;十字架がついている) / 《詩》《通例複数形で》眼球;目
orbit	(天体・人工衛星の)『軌道』;軌道の1周 / (活動・影響・知識の)範囲 / (軌道に沿って)…の周りを回る / 〈人工衛星〉を軌道に乗せる / 軌道に沿って回る,軌道に乗る
orbital	軌道の
orch.	orchestra
orchard	〈C〉『果樹園』 / 《集合的に》(果樹園の)果樹
