orifice	(管・耳・鼻などの)開口部,口・出口
orig.	origin / original / originally
origin	〈U〉〈C〉(…の)『起源』,発端;もと,原因《+『of』+『名』》 / 〈U〉『生まれ』,素性,血統 / 〈U〉〈C〉(数学で,座標の)原点
original	『以前にはなかった』,新しい / 『独創的な』 / 《名詞の前にのみ用いて》『最初の』,原始の,本来の / (コピーや翻訳でない)もとの,原文(原作・原型)の / 『原物』;原作 / 《the~》『原文』;原語 / 《軽べつして》奇人,変人
original sin	原罪(AdamとEveの堕落以来人間が持っている罪)
originality	『独創性』,独創力 / 独創的であること;新味,奇抜,ざん新さ
originally	『もとは』,元来;最初は / 独創的に,ざん新に
originate	…を『引き起こす』 / …を『考え出す』,発明する / (…に,…から)『起こる』(begin)《+『in』(『from』)+『名』》 / (人に)始まる《+『with』+『名』〈人〉》
originator	創案者,創設者
oriole	コウライウグイス(明るい色の鳴き鳥)
orison	祈り
ornament	〈C〉『装飾品』,飾り / 〈U〉『装飾』,装飾法 / (…で)…を『飾る』(decorate)《+『名』+『with』+『名』》
ornamental	装飾の;装飾用の / ひどく飾りたてた,ごてごてと飾った
ornamentation	装飾 / 《集合的に》装飾品
ornate	(物・文体・言葉などが)飾りたてた;派手な
ornery	強情な,手に負えない / 下品な,卑しい
ornithological	鳥類学の
ornithologist	鳥類学者
ornithology	鳥類学
orogeny	造山作用(運動)
orotund	(声が)朗朗と響く / (文章・言葉が)気どった,大げさな
orphan	『孤児』 / 孤児の / …を孤児にする
orphanage	孤児院
orrery	太陽系儀(太陽系の惑星・衛星の位置や動きを示す器具),オーラリ
orris	ニオイアヤメ(根茎に芳香のあるアヤメ)
orrisroot	ニオイアヤメの根茎(香料などに用いる)
orthodontia	歯列矯正術
orthodontic	歯列矯正術(学)の
orthodontics	歯列矯正術(学)
orthodontist	歯列矯正医
orthodox	一般に認められた,定まった / (主義・主張・教義などが)正統な,まともな;伝統的な / 《O-》ギリシア正教会の;ユダヤ教正統派の
orthodoxy	〈U〉一般に認められていること,正統性;正説に従うこと / 〈C〉正統派の信念(信仰)
orthoepy	正音学(正しい発音を研究する学問)
orthogonal	直角の,直交の
orthographic, orthographical	正字法の / つづりの正しい
orthography	〈U〉正字法,つづり字法 / 〈C〉(文字の)正しいつづり方;〈U〉つづり字論
orthopedic,orthopaedic	整形外科の
orthopedics,orthopaedics	整形外科,整形術
orthopedist,orthopaedist	整形外科医
ortolan	キノドアオジ(ホオジロ属の鳥)
oryx	オリックス(アフリカ産の大カモシカの種)
oscillate	振り子運動をする,(2点間を振り子のように)振動する,揺れる《+『between』+『名』》 / (…の間を)〈意見・信念などが〉動揺する,ぐらつく《+『between』+『名』》
oscillating current	振動電流
oscillation	〈U〉振動;〈C〉(振動の)ひと振り / 〈U〉〈C〉(意見・信念などの)動揺,迷い
oscillator	振れ動く人(もの) / 発振器(交流電気を発生する装置)
oscillograph	オシログラフ(電流の振動記録計)
oscilloscope	オシロスコープ(電気の変化を曲線で観測する装置)
osculate	接吻(キス)する / …に接吻(キス)する
osculation	《誇張して》接吻(キス)すること(kiss)
osier	コリヤナギ[の枝](枝はかご細工に用いる)
osmium	オスミウム(金属元素;化学記号は『Os』)
osmosis	浸透[性] / (一般に)少しずつ吸収すること
osmotic	浸透する;浸透性の
osprey	ミサゴ(魚をえさとする大きなタカ)
osseous	骨の,骨に似た
ossification	〈U〉骨化 / 〈C〉骨化した部分
ossify	…を骨化させる / (骨のように)…を硬化させる / 骨化する / (人・考え方が)がん固になる,融通がきかなくなる
ostensible	(説明などが)表面上の,見せかけの(apparent)
ostensibly	表面上,表向きは
ostentation	見せびらかし,虚飾,見えを張ること
ostentatious	(態度・行動などが)見せびらかしの,虚飾の
osteoarthritis	骨関節炎
osteopath	整骨医
osteopathy	整骨治療法
ostler	=hostler
ostmark	(東ドイツの)マルク(《略》『OM』)
ostracism	(社会・組織などからの)追放,村八分 / (古代ギリシアの)陶片追放(陶片などを用いた投票による国外追放制度)
ostracize,ostracise	…を追放する / (古代ギリシアで)…を陶片追放する
ostrich	ダチョウ
other	《no,one,some,anyなどを伴って》『別の』,ほかの,違った / 《other thanの形で補語に用いて》…とは違った,…とは別の / 《the ~》(二者のうちの)『もう一方の』,他方の;『反対の』,向こう側の;(三者以上のうち)それ以外の,残りの / 『ほかのもの』,ほかの人[たち] / 《the ~》(二つの中で)『もう一方のもの』(『人』り,(三つ以上の中で)『これ以外のもの』(『人』),残りのもの(人) / 《『other』 『than』の形で》(…と)別の方法では,(…)ではなく)
otherwise	『ほかの点では』,それを別にすると / 『そうでなければ』,さもないと(or else) / 『別の方法で』,違ったやり方で(in a different way) / 『別の』,異なった(different)
otherworld	あの世,来世
otherworldly	来世の,あの世の / 超世俗的な;空想的な
otiose	(考え・言葉などが)不必要な,よけいな,役に立たない
otolaryngology	耳鼻咽喉(いんこう)科(学)
otter	〈C〉カワウソ / カワウソの毛皮
oubliette	(城などの)地下牢(ろう)(天井に出入口がある)
ouch	(突然の痛さに叫んで)痛い
ought	《義務・当然》…『すべきである』,するのが当然である / 《忠告・願望》…するのが望ましい,するのがよい / 《見込み・当然の結果》…『するはずである』,きっと…するであろう
ounce	〈C〉『オンス』(重量の単位;《略》『oz.』;常衡で1オンスは1/16ポンド(28.35gr.),金衡で1/12ポンド(31.1gr.)) / 〈C〉液量オンス(1オンスは《米》では1/16パイント(pint),《英》では1/20パイントに等しい) / 《通例否定文で》《an ~》少量(の…)《+『of』+『名』》 / =snow leopard
our	『我々の』,『私たちの』 / 《社説・評論などでmyの代りに用いて》我々の,我が社の;当…の / 《話題の人を指して》例の,我が / 《君主が公式の場でmyの代りに用いて》我が,余の
ours	『私たちのもの』,『我々のもの』 / 《…of oursの形で》私たちの,我々の
ourself	余自身,我みずから
ourselves	《強意用法》《weと同格に用いて》『私たち自身』,自分たちみずから / 《再帰用法》《動詞・前置詞の目的語として》『私たち自身を』(『に』),自分たちを(に) / 《まれ》《おもにthan,butなどの後でweの代用として》我々,私たち
ousel	=ouzel
oust	(場所・地位などから)…を追い払う,追い出す《+『名』+『from』+『名』》
