outwards	=outward
outwear	…より長もちする / …を着古す,使い尽くす
outweigh	…より重い / …より重要である,価値がある
outwent	outgoの過去
outwit	…の裏をかく,を出し抜く
outwork	〈人〉よりよけいに働く,いい仕事をする / 《複数形で》外塁 / 〈U〉屋外の仕事
outworker	屋外で仕事をする人,外勤者
outworn	(考え方・習慣などが)時代遅れの,すたれた / 着古された
ouzel	クビワツグミ(全体が黒く胸に白い輪のある鳥)
ouzo	ウーゾー酒(アニスの実で作ったギリシアの酒)
ova	ovumの複数形
oval	卵形の / 長円形の / 〈C〉卵形(長円形)のもの
ovarian	卵巣の / 子房(しぼう)の
ovary	卵巣 / (花の)子房
ovate	(特に葉が)卵形の
ovation	(大衆の)熱狂的な拍手(歓迎)
oven	天火,かまど,オーブン
ovenware	オーブン用耐熱食器
over	《上方の位置・場所》…『の上に』,を覆って;…に覆いかぶさって / 《移動を指す動詞とともに用いて》…『を越えて』 / 《状態を表す助詞とともに用いて》…を越えた向こうに / 《数詞を伴って》…『以上に』 / …『の一面に』,の至るところに / …『支配して』,より勝って / …『について』,に関して / …『しながら』,に従事して / 《期間》…『の間ずっと』 / (電話・ラジオなど)『で』,によって / …に沿って,…を(along) / 『越えて』,渡って,向こうへ / 倒れて,ひっくり返って / 『終わって』,すんで / ひっくり返して / 『繰り返して』 / 『あふれて』;余って / 『終りまで』,ずっと,すっかり / 過度に / (クリケットで)審判が交替を命じるまでの投球数
over easy	両面を焼いた目玉焼
over-the-counter	(株券などが)店頭売買の(で) / (薬が処方箋なしで)店頭販売の(で)
overact	(演劇で)〈役割〉を誇張して(大げさに)演じる / (演劇で)誇張して演じる
overactive	活動的過ぎる,活発過ぎる
overage	標準年齢(適齢)を過ぎた / (商品の)共給過剰
overall	全部の,全般的な,全面的な / (物の)端から端までの / 全般的に,全面的に / 端から端まで / 《複数形で》胸当てつきの仕事ズボン,オーバーオール / 《英》(婦人用)上っ張り
overarch	…の上にアーチをかける / アーチ型になる
overarm	=overhand
overate	overeatの過去形で食べ過ぎた,過食した
overawe	…を威圧する,怖がらせる
overbalance	…の平衡を失わせる / (重さ・重要さなどで)…を圧倒する,に勝る / 平衡を失う,バランスをくずして倒れる
overbear	《通例受動態で》(強引な議論・権力・力などで)〈相手〉を打ち負かす,を押さえつける
overbearing	(態度などが)傲慢(ごうまん)な,横柄(おうへい)な,高飛車な
