overpopulation	人口過剰
overpower	(力ずくで)…を負かす,に打ち勝つ / 〈物事が〉〈人〉をへとへとにさせる
overpowering	圧倒的な,抵抗できない
overprint	〈印刷したもの〉の上に重ね刷りする / 重ね刷りする
overproduce	…を過剰生産する
overproduction	過剰生産,生産過剰
overqualified	(ある仕事に泌要以上に)教育(経験)がある
overran	overrunの過去
overrate	…を過大評価する,買いかぶる
overreach	…を越えて伸びる広がる,届く / 〈手・体〉を伸ばし過ぎる
override	…を圧倒する,に優先する,取って代わる / 〈人の意見,決定など〉を踏みにじる,無視する,無効にする
overriding	最も重要な,最優先の
overrule	(権力で)…を却下する,無効にする / …を威圧する,打ち負かす
overrun	…にはびこる;…の一面に広がる / 〈場所〉を走り越す;〈時間〉を超過する / 〈川・水などが〉…を越えてあふれ出る / 〈U〉(時間の)超過 / 《an~》(…の)超過量(額)《+『of』+『名』》
overseas	海を越えて,外国へ(abroad) / 『海外の』,外国の,外国向けの
oversee	〈仕事・人〉を監督する
overseer	(工事などの)現場監督
oversell	…を売り過ぎる,売りまくる / 《話》…をやたらにほめ過ぎる
oversexed	性的興味(性欲)が強過ぎる
overshadow	…に影を投げかける,を暗くする / …を見劣させる
overshoe	オーバーシューズ(靴の上にはく雨・防寒用のゴムの靴)
overshoot	〈目標など〉を越えて飛ぶ / 〈弾丸など〉を標的より遠くへ飛ばす / 遠くへ飛び(行き)過ぎる
overshot	overshootの過去・過去分詞 / 下あごより上あごの方が出っぱっている / (水車が落ちてくる水を受けて回る)上射式の
overside	舷側(げんそく)からの
oversight	過失,見落とし
oversimplify	…を簡略化し過ぎる
oversize	標準より大きい
oversleep	寝過ごす,寝坊をする
overspill	(都心が過密で)郊外に移る人々;(都市の)過剰人口
overspread	…をいっぱいに広げる / …を上一面に広げる
overstate	…を大げさに言う,誇張して話す
overstatement	誇張すること;〈C〉誇張された言葉(話)
overstay	…より以上に長居する,居過ぎる
oversteer	〈車などが〉ハンドルがきき過ぎる
overstep	〈限度・権限・規則など〉からはみだす,を逸脱する
overstock	(…を)〈店など〉に仕入れ過ぎる《+『名』+『with』+『名』》
overstrung	緊張し過ぎた,神経過敏の
overstuffed	詰め物を入れ過ぎた / (家具が)詰め物をした総クロス(レザー)張りの
oversubscribe	〈公債・寄付など〉を募集額以上に申し込む
overt	明白な,公然の
overtake	…に『追いつく』(catch up with) / …を追い抜く / 〈恐怖・あらしなどが〉〈人〉を不意に襲う
overtaken	overtakeの過去分詞形
overtax	…に重税をかける / …に重荷をかける
overthrow	〈政府など〉を『倒す』,打倒する,廃する / 〈物〉を『ひっくり返す』(overturn) / (野球などで)…より遠くにボールを投げる,に高投する / 《the ~》(…の)打倒,転覆《+『of』+『名』》 / (ボールの)高投
overtime	超過勤務[時間] / 超過勤務手当 / (勝負が決まらない時の)延長時間,延長戦 / 超過勤務の / 規定時間外に
overtone	(また『harmonic』)倍音(基調音と同時に出される射い高音) / 《複数形で》(言葉などの)含み,含蓄
overtook	overtakeの過去
overtop	…の上にそびえる,…より高い / …よりすぐれる
overtrump	(カードゲームで)〈相手の切り札〉より上の切り札を出す / 相手より上の切り札を出す
overture	(オペラなどの)序曲 / 《複数形で》(新局面を開くためなどの)提案,申し入れ
