P	parking / phosphorusの化学記号
P,p	〈C〉英語アルファベットの第16字 / 〈C〉《P》p字形[のもの]
P.	President
P.A.	power of attorney(委任状による)代理権,《米》委任状 / press agent / purchasing agent《米》購買係,仲介人
P.C.	Police Constable / Prince Consort / Privy Council[lor]
P.D.	Police Department
P.E.	physical education / professional engineer / Protestant Episcopal
P.G.	postgraduate
P.O.	post office郵便局
P.O.O.	post-office order郵便為替(かわせ)
P.Q.	Province of Quebec ケベック州
P.R.	proportional representation 比例代表制 / public relations / Puerto Rico
P.S.	(またp.s.)postscript / 《米》Public School
P.T.	Pacific Time米国の西経120°の標準時
P.T.O.,p.t.o.	Please turn over.裏面(次ページ)へ続く
P/N,p.n.	promissory note 約束手形
PA	personal assistant個人秘書 / public address [system]
PBX	private branch exchange 私設電話交換局,私設電話組織
PC	Peace Corps 平和部隊
PCB	polychlorinated biphenyl ポリ塩化ビフェニール(強い毒性)
PCP	phencyclidine pill パラフェナスレン(強い幻覚剤)
PDT	Pacific Daylight Time
PEN	International Association of Poets,Playwrights,Editors,Essayists,and Novelists国際ペンクラブ(1922年創設)
PG	parental guidance(映画の観客指定で)親の認可[映画]
PHP	Hypertext Preprocessor PHP(オープンソースで開発されているプログラミング言語)
PHS	Public Health Service(米国の)公衆衛生局
PLO	Palestine Liberation Organizationパレスチナ解放機構
PM,P.M.	paymaster / Police Magistrate / Postmaster / postmortem / Prime Minister / Provost Marshal
POB,P.O.B.,PO Box	=post-office box / 郵便私書箱
POC	port of call寄港地
POD	port of debarkation陸揚げ港 / pay on delivery代金払換払い
POE	port of embarkation船積港
POW,P.O.W.	prisoner of war・戦争捕虜
PR	public relations
PRO	Public Relations Officer 広報活動員,宣伝担当者
PST,P.S.T.	Pacific Standard Time 太平洋沿岸標準時
PT boat	快速哨戒(しょうかい)魚雷艇
PTA,P.T.A.	Parent-Teacher Association父母と教師の会,ピーティーエー
PTV	public television
PVC	polyvinyl chloride ポリ塩化ビニル
PW	prisoner of war 戦争捕虜
