Prot.	Protestant
Protectorate	〈C〉保護領(他国の保護・支配下にあるが一定の自治を持つ国や地域) / 保護制度 / 保護領状態
Proterozoic	《the P-》(地質時代の)元生代(25億年から5億4千万年前の時代) / 元生代の
Protestant	新教徒,プロテスタント / 新教[徒]の,プロテスタントの
Protestant Episcopal Church	米国監督教会,米国聖公会(1789年英国国教会から独立した一派)
Protestantism	新教 / 《集合的に》新教徒,新教教会
Prov.	Provencal / Proverbs
Provencal	プロバンス(Provence)の,プロバンス人(語)の / プロバンス人;〈U〉プロバンス語
Provence	プロバンス(フランス東南部の昔の州;中世の叙情詩人と騎士で有名)
Prussia	プロシア(1871年までドイツ北東部にあった王国;ドイツ語ではプロイセン)
Prussian	プロシアの;プロシア人(語)の / 〈C〉プロシア人;〈U〉プロシア語
Prussian blue	紺青(こんじょう)
Ps.,Psa.	Psalm; Psalms
Psalms	詩篇(旧約聖書の一書;《略》『Ps.』;正式名はthe Book of Psalms)
Psalter	《the ~》=the Book of Psalms / (またp-)〈C〉(特に礼拝式用に作られた)聖詩篇
Psyche	プシュケー(ギリシア・ローマ神話でErosが愛した美少女;霊魂の権化)・《the p-》霊魂,魂;心
Pt	platinumの化学記号
Ptolemaic system	プトレマイオス体系,天動説
Ptolemy	プトレマイオス(127‐151;ギリシアの数学・天文・地理学者で天動説を唱えた)
Pu	plutoniumの化学記号
Puerto Rican	プエルトリコの / プエルトリコ人
Puerto Rico	プエルトリコ(西インド諸島にある米国自治領の島;首都はSan Juan)
Pulitzer Prize	ピューリツァー賞(米国で新聞・詩・劇・小説・伝記などの分野に与えられる賞)
Pullman	プルマン式車両(George Pullman考案の寝台車・特等車)
Pulmotor	パルモーター(人工呼吸器の商標名)
Punch	パンチ(英国の人形劇Punch-and-Judy showのかぎ鼻で猫背の道化者) / (英国の)風刺週刊誌パンチ
Punch and Judy show	子供向けあやつり人形劇の題名(パンチと妻ジュディが繰りひろげるユーモラスなショー)
Punic	古代カルタゴ[人]の
Punjabi	パンジャブ[人]の(インド北西部およびバングラデシュ地域の)
Purim	プリム祭(Hamanによるユダヤ虐殺を免れたことを記念するユダヤ祭日;3月1日)
Puritan	清教徒(16世紀後半に英国国教内に起こったプロテスタントの一派) / 《p-》(宗教上・道徳上)厳格な人,禁欲的な人 / 清教徒の[ような];《p-》厳格な,禁欲的な
Puritanism	清教徒の信仰(教義);清教主義 / 《p-》(道徳上・宗教上の)厳格さ
Purple Heart	(米軍の)名誉負傷勲章
Pygmy, Pigmy	ピグミー(中央アフリカ・フィリピン諸島などの小さな体型の人種) / 《p-》(一般に)小人;ごく小さい動植物 / 《p-》とるに足りない人 / 小人の;非常に小さい
Pyongyang	平壌(へいじょう)(朝鮮民主主義人民共和国(北朝鮮)の首都)
Pyrenees	ピレネー山脈(フランスとスペインの国境にある)
Pyrex	パイレックス(耐熱・耐薬品性のガラス器の商標名)
Pyrrhic victory	自損の勝利; ピュロスの勝利(大きな犠牲を伴い、勝っても割に合わない勝利)
Pythagoras	古代ギリシャの哲学者・数学者ピタゴラス(紀元前570頃–紀元前495頃)
Pythagorean theorem	ピタゴラスの定理
p.	(複『pp.』)pageページ / participle / pint / piano / population / pawn / past / per / pitcher / president / pressure / purl / 《英話》penny, pence
p.a.	per annum
p.c.	percent / post card / post cibum 食後服用(after meals)
p.d.	per diem / potential difference
p.j.s	=pajamas
p.m.,P.M.	『午後』(ラテン語post meridiem(after noon)の略;数字の後につけて「2:00p.m.」などと表記)
p.p.	past participle / (またP.P.)parcel post / postpaid
p.q.	previous question / 【議会】 先決問題 《本問題の採決のいかんを前もって決める問題; 略 p.q.》 / Parliamentary Question / personality quotient / Province of Quebec / Quebec Party
p.t.	past tense / pro tempore
pH	ペーハー(水素イオン濃度指数)
pa	とうちゃん(papa)
pabulum	(珍しい)食物,栄養物 / 心を豊かにする糧(かて)
