paediatrician	=pediatrician
paediatrics	=pediatrics
paeony	=peony
pagan	異教徒(キリスト教・ユダヤ教・イスラム教で自分の宗教以外の宗教,特に多神教を信じる人) / 無宗教の人 / 異教の,多神教の / 不信心の
paganism	異教信仰;異教徒であること
page	(本・手紙・新聞などの)『ページ』 / (新聞などの)欄,記事 / 《文》注目すべき事件(時期) / …にページを付ける / (また『pageboy』)(ホテル・クラブなどの)給仕,ボーイ / (米国議会の議員に仕える)若い走り使い / 《古》(高貴の人に仕えた)小姓(こしょう);(中世の)騎士見習い / (ホテルなどで,スピーカー・給仕などを使って)〈人〉を呼び出す
pageant	〈C〉(歴史・伝説などに基づいた)野外劇 / 〈C〉華やかな行列,だし;〈U〉(行列などの)盛観
pageantry	壮観,盛観 / 華麗な催し物 / 《集合的に》野外劇,見せ物
pageboy	〈C〉小姓(貴族や式典などで仕える若者) / 結婚式で花嫁の裾を持つ少年 / ページボーイカット(前髪があり裾が内巻きの丸い髪型)
pagination	本のページ付け,丁付け / ページ数 / ノンブル(ページ数を示す字)
pagoda	(東洋諸国の仏寺の)塔,パゴダ
paid	payの過去・過去分詞
paid-up	支払い済みの;(継続して会員であるために)会費払い込み済みの,会費全納の
pail	『手おけ』,バケツ(bucket) / (…の)手おけ1杯分《+『of』+『名』》
pailful	(…の)手おけ(バケツ)1杯分《+『of』+『名』》
paillasse	=palliasse
pain	〈C〉〈U〉(肉体のある部分の)『苦痛』,『痛み』 / 〈U〉(精神的な)『苦痛』,心痛 / 《複数形で》骨折り,苦労,努力 / 〈C〉不快感,いやな感じ;うんざりさせるもの,やっかい者 / (肉体的・精神的に)…に苦痛を与える(受動態にできない)
pained	《補語にのみ用いて》腹を立てて / 《補語にのみ用いて》(心が)鐘ついて / 不愉快な,気まずい
painful	(肉体的・精神的に)『痛い』,苦痛の / 人を苦しめる,やっかいな
painfully	苦しんで,痛んで
painfulness	苦しみ,骨折り
painkiller	痛みを和らげるもの(薬),痛み止め,鎮痛剤
painless	痛みのない,苦しみのない
painstaking	骨を折る,苦心する
painstakingly	骨を折って,丹精して
paint	〈U〉『ペンキ』,『塗料』 / 〈U〉〈C〉(油性・水性の)絵の具(チューブ入りおよび水に溶かす前の固型状のもの) / 〈U〉《しばしば軽べつして》(化粧品の)口紅,ほお紅 / …を『絵の具でかく』 / …にペンキ(塗料)を塗る / …を言葉で描き出す / (薬・化粧品などを)〈傷口・顔など〉に塗る《+『名』+『with』+『名』》 / 〈人が〉ペンキ(塗料)を塗る,絵の具で絵をかく / 〈物が〉よく塗れる,絵の具がよくつく / 《しばしば軽べつして》化粧する
paintbrush	絵筆:ペンキ用ブラシ
painter	『画家』 / ペンキ屋 / もやい綱(ボートをつなぐのに用いる)
painting	〈U〉『絵をかくこと』;画法;《集合的に》絵画 / 〈C〉(1枚の)絵 / 〈U〉ペンキ塗り
paints	(箱入りの)絵の具一式
paintwork	(自動車などの)塗装された面
pair	(二つで一つに用いられる物の)『組』,『対』《+『of』+『名』》 / (対になる部分からなる物の)『1個』《+『of』+『名』》 / 《集合的に》《複数扱い》夫婦,婚約中の男女;(動物の)つがい《+『of』+『名』》 / 《集合的に》《複数扱い》(同種または何かの関係のある物の)二人(二つ,2頭など)の組《+『of』+『名』》 / …を二人(2個)ずつ組にする《+『名』+『off』(『up』),+『off』(『up』)+『名』》,(…と)…を組にする《+『名』+『with』+『名』》 / (…と)…を結婚させる《+『名』+[『up』]『with』+『名』》 / 二人(2個)ずつ組になる《+『off』(『up』)》
paisley	ポイズリー(色採豊かな模様のはいった柔らかい毛織物)
pajamas,pyjamas	『パジャマ』
pal	《話》『友達』,仲間,親友 / (…と)仲よくなる《[『up』]『with』+『名』》
pal moil	ヤシ油
palace	『宮殿』 / 大邸宅,りっぱな建物 / 《the ~》《集合的に》《英》王宮の有力者たち
palace guard	(君主または元首の謁見のときの)宮廷護衛団・近衛兵・親衛隊・側近
palace revolution	宮廷革命(王など高い地位の者が地位の低い者によって免職になること)
palais	〈C〉(フランス語由来)宮殿,豪華な建物 / (英)(口語)ダンスホール / The Palaisで劇場
palanquin,palankeen	パランキーン(昔インドや東洋諸国で使った一人用かつぎかご)
palatable	舌に快い,味のよい,おいしい / 好ましい,心地よい
palatably	口に合って / 心地よく
palatal	《名詞の前にのみ用いて》口蓋(こうがい)の / (子音の発音が)硬口蓋音の / 硬口蓋音
palatalize,palatalise	…を口蓋(こうがい)音化する
palate	口蓋(こうがい),上あご / (…に対する)味覚;好み《+『for』+『名』》
palatial	宮殿の;宮殿のような
palatinate	宮中伯領(昔,パラチン伯の管轄下にあった領地)・(the ～) プファルツ, パラティネート (ドイツ南西部の地域)
palatine	自領内で王権を持った / パラチン伯の / 〈C〉パラチン伯(自分の領土内で王権を行使できる昔の領主)
palaver	〈U〉《話》おしゃべり,むだ話 / 〈C〉(昔アフリカ原住民とヨーロッパ人の間で行われた)交渉,商談;会談 / 《話》むだ話をする
pale	(顔が)『青白い』,生色がない,青ざめた / (色が)『薄い』,淡い,白色に近い / 光が弱い,薄暗い,ぼんやりした / 〈人が〉『青ざめる』;〈色・光が〉薄くなる,淡くなる / 〈人〉を青白くする;〈色・光〉を薄く(淡く)する / (柵(さく)などに用いる先のとがった)くい / 範囲,境界
paleface	白人
paleographer	古文書学者
paleographic	古文書学の
paleography	古文書学
paleon.	paleontology
paleontologist	古生物学者
paleontology	古生物学,化石学
palette	絵の具板,パレット
palfrey	(特に婦人用の)乗用馬
palimpsest	書いたものを消して重ね書きできるようにした羊皮紙
palindrome	回文(前後どちらから読んでも同一に読める語・句・文)
paling	〈C〉先のとがったくいを巡らした柵(さく) / 《集合的に》くい / 〈C〉(柵を作る)とがりくい
palisade	(防御用の)とがりくいの柵(さく) / 《複数形で》《米》(川辺の)断がい,絶壁 / …にくいを巡らす
palish	少し青白い,やや青ざめた
pall	(黒・紫などのビロードの)棺衣(かんい),棺覆い;《米》ひつぎ / (暗くする)覆い幕 / …に棺衣を掛ける / 〈物事が〉(人に)飽きさせる,興味をなくさせる《+『on』(『upon』)+『名』》
palladium	パラジウム(金属元素;化学記号はPD)
pallbearer	(葬式で)棺のそばに付き添う人;《米》棺をかつぐ人
pallet	(床に直接敷く間に合わせの)わらぶとん ・ 粗末な寝床 / (陶工の)へら,こて・(画家が使う)パレット・パレット《品物を運搬・貯蔵するための金属[木]製の台; フォークリフトなどで運搬する》・(機械)爪(つめ), 歯止め
palliasse	わら床,わらぶとん
palliate	〈罪・過失など〉を軽く見せかける,弁解する / (一時的に)〈病気など〉を和らげる
palliation	(罪などの)弁解,取りつくろうこと / (病気などの)一時的な抑え
palliative	(病気などを)一時的に和らげる;(罪などを)弁解する / 〈C〉(一時的の)緩和剤;一時しのぎ
pallid	(顔・肌などが)青白い,生色のない(pale)
pallor	(病的な)青白さ
pally	(…と)親しい,仲の良い《+『with』+『名』》
