passive resistance	(権力などに対して暴力に頼らない)消極的抵抗
passive voice	(文法で)受身形,受動態
passivity	=passiveness
passkey	=master key
passport	『旅券』,パスポート / 《単数形で》(…への)手段,便法《+『to』+『名』》
password	(敵味方を識別する)合い言葉(watchword)
past	『過ぎ去った』,終わった(over) / 《名詞の前にのみ用いて》『過去に起こった』,過去の,昔の / 《期間を表す語の前後で完了形の文で用いて》(…の期間を)『過ぎた』,最近(…)の / 《名詞の前にのみ用いて》『前任の』,元の / (文法で)過去の / (場所)『を通り越して』,の先に / (時刻)『を過ぎて』;(年齢)を過ぎて / (能力・限度など)『を越えて』,の及ばない / (ある数・量)『を越えて』,…以上 / 《the~》『過去』 / 《a~,one's~》(国などの)歴史;(人の)経歴,(特にいかがわしい)過去 / 過去[時制];過去形 / 『過ぎて』,通り越して
past master	(専門的なことに)優れた人,名人,老練家《+『at』(『in, of』)+『名』》 / (ある会などの)前会長
past participle	過去分詞(《略》『p.p.』)
past perfect [tense]	過去完了[時制]
past tense	過去時間
pasta	パスタ(マカロニやスパゲティの類)
paste	(接着用の)『のり』 / (一般に)のり状のもの / (菓子を作るための)練り粉,ペースト / (人造宝石用材料の)鉛ガラス;模造宝石 / (…に)…を『のりではる』《+『down』+『名』+『in(on)』+『名』》 / (…を)…にのりではり付ける《+『名』+『with』+『名』》 / 《俗》〈顔・体など〉を強打する,なぐりつける
paste-up	(本の編集で)割付用台紙
pasteboard	ボール紙,厚紙
pastel	〈U〉パステル(クレヨンの一種);〈C〉パステル画 / 〈U〉柔らかで淡い色合い,パステル調 / 受らかな淡い色合いの,パステル調の / パステルで描いた
pastern	繋(けい)(牛・馬などの脚のくるぶしとひづめとの間の部分)
pasteurization,pasteurisation	(乳製品などの)パスツール殺菌法,低温殺菌法
pasteurize,pasteurise	…を低温殺菌する
pastiche	模倣作品(文学・芸術作品で他の作者の技法をまねたもの)
pastille	トローチ(のどの薬などの入ったドロップ式錠剤)(troche)
pastime	『気晴らし』,暇つぶし,娯楽,遊戯
pasting	(激しく)打つこと,たたくこと / (スポーツなどの)完敗
pastor	(教会・教会員を世話する)牧師
pastoral	《文》羊飼いの,牧羊者の / 田園の,いなかの / 牧師の / 〈C〉牧歌,田園詩,田園劇,田園曲
pastoral care	(宗教指導者・教師などが与える)精神的な助力
pastorale	牧歌曲,田園曲
pastorate	牧師の職(任期) / 《集合的に》牧師団
pastrami	パストラミ(燻製(くんせい)牛肉の一種)
pastry	〈U〉練り粉 / 〈C〉〈U〉練り粉製のケーキ(パイなど)
pasturage	牧草,牧草地;牧畜業
pasture	〈U〉『牧草』,牧草地 / 〈C〉(個々の)『牧場』 / 〈家畜〉を放牧する;〈家畜が〉〈牧草〉を食べる / 〈家畜が〉草を食べる
pasty	のりのような / (顔色などが)青白くて不健康な(pale) / 肉入りパイ
pasty-faced	青白い顔をした
