patronymic	父や祖父の名にちなんだ / 〈C〉父や祖父の名にちなんだ名前
patsy	他人の罪を負う人 / お人よし,かも
patten	泥道用の木製の靴;底に鉄枠をつけて高げた状にしたもの
patter	〈雨などが〉パラパラ降る / 〈子供・動物などが〉パタパタ走る / (…の)パラパラ(パタパタ)いう音《+『of』+『名』》 / 《時にa~》早口でぺらぺらしゃべること;早口のせりふ / おしゃべり,むだ話 / (ある職業・階級の)仲間言葉,符ちょう / 早口に話す,ぺらぺらしゃべる / 〈祈り・詩など〉を早口に唱える
pattern	(壁紙・織物などの)『模様』,柄,デザイン / 『模範』,手本 / 『原型』,ひな型 / (行動・性質の)『型』,様式パターン / (…の型)・手本に従って)…を型どる,作る,まねる《+『名』+『upon』(『on, after』+『名』》 / …を模様をつける
patty	《英》小さな肉パイ / 《米》パティ(薄い小さな円盤形に料理したもの)
paucity	(…を)少量,少数,…欠乏《+『of』+『名』》
paunch	腹(belly);(特に)たいこ腹
paunchy	たいこ腹の,ほてい腹の
pauper	《古》生活保護者 / 貧乏人
pauperism	(救済の必要な)貧窮状態,赤貧
pauperization,pauperisation	ひどい貧乏になること
pauperize,pauperise	〈人〉を貧乏にする
pause	『小休止』,中断,休息;(会話,読み書きの間に入れる)一息,一区切り / (音楽の)延音記号,フェルマータ / (一時的に)『ちょっと休止する』,立ち止まる;(…するのを)ちょっとやめる / (…の所で)停滞する,ちゅうちょする《+『of』(『upon』)+『名』》
pavane,pavan	パバーヌ(16,17世紀ごろの宮廷舞踏,その曲)
pave	(アスファルトなどで)…を『舗装する』《+『名』+『with』+『名』》
paved	(タイル・アスファルトなどで)舗装された / 《補語にのみ用いて》(…で)満ちあふれる《+『with』+『名』》
pavement	〈U〉(道路などの)『舗装』《+『of』+『名』》 / 〈U〉舗装道路;《英》(舗装した)歩道(《米》sidewalk)
pavement artist	歩道絵描き(《米》sidewalk artist),大道絵かき,街頭画家,大道画家
pavilion	パビリオン(公園・博覧会などの展示・休憩・娯楽などに用いる装飾的な建物) / (1と同じ目的の)大型テント / 《英》(競技場などの)選手席,観客席・(病院の)病棟;別館
paving	舗装[工事](pavement) / 舗装材料
paving stone	舗装用の石,敷石
paw	(四つ足動物のかぎつめのある)『足』 / 《話》《おどけて》(人間の)手 / 〈四つ足動物が〉…を足でたたく(ひっかく) / 《話》…を手荒く(無器用に)扱う / (…を)ひっかく,手荒に扱う《+『at』+『名』》
pawky	《おもに英》ずるい,悪賢い
pawl	(歯車の)歯止め,つめ
pawn	〈大事な物〉を質(抵当)に入れる / 〈生命・名誉など〉にかけて誓う / 〈C〉質草,抵当物 / 〈U〉質入れ・質 / (チェスの)ポーン(将棋の歩に相当する) / 他人に利用される,人の手先
pawnbroker	質屋,質屋の主人
pawnshop	質屋
pawpaw	=papaw
pay	〈金・税金・負債など〉を『支払う』;…に支払う / (収益・利潤として)〈物事が〉…をもたらす,支払う / 〈物事が〉…の利益になる,役に立つ / 〈注意・敬意など〉を『払う』;〈あいさつ・訪問など〉を『する』 / (…の)支払い(償い)をする《+『for』+『名』(do『ing』)》 / 利益がある,役に立つ / 『支払い』;(特に)『賃金』,給料,俸給 / (…の)雇用,雇い(employment)《+『of』+『名』》 / 有料の,コイン式の
pay dirt	有望な鉱脈 / 《話》金づる,掘出物
pay envelope	給料袋(《英》pay packet)
pay packet	=pay envelope
pay station	=pay phone
payable	(金を払っても)採算のとれる / 《補語にのみ用いて》(…に)支払われるべき《+『to』+『名』》
paycheck	給料支払い小切手 / 俸給,給料(salary)
payday	給料日;支払い日
payee	(手形・小切手などの)受取人,被支払い人
payer	支払い人
payload	有効荷重(船舶・飛行機などの自重と区別して,乗客・貨物など収入の対象となるもの) / (ロケットの)ペイロード(乗員・観測機器などを含めたもの) / (ミサイルなどの)[実戦]弾頭(warhead)
paymaster	給与系;(軍隊の)主計官
paymaster general	《米》陸(海)軍主計総監 / 《英》大蔵主計大臣
payment	〈U〉(…の)『支払い』,納入《+『for』(『of』)+『名』》 / 〈C〉(…の)『支払金,支払物』《+『for』(『of』)+『名』》 / 〈U〉《時にa payment》(善または悪の)報い,報酬,罰《+『for』+『名』》
paynim	異教徒,邪教徒,イスラム教徒
payoff	(給料,借金,掛け金などの)支払い;支払日 / (悪事の)報酬,わいろ / (一連の行為などの)結末,(話の)やま / (悪事の)報い,罰
payola	(レコードなどを宣伝してもらうように)ディスクジョッキーに払う謝礼金,わいろ
payphone	公衆電話(特に硬貨を入れて作動する)
payroll	給料支払い簿 / 《単数形》給料支払い総額
payt.	payment
pct.	percent
pd.	paid
pea	『エンドウ』;エンドウ豆
pea green	黄緑色の / 黄緑色,浅緑色
pea-souper	《おもに話》濃霧
peace	『平和』 / 《しばしばP-》『講和』[『条約』] / 《通例the ~》(社会の)『治安』,秩序 / (場所の)静けさ,穏やかさ / (心の)静けさ,穏やかさ
peace offering	和平(和解)のための贈り物 / (神に対する)感謝祭のお供え
peace pipe	=calumet
peaceable	平和を好む;おとなしい / 平和な,平和的な(peaceful)
peaceably	平和に;安らかに
peaceful	『平和な』,平和的な,平和を好む / 『穏やかな』,静かな
peacefully	平和に;穏やかに,静かに
peacekeeping	平和維持;(国連軍などの)平和維持活動 / 平和維持のための
peacemaker	調停者,仲裁者
peacetime	平時
peach	〈C〉『モモ』(『桃』) / 〈C〉桃の木 / 〈U〉黄色がかった桃色 / 〈C〉《a ~》《話》すてきなもの;かわいい娘 / 黄色がかった桃色の / (共犯者・仲間などを)密告する,裏切る《+『against』(『on, upon』)+『名』》 / …を裏切る
peachick	クジャクのひな
peacock	『雄クジャク』 / (一般に)『クジャク』 / 見え坊
