pectin	ペクチン,膠素,粘膠質
pectoral	胸の,胸部の / 胸部
pectoral cross	(教会の高位聖職者が胸につける)佩用(はいよう)十字架
peculate	〈公金など〉を使い込む,横領する
peculation	公金横領,官物私用
peculiar	『変な』,奇妙な,変わった / 『独特な』,特有の / 《話》(気分・体が)おかしい,ぐあいが悪い
peculiarity	〈C〉風変わりな点(態度),奇癖 / 〈C〉特色,特性,特質 / 〈U〉(…の)特殊性,特異性《+『of』+『名』》
peculiarly	奇妙に,一風変わって / 特に,格別に
pecuniary	金銭[上]の,金銭による / 罰金に相当する,罰金刑による
pedagogic, pedagogical	教育[上]の,教育学の,教授法の
pedagogue	教師,先生 / 学者ぶる人,物知り顔をする人
pedagogy	教育学,教授法 / 教育,教授
pedal	(自転車・自動車などの)『ペダル』,踏み板 / (ピアノなどの)ペダル,踏み板 / …のペダルを踏む;(ペダルを踏んで)…を走らせる / ペダルを踏む;(ペダルを踏んで)動かす / (人・動物の)足の / ペダルの
pedant	学者ぶる人,学問を鼻にかける人;空論家
pedantic	学者ぶる,学問をひけらかす,衒学(げんがく)的な
pedantically	学者ぶって,物知り顔で
pedantry	〈U〉学者ぶること / 〈C〉もったいぶり
peddle	〈品物〉を行商する,売り歩く / 《軽べつして》〈考え・計画〉を押しつけようとする / 《軽べつして》〈人を傷つけるうわさ〉をまきちらす / 行商する
peddler,pedlar	行商人 / (麻薬などの)密売人
pederast,paederast	(少年に興味を持つ)男色家
pederasty,paederasty	(少年に興味をもつ)男色
pedestal	(円柱・胸像・花瓶などの)台,台座・基礎・根拠・机の袖・根底
pedestrian	『歩行者』(walker) / 《名詞の前にのみ用いて》歩行者の / (文体などが)月並みな,平凡な,ありふれた
pedestrian crossing	横断歩道
pedestrian precinct	《英》歩行者専用道路,歩行者天国
pedestrianism	徒歩;徒歩旅行 / 歩行主義 / (文体などの)散文調,単調
pediatrician	小児科医
pediatrics	《単数扱い》小児科学
pedicab	(特に東南アジアの)輪タク(2人乗りの三輪車)
pedicel	小花柄,小花梗(こう)(大きい花柄から分れて一つの花をつけている小さい花柄) / (昆虫や海洋生物の)柄,肉茎
pedicle	=pedicel
pedicure	足の[指,爪の]手入れ,ペディキュア
pedigree	〈C〉家系,血統;〈U〉優れた家系,名門 / 〈C〉(家の)系図;(家畜などの)血統書
pedigreed	血統の正しい;由緒(ゆいしょ)のある
pediment	ペディメント,ギリシア建築で柱廊の上の三角形の切り妻,破風(はふ) / 戸口(暖炉など)の上の1のような装飾
pedlar	=peddler
pedometer	歩数計,万歩計
peduncle	花柄 / (クラゲ・エビなどの)柄
pee	《俗》小便する,放尿する / 《a~》《俗》小便すること / 〈U〉小便
peek	(…を)こっそりちらっとのぞく《+『at』(『in』,『into』)+『名』》 / 《単数形で》ちらっとのぞき見ること,のぞき見
peek-a-boo	《英》(赤ん坊に対して)いないいないばあ
peel	(果物・野菜などの)『皮』 / 〈果物・野菜など〉の『皮をむく』 / …を取り去る《+『名』+『off』,+『off』+『off』+『名』》;(…から)…をはぎとる《+『名』+『off』(『from』)+『名』》 / (…から)〈皮膚・ペンキなどが〉はげて落ちる《+『from』(『off』)+『名』》
peeler	(野菜などの)皮むきナイフ / 警官
peeling	〈U〉皮むき / 《複数形で》(野菜・果物,特にジャガイモの)むいた皮
peen	金づちの頭(くぎを打つ平らな部分の反対側)
peep	(すき間などから)『のぞき見する』《+『through』+『名』》;(…を)こっそりのぞく《+『at』(『into』)+『名』》 / 〈草花・太陽などが〉出始める,顔を出す / 《しばしばa~》『のぞき見』,かいま見ること / 《the~》(太陽などの)出始め,出現《+『of』+『名』》 / (ひな鳥・ネズミなどの鳴き声の)ピーピー,チューチュー / 《単数形で》《話》不平,泣き言 / ピーピー(チューチュー)鳴く
