pessimistic	悲観的な,厭世的な
pessimistically	悲観的に,厭世的に
pest	害虫 / 《話》やっかい者 / 《まれ》ペスト
pester	…を悩ませる,困らせる
pesticide	殺虫剤
pestiferous	伝染性の,感染しやすい / 有毒な
pestilence	(生命にかかわる)悪性伝染病,疫病;(特に)腺ペスト
pestilent	死をもたらす,致命的な / 悪影響のある / 《話》やっかいな,うるさい
pestilential	悪疫(腺ペスト)の;悪疫をもたらす / 有害な;破壊的な / 《話》やっかいな,うるさい
pestle	乳棒(にゅうぼう) / …を乳棒(すりこぎ)でつぶす
pet	『愛がん動物』,ペット / 《単数形で》お気に入りの人(物) / (動物などが)愛がん用の,ペットの / (名前などが)愛情を表す / お気に入りの;お得意の / …を愛撫(あいぶ)する,かわいがる / (ささいなことについての)不きげん,すねること
pet name	愛称
pet.	petroleum
petal	花弁,花びら
petaled,petalled	花弁(花びら)のある
petard	(ベル形の)小型爆破道具(城門・城壁などを破るにの用いた)・(城門破壊用)爆薬; 爆竹
peter	しだいに衰えてなくなる(消える)《+『out』》
peterman	金庫破り
petiole	(葉の)葉柄(ようへい)・(動物)柄部
petit	(法律用語で)小さい,ささいな
petit bourgeois	小市民[階級]
petit four	プチフール(砂糖衣をかけた小型のケーキ)
petit jury	=petty jury
petite	(女性が)小柄な,きゃしゃな
petition	(正式の)『請願書』,陳情書 / 『請願』,陳情 / …に『請願する』,陳情する / (…を)『請願する』,陳情する《+『for』+『名』》
petitioner	請願者,嘆願者
petnapping	ペットを誘拐すること
petrel	ウミツバメ
petrifaction	石化[作用];〈C〉石化物,化石
petrify	〈有機物など〉を石化する,化石にする / (恐怖・驚きなどが)〈人〉の体を石のようにする,すくませる / 〈有機物などが〉石化する / 〈人が〉身をすくませる
petrochemical	石油化学製品 / 石油化学[製品]の
petrography	岩石分類学,記載岩石学
petrol	=gasoline
petroleum	石油
petrologist	岩石学者
petrology	岩石学
petticoat	(スカートの下に着ける)ペチコート,スリップ
pettifog	(くだらないことに)理屈をこねる / いんちきな弁護をする / ごまかす,いかさまをする
pettifogger	理屈をこねめ人;いんちき弁護士;いかさま師
pettifogging	(方法・手段が)不必要にささいなことにとらわれた / (人が)取るに足らない
pettiness	取るに足らないこと,つまらなさ,狭量
pettish	(一時的に)(人が)不きげんな,すねた,怒りっぽい
petty	『取るに足らない』,重要できない / 『下級の』 / 心の強い,狭量な
petty bourgeois	=petit bourgeois
petty cash	(金銭を扱う窓口業務で手元に用意しておく)小額の現金,小口現金
petty jury	小陪審(12人で構成され民事・刑事事件を審理する)
petty larceny	〈U〉軽窃盗罪行為
petty officer	海軍下士官
petty officer first class	米海軍二等兵曹
petty officer second class	米海軍三等兵曹
petty officer third class	米海軍四等兵曹
petulance	(つまらないことを原因とする)(…に対する)不きげん,気むずかしさ《+『at』+『名』》
petulant	(つまらないことで,または理由もなく)不きげんな,すねた
petunia	ツクバネアザガオ(いろいろな色の花をつける)
pew	(教会のベンチ形の)座席
pewee, peewee	アメリカヒタキ(北米産の鳥;名は鳴き声に由来する)
pewit, peewit	=lap-wing
pewter	白目(しろめ)(すずを主成分とした合金;昔,台所用品に用いた) / 《集合的に》白目製品 / 白目製の
peyote	ペヨーテ(= ウバタマ:メキシコ中部から米国テキサス州南部原産サボテンの一種・幻覚をもたらす成分であるメスカリンを含有する)・ それから得られる幻覚剤
pf.,pfd.	preferred(株式が)優先の
pfennig	ペニッヒ(西ドイツ青銅貨;1/100ドイツマルク)
pg.	page
phaeton	フェートン(昔の2頭立て四輪馬車)
phage	=bacteriophage
phagocyte	食細胞(異物・バクテリアなどの細胞を処理する血球)
phalanx	方陣(古代ギリシアで,歩兵を密集させて方形に配置した陣形) / (人や物の)密集,集まり《+『of』+『名』》
phalarope	ヒレアシシギ(イソシギに似た小型の水鳥)
phallic	陰茎の / 男根[崇拝]の
phallus	(ある種の宗教で信仰の対象とされる)男根像;男根
phantasm	幻影;幻想 / 亡霊,幽霊
phantasmagoria	(夢や想像上の)めまぐるしく移り変わる光景,走馬灯のように去来する幻影
phantasmal	《おもに文》幻の,空想の
phantasy	= fantasy 空想 幻想 気まぐれ
phantom	幽霊,お化け(ghost) / (心に浮かぶ) 幻影, 幻像 / 幻の,幽霊のような
pharaoh	ファラオ(古代エジプト王の称号;聖書訳では「パロ」)
pharisaic, pharisaical	形式主義的な,偽善的な / 《しばしばP-》パリサイ人の
pharm.	pharmaceutical / pharmaceutically / pharmaceutics
pharmaceutical	調剤の,製薬の,薬学の / 調合薬,薬剤(drug)
pharmaceutics	=pharmaceutical / 薬学
pharmacist	薬剤師;製薬者(また《英》chemist)
pharmacologist	薬理学者,薬物学者
pharmacology	薬学,薬物学,薬理学
pharmacopoeia	薬局方,調剤書 / 薬物類
pharmacy	〈U〉薬学;調剤術 / =drugstore
pharyngitis	咽頭(いんとう)炎
pharynx	咽頭(いんとう)
phase	(変化・発達の)『段階』,『局面』 / (物事の)『面』,様相《+『of』+『名』》 / (月・惑星などの)相 / …を段階的に調整(整理)する
pheasant	キジ;ヤマドリ
phenacetin	フェナセチン(鎮痛・解熱剤)
phenobarbital	フェノバルビタール(鎮静・催眠に用いる薬品)
phenol	フェノール,石炭酸(消毒薬に用いる)
phenolic resin	フェノール樹脂(プラスチックの製造や合板の接着剤用)
phenomena	phenomenonの複数形
phenomenal	自然現象の(に関する) / 並みはずれた,驚異的な / 知覚できる
phenomenon	『現象』 / 驚くべきこと(物),非凡な人
phenotype	表現型(遺伝子の作用と環境によって表面に出る性質)
phew	ちぇっ(いらだち・驚き・不快・嫌悪などを表す声);ふうー(疲労・安堵(あんど)などを表す声)
phi	ファイ(ギリシア語アルファベットの第21字Ф,φ;英語のphに相当)
phial	=vial
phil.	philosophical / philosophy / philosopher / philology
