phrasebook	熟語集 / (海外旅行用などの)慣用俵現集
phraseology	言い回し,語法;(個人・特殊社会の)用語
phrenetic	=frenetic
phrenic	横隔膜の / (生理学上の意味で)精神の,精神活動の
phrenology	骨相学,フレノロジー
phthisis	(特に重症の)肺結核
phut	ポン,パン(なにかが破裂するようなにぶい音)
phylactery	(ユダヤ教の)経札,聖句箱
phylogeny	(生物の)系統発生[学]
phylum	(動物・植物の分類上の)門
physic	《古》医薬,(特に)下剤 / …に薬を飲ませる
physical	『身体の,肉体の』(bodily) / 《名詞の前にのみ用いて》『物質の』(material);『自然[界]の』 / 《名詞の前にのみ用いて》『物理学の』,物理的な;自然科学の / 身体検査(physical examination)
physical anthropology	自然人類学・形質人類学
physical education	(学校教育としての)体育(《略》『PE』)
physical geography	地文学・自然地理学
physical jerks	《複数形》《英語》体操
physical science	物理的科学(物理学・化学・天文学など無生物現象を扱う学問) 自然科学(生物学は除く)
physical therapy	物理療法(熱・体操・電気などによる治療法)
physical training	体育
physically	物質的に;身体上;物理的に
physician	『医者』;(特に)『内科医』
physicist	物理学者
physics	『物理学』
physio	=physiotherapist
physiognomy	〈U〉人相学,観相術 / 〈C〉人相,顔つき,面相 / 〈U〉(物,特に土地などの)外形,特徴,地形
physiography	自然地理学,地文学;地形学
physiol.	physiological / physiologist / physiology
physiological	生理学上の;生理的な
physiologist	生理学者
physiology	生理学 / 生理,機能
physiotherapist	物理[理学]療法士・物理[理学]療法家
physiotherapy	=physical therapy
physique	(特に男性の)体格,体つき,体形
pi	〈C〉パイ(ギリシア語アルファベットの第16字Π,π;英語のP,pに相当) / 〈U〉円周率(記号はπ) / ごちゃまぜの活字 / ごちゃまぜ,混乱
pianissimo	(音楽で)きわめて弱く(《略》『pp.』)
pianist	『ピアニスト』,ピアノをひく人
piano	『ピアノ』 / (楽音で)弱音の / 弱く(《略》『p.』)
piano accordion	鍵盤付きアコーディオン
pianoforte	=piano
pianola	ピアノラ(自動ピアノの一種;商標名)
piaster,piastre	ピアスタ(トルコ・エジプト・シリア・レバノン・スーダンの貨幣;100分の1ポンド)
