pinkeye	はやり目,伝染性結膜炎
pinkie	小指
pinking shears	(洋裁の)端切りはさみ
pinkish	桃色がかった,薄桃色の
pinko	左翼がかった人
pinnace	艦載艇 / (船への人の乗降・荷の運搬に用いる)小舟,小ボート
pinnacle	〈C〉(教会などの)小尖塔 / 〈C〉(山の)高くとがった山頂,峰(peak) / 《the~》(成功・名声などの)絶頂,頂点(acme)《+『of』+『名』》 / …を高い所に置く / …に尖塔をつける
pinnate	(葉が)羽状の
pinny	=pinafore
pinochle	ピノクル(カードゲームの一つ)
pinon,pinyon	米国南西部産の松;その実(食用となる)
pinpoint	ピン先 / 針先(ほどの…)《+『of』+『名』》 / …を正確にねらう(示す,述べる) / ピン先ほどの,ごく小さな
pinprick	(ピンなどで刺した)小さい穴 / いやがらせ,意地悪
pins and needles	手足のしびれが回復するときのちくちくした痛み
pinsetter	ピンセッター(ボウリングのピンを自動的に並べる機械装置)
pinspotter	=pinsetter
pinstripe	(織物の)極細縞(じま);極細縞の織物(衣服)
pint	パイント(液量および穀量の単位;《英》では約0.57リットル,《米》では約0.47リットル)
pintable	ピンボール機,パチンコ機(《米》pinball machine)
pinto	まだらの,ぶちの / まだらの馬(小馬)
pintsize, pintsized	比較的小さい / 重要でない,ささいな
pinup	ピンで壁にとめる美人写真,ピンナップ
pinwheel	(また《米》windmill)おもちゃの風車 / 火輪花火
pinworm	ギョウチュウ(人間の腸に寄生する蟯虫)
pinx.	pinxit(絵の署名に添えて)…画,…作
piny,piney	松の多い / (香りが)松のような
pinyon	=pinon
pioneer	(未開地の)『開拓者』 / (研究・事業などの)『先駆者』,開拓者《+『in』(『of』)+『名』》 / (先発して本隊のために道路や橋を作る)工兵 / 先駆動物(植物)(動・植物のなかった地域に最初にはいり定着した動・植物) / 〈土地など〉を開拓する,開拓して定住する / 〈研究・事業など〉を開拓する,創始する / (新しい土地の)開拓者となる《+『in』+『名』》 / (…において)先駆者となる《+『in』+『名』(do『ing』)》
pious	『敬けんな』,信心深い / 宗教的な,宗教上の / 《軽べつして》敬けんを装った,信心ぶった
pip	(りんご・なしなどの)種 / 《the~》飼鳥の舌の伝染病・《英話》意気消沈 / (ラジオ・電話の時報,鳥の鳴き声などの)ピッ[という音]・ピッという電子音 / 《話》(さいころ・カード・ドミノのこまなどの)目,点 / ピップ(レーダーの映像板に光の点として現れる像) / 《英話》(英国陸軍士官の肩章につける階級を示す)星 / …を打ち負かす / …を落第させる;…に落第する / …を撃つ
pipal	=peepul
pipe	『管』,パイプ,筒(つつ) / (刻み用の)『パイプ』 / 笛;(1本の管から成る)管楽器(フルート・クラリネット・オーボエなど);(パイプオルガンの)音管 / 《複数形で》複数の管から成る楽器;パグパイプ(bagpipe),パンの笛(Panpipe) / (船で)甲板長の号笛(呼び子);その笛の音 / (鳥の)鳴き声;(人の)かん高い声 / (人間・動物の)管状器官;(特に)気管 / 《しばしば受動態で》(…に)〈水・ガスなど〉を管で送る《+『名』+『to』(『into』)+『名』》 / 〈家・部屋など〉に(…の)配管をする《+『名』+『for』+『名』》 / 〈曲〉を笛で吹く / …をかん高い声で言う(歌う) / (甲板長が)〈船員〉を号笛を吹いて召集する / 〈衣服〉など〉に玉縁飾りをつける,〈ケーキなど〉に砂糖のひも状飾りをする / 笛を吹く / かん高い声で言う(歌う)
pipe clay	パイプ白土(たばこのパイプを作ったり,革製品の漂白に用いる)
pipe cleaner	パイプ掃除棒
pipe of peace	平和のきせる(北米インディアンが和解などのしるしにつかう)
pipe opener	(本番前の)練習[試合]
pipe organ	パイプオルガン
pipe rack	パイプ掛け パイプラック パイプ立て
piped music	レストラン・店などで流すレコード音楽
pipedream	非現実的な(夢のような)考え(話,計画)・夢想
pipeline	(石油・ガスなどの)輸送パイプ / 《米》情報ルート / 〈石油など〉をパイプラインで運ぶ
piper	笛を吹く人,笛吹き;(特に)バグパイプを吹く人(bagpiper)
pipette	ピペット(化学実験用の小管)
piping	〈U〉配管,《集合的に》管 / 〈C〉《単数形で》笛の音;かん高い声;鳥のさえずり / 〈U〉笛を吹くこと,管楽器の演奏 / 〈U〉パイピング(衣服などのへり・縫い目につけるひも飾り);(菓子につける)砂糖のひも状の飾り / 笛を吹く / かん高い,ピーピーいう / 平和な,太平の / (飲食物が)熱くてジュージューいうほどに
pipit	タヒバリ(数種の小さな鳴き鳥の総称)
pippin	ピピン(特に料理に使うピピン種のリンゴ)
pipsqueak, pip-squeak	つまらない人(物)
piquancy	ぴりっとする良い味 / 痛快;しんらつ
piquant	ぴりっとしておいしい / 痛快な,小気味の良い
pique	《しばしば受動態で》(…で)〈人〉を憤慨させる,の気持ちを傷つける《+『名』+『at』(『by』)+『名』(a persons do『ing』)》 / 〈人,人の好奇心・野心など〉をそそる,刺激する / (…に対する),立腹,不きげん《+『at』(『against』)+『名』(a persons do『ing』)》 / ピケ(一種の綿布)
piracy	海賊行為 / 著作(特許)権侵害
piranha	ピラニア(南米産の淡水魚で,人間な大きな動物でも襲う)
