pitter-patter	(足音などの)パタパタ,(雨の)パラパラ / パタパタと,パラパラと
pituitary	脳下垂体の(から得られた) / =pituitary gland
pituitary gland	脳下垂体
pity	〈U〉(…に対する)『あわれみ』,同情《+『for』+『名』》 / 〈C〉『残念』(『遺憾』)『なこと』,惜しいこと,気の毒なこと / (…で)…を『気の毒に思う』,あわれむ,に同情する《+『名』+『for』+『名』(do『ing』)》
pivot	(機械の)旋回軸 / 中心人物;要点,かなめ / 旋回 / (…を軸にして)旋回する;回転する《+『on』(『upon』)+『名』》 / 《『pivot on』(『upon』)+『名』》…によって決まる,…に左右される / …を旋回軸の上に置く;…に旋回軸をつける
pivotal	旋回軸の / 中枢の,中心となる,重大な
pix	=pyx / picの複数形
pixie, pixy	(いたずら好きな)小妖精(ようせい) / いたずらっ子
pixilated	少し頭が変な / 酔っぱらった
pizazz,pizzazz	精力,元気 / 魅力的なスタイル
pizza	ピッツァ,ピザ(チーズ・トマトなどをパイ皮にのせて焼いた料理)
pizzeria	ピッツァ(ビザ)の製造(販売)店
pizzicato	ピチカートの(弦楽器の弦を指ではじく奏法) / ピチカートで / ピチカートで演奏される部分
pièce de résistance	〈C〉おもな料理 / 主要な物(事件)
pk.	pack / park / peak / peck
pkg.	package
pkwy.	parkway
pl.	place / plural / plate
placard	はり紙,掲示,ポスター,ビラ / …にはり紙をする / …をはり紙で広告する
placate	…をなだめる
placation	なだめること
place	〈C〉『場所』,『位置』;(物の占める)空間 / 〈C〉『地域』,地方,土地 / 〈C〉(特定の目的のための)『場所』,建物 / 〈C〉《話》住居,家 / 〈C〉(体や物などの表面の)箇所,局部 / 〈C〉(書物中の)読んでいる家所 / 〈C〉席,座席 / 〈C〉『地位』,立場,境遇 / 〈C〉『職』,勤め口;(職場・学校などの)席,定員 / 〈C〉任務,役目 / 〈C〉(説明などの)順序,段階 / 〈C〉《米》(競馬などで)第2着 / 《多く固有名詞に用いて,P-》通り,広小路;広場 / 〈C〉(数字の)けた,位(くらい) / 《場所を表す副詞[句]を伴って》…を『置く』,配置する,据える / (職,地位に)〈人〉をつかせる,任ずる,〈人〉に(…の)職を見つけてやる《+『名』+『in』(『as, with』)+『名』》 / (人・物に)〈信頼・希望など〉を置く,かける《+『名』+『on』(『in』)+『名』》 / (店などに)(…の)〈注文〉を出す《+『名』〈注文〉+『for』+『名』〈品物〉+『with』+『名』〈店〉》 / (…だと)…を見きわめる,思い出す《+『名』+『as』+『名』》 / 《順位を示す副詞を伴って》(競争などで)…位(着)になる
place bet	(競馬で) / 《英》1着から3着までの馬にかけること / 《米》2着までの馬にかけること
place card	(宴会などの)座席札
place setting	(食卓で各人の場所に置かれる)食器類
placebo	(心理的効果だけの)気休め薬;(ある薬の薬効を実験するために服用させる)偽薬
placed	《英》《補語のみに用いて》(競馬などで)3着までに入賞する
