plastics	〈U〉プラスチック素材 / 〈C〉プラスチック製品
plastron	プラストロン(フェンシング用の胸当て)
plat	小さな地面(地所) / (土地などの)図面,地図 / 編んだもの, 弁髪; 組みひも・= plait
plat du jour	(レストランのメニューで)本日の特別料理
plate	〈C〉(通例各人用の丸い)『平皿』 / 〈C〉(料理の)『1皿』[『分』]《+『of』+『名』》 / 〈C〉料理の1人前 / 〈C〉(教会などの)献金皿 / 〈U〉《集合的に》(スプーン・皿など)金(銀)製の食器類 / 〈C〉(金属・ガラス・プラスチックなどの)平板,板金 / 〈C〉(金属・木などの)標札,ナンバープレート / 〈C〉金属(石,木)版画;(本文と別刷りの)図版 / 〈C〉(印刷方法の)電気版,ステロ版 / 〈C〉(写真の)感光板 / 〈C〉《the~》(野球の)本塁(home plate) / (…を)…にめっきする《+『名』+『with』+『名』》 / (保護のために)…を板金で覆う / (印刷で)…を電気版(ステロ版)にする
plate glass	厚板ガラス
plate rack	(洗った皿などの水切りをするための)皿立て
plateau	『高原』,台地 / (発展の途中の)段階
plateful	(食物の)皿1杯分,1皿分《+『of』+『名』》
platelayer	=tracklayer
platen	プラテン(印刷機・タイプライターのローラー)
platform	『壇』,教壇,演壇 / (駅の)『プラットホーム』 / (特に政党の)政策,綱領
plating	(金・銀などの)めっき / (船・乗物などの鋼鉄板の)被覆,装甲
platinum	プラチナ,白金(化学記号は『Pt』)
platinum blonde	薄い銀白色に染めた髪の女性,プラチナブロンドの女
platitude	ありきたりの発言,平凡な文句
platitudinous	平凡な,陳腐な / 平凡(陳腐)な文句をよく使う
platonically	プラトン的に,プラトニックに,精神的に
platoon	(兵隊・警察官・消防夫の)小隊(中隊(company)を作る) / (アメリカンフットボールで)それぞれ攻撃・防御のどちらかを受け持つ一団
platoon sergeant	(米軍の,指揮権をもたない)軍曹
platter	《米》(食物を盛る,通例長円形の浅い)大皿 / (…の)大皿1杯分《+『of』+『名』》 / 《米俗》音盤,レコード
platy	プラティ(メキシコ産の淡水魚)
platypus	カモノハシ(カモのくちばしに似た吻(ふん)部をもち,泳ぎが巧みである)
plaudit	《複数形で》拍手かっさい;賞賛
plausibility	もっともらしさ;口先じょうず
plausible	(話などが)もっともらしい;(人が)口先じょうずな
plausibly	もっともらしく
