polo shirt	ポロシャツ(丸首,あるいは折返しえりのついた半そでのスポーツシャツ)
polonaise	ポロネーズ(ポーランド起源のダンス;その曲) / 18世紀末の婦人用ドレス
polonium	ポロニウム(放射性元素;化学記号はPo)
polony	ソーセージ用に半加工した豚肉
poltergeist	(騒々しい音をたてる)いたらずら好きの妖精(幽霊)
poltroon	腰ぬけ,おく病者,ひきょう者
poly	=polytechnic
polyandrist	一妻多夫者
polyandrous	一妻多夫の / (植物が)多雄ずい性の
polyandry	一妻多夫 / (植物の)多雄ずい性
polyclinic	総合病院診療所
polyester	ポリエステル(合成繊維の一種)
polyethylene	ポリエチレン(《英》polythene)
polygamist	一夫多妻者,一妻多夫者
polygamous	一夫多妻の,一妻多夫の / (植物が)雑性花の
polygamy	一夫多妻,一妻多夫 / (動物の)多婚性
polyglot	数か国語ができる / 数か国語で書かれた / 数か国語ができる人 / 数か国語で書かれた書物,(特に)聖書
polygon	多角形
polygraph	多元記録器・ポリグラフ(脈拍・血圧・呼吸などの同時記録装置・うそ発見器)
polygynist	一夫多妻者
polygynous	一夫多妻の / (植物が)多雌ずいの
polygyny	一夫多妻 / (植物の)多雌ずい性
polyhedron	多面体
polymath	博識家,物知り
polymer	重合体(合一化物の分子が重合した高分子化合物)
polymorphous	多形の,多様な
polynomial	〈C〉 (数学)多項式 / {形} 多項式の / 多項式を含む
polyp	ポリプ(ヒドラ,イソギンチャクなどの生物)・ポリープ(鼻などの粘膜にできるおでき)
polyphonic	(音楽で)対位法の,多声的な
polyphony	(音楽で)対位法,多声音楽
polystyrene	ポリスチレン,スチロール樹脂(温度調節装置の絶縁材などに用いる)
polystyrene cement	ポリスチレン接着剤(おもにプラスチック接着用)
polysyllabic	(単語が)多音節の / 多音節語を特徴とする
polysyllable	多音節語(3音節以上の単語)
polytechnic	諸工芸の;工芸教育の / 工芸学校(大学)
polytheism	多神教;多神論・反対語の「一神教」は「monotheism」
polytheistic	多神論の,多神教の
polythene	=polyethylene
polyurethane	ポリウレタン(塗料・樹脂製造用)
polyvinyl	ポリ[重合]ビニールの・ポリビニールの
polyvinyl chloride	ポリ塩化ビニル
pomade	ポマード / 〈髪〉にポマードをつける
pomander	(戸棚などにおく)におい玉入れ
pomegranate	ザクロ[の実] / ザクロの木
pommel horse	=side horse
pommel, pummel	鞍(くら)がしら(鞍の前部の突起している部分) / (刀の)つかがしら / …をこぶしで続けてなぐる
pomp	壮観,はなやかさ / 見せびらかし,虚飾
pompadour	ポンパドゥール(男性のオールバック,または女性の前髪をなで上げて後ろで束ねた髪型)
pompano	コバンアジ(北米・南米産の食用魚)
pompom	ポンポン(帽子などの飾りにするリボン・玉ふさ)
pomposity	〈U〉もったいぶり,尊大さ,ものものしさ / 〈C〉もったいぶった言動
pompous	もったいぶった,尊大な / (言葉が)大げさな,ぎょうぎょうしい
poncho	ポンチョ(南米独特の外とう;毛皮・布の真中の穴から頭を出して着用する) / (登山・釣りなどに用いる)ポンチョ風レインコート
pond	『池』
ponder	…を『じっくり考える』,『熟考する』 / (…を)じっくり考える,沈思する《+『on(over)』+『名』(do『ing』)》
ponderous	大きくて重い,どっしりした;重くて扱いにくい / (動作などが)のっそりとした / (文体・話し方などが)重苦しい
pone	=corn pone
pongee	絹紬(けんちゅう)(生糸を使った薄茶色のややあらい絹織物)
poniard	短剣,懐剣(dagger)
pontiff	《the P-》(ローマカトリック教の)教皇,法王(the Pope) / 〈C〉(ユダヤ教の)祭司長;(カトリック教の)司教(bishop)
pontifical	教皇の,法王の;祭司長の;司教の / 横柄な,独断的な / 《複数形で》司教の祭服
pontificate	教皇(祭司長,司教)の任を勤める / (…について)もったいぶった話し方(書き方)をする《+『about』(『on』)+『名』》 / 司教(教皇)の職位(任期)
pontoon	(舟橋用の)鉄船 / (沈没船を引き揚げるときの)浮き箱 / (水上飛行機の)フロート / 平底船 / =twenty-one
pony	小型の品種の馬;(一般に)小さい馬 / 《米俗》(外国語や古典の対訳の)虎の巻
pony express	米国西部の馬を乗り継いで行った速達便・この制度による速達便の実施は、実際には一年くらい、とのことです。電報によって取って代わられました。
ponytail,pony tail	ポニーテール(髪を後ろで結んでたらす結い方)
poo	= poo-poo・(幼児語)うんち・うんちをする
pooch	犬
poodle	プードル犬
pooh	ちぇっ,ふうん(軽べつ・不同意などを表す) / (悪臭に対して)ぷうー
pooh-pooh	…をふんと鼻であしらう
pool	(特に,自然にできた)『水たまり』 / (水以外の液体の)たまり《+『of』+『名』》 / 『水泳プール』(swimming pool) / 〈U〉賭(か)け玉突き(6個の穴の台でする玉突きの一種) / 〈C〉(ある種のゲームの)総賭け金 / 企業連合,カルテル / 〈C〉(…の)合同資金,プール;共同管理(出資)《+『of』+『名』》 / 〈C〉共同利用の施設,(それを利用して集まる人などの)たまり / 《the pools》《英》サッカー懸賞 / …をいっしょにする;共同出資する
pool shark	プール(玉突き)ゲームで素人をカモにして金を巻き上げるプロまたは詐欺師
poolroom	玉突き場;公開賭博場
poop	船尾楼[甲板] / 情報,内幕
poop deck	船尾楼甲板
poop sheet	一覧表,早見表
pooped	疲れ果てた,へたばった
poor	『貧乏な,貧しい』 / 『貧相な』,みすぼらしい / (一定規準よりも)劣る,落ちる / 《名詞の前にのみ用いて》哀れな,不運な,かわいそうな / 《名詞の前にのみ用いて》故人となった,なくなった / 《名詞の前にのみ用いて》《謙そん,またはおどけて》つまらない,取るに足らない / 《the~》《名詞的に》《複数扱い》貧しい人々;かわいそうな人々
poor box	慈善箱
