possum	=opossum
post	〈C〉(木・金属・石などの)『柱』,『支柱』,くい / 《the ~》(競馬の)出発標,決勝標 / 〈C〉《話》(ラグビーなどの)ゴールポスト(goalpost) / (柱・壁などに)〈掲示物〉を『張る』,張り出す《+『名』〈掲示物〉+『on』+『名』》;(掲示物を)〈柱・壁など〉に張る《+『名』+『with』+『名』〈掲示物〉》 / (掲示して)…を公表する,公示する / 《通例受動態で》(…として)…を掲示(発表)する《+『名』+『as』+『現分』(過分)》 / (兵士・警官・看護婦などの)『部署』,『持ち場』 / (軍隊の)駐屯(ちゅうとん)地,駐留地,兵営地 / (指名・任命された)『地位』,職 / (またtrading post)(未開地などの)交易所 / 〈兵士・警官・看護婦など〉を配置する / 《通例受動態で》《おもに英》(…に)〈人〉を任命する《+『名』+『to』+『名』》 / 〈U〉《おもに英》『郵便』[制度] / 《おもに英》《単数形で》(郵便物の1回の)『集配』,『配達』,便;(1回で集配・配達される)郵便物(《米》mail) / 《the ~》《おもに英》郵便局(post office);ポスト,郵便箱(《米》mailbox) / 〈C〉(昔,郵便物の中継所にした)駅,宿,宿場 / 《おもに英》〈郵便物〉を郵便局に出す,ポストに入れる(《米》mail)《+『off』+『名』+『,』『名』+『off』》 / 《『post』+『名』〈間〉〈人〉+『名』〈直〉=『post』+『名』+『to』+『名』〈人〉》〈人〉に〈手紙など〉を郵便で送る(《米》mail)
post exchange	(陸軍の)物品販売店,酒保(=canteen)(《略》『PX,P.X.』)
post horn	(昔の)郵便馬車の角らっぱ
post office	『郵便局』
post time	(競走馬の)出走予定時刻
post-free	=postpaid
post-office	郵便局の
post-office box	郵便私書箱 / =PO Box
postage	『郵便料金』,郵送料
postage meter	(料金別納郵便物の)メータースタンプ,料金メーター
postage stamp	『郵便切手』
postal	『郵便の』
postal card	=postcard
postal order	郵便為替 / =money order
postbag	《a ~》《話》(ある人に一度に配達された)郵便物 / =mailbag
postbox	《おもに英》郵便ポスト(《米》mailbox)
postcard, post card	『郵便はがき』 / (また《文》picture postcard)絵はがき
postcode	=zip code
postdate	〈手紙・事件など〉の日付けを実際よりも遅らせる
poste restante	=general delivery 郵便局留め
poster	ポスター,びら
poster paint	ポスターカラー(水彩絵の具の一種)
posterior	《名詞の前にのみ用いて》(生物学的に,位置が)後ろの,後部の / (時間・順序が)後の;(…より)後の《+『to』+『名』》(later) / しり(buttocks)
posterity	《文》《集合的に》(ある人の)『子孫』 / 後代の人々,後世
postern	裏口,裏門,通用門
postgraduate	大学卒業後の,研究科の,大学院の / 研究生,大学院生
posthaste	《文》大急ぎで
posthumous	父の死後に生まれた / 著者の死後に出版された / 死後の
postilion,postillion	騎乗御者(何頭か立てた馬車の左の先頭馬に乗って御する御者)
posting	《おもに英》(特に軍職に)任命すること
postlude	後奏曲;最終楽章
postman	『郵便集配人』(《米》mailman)
postmark	(郵便の)消印 / 〈郵便物〉に消印を押す;〈郵便物〉に(…の)消印を押す《+『名』+『名』〈補〉》
postmaster	郵便局長
postmaster general	《米》郵政長官,《英》郵政大臣
postmeridiem,post meridiem	午後(《略》=『p.m.,P.M.』)
postmistress	女郵便局長
postmortem	死後の,検死の / 事後の / 死体解剖,検死 / 事後の検討
postnatal	出産後の
postoperative	外科手術後の
postpaid	{形} 郵便料金支払い済みの(差出人が料金を前払いした) / {副} 郵便料金を前払いで
postpartum	出産後の,分娩(ぶんべん)後の
postpone	…を『延期する』,延ばす
postponement	延期,あと回し
postprandial	食後の,正餐(せいさん)後の
postscript	(手紙の)追って書き,追伸(《略》『P.S.,p.s.』) / (書物・論文などの)補遺,後書き,後記
postulant	聖職志願者
postulate	(自明のこととして)…を仮定する;…だと仮定する《+『that節』》 / (推論の基礎となる)仮説,仮定;(数学の)公理
posture	〈U〉(一般的な)姿勢;〈C〉(特定の)姿勢,(モデルなどのとる)ポーズ / 〈C〉《通例単数形で》態度,身のこなし;気構え,心組み / (不自然に・気どって)ポーズ(姿勢)をとる / (…らしく)気どる,ふるまう《+『as』+『名』》
postwar	戦後の
posy	花(flower) / 花束(bouquet)
pot	〈C〉(金属・陶器・ガラス製などの)『つぼ』,かめ,鉢(はち);深なべ / (またpotful)〈C〉びん・つぼ・かめ・なべなどの)1杯分(の分量)《+『of』+『名』》 / 〈C〉室内用便器(chamber pot) / 〈C〉《話》優勝カップ / 〈U〉《the pot》《おもに米》(ポーカーなどの)1回の総賭(か)け金 / 〈C〉《しばしば複数形で》《話》多額[の金] / 〈U〉《the pot》《米》(仲間が共同で使えるように出し合う)基金 / 〈C〉《話》《おもに英》お偉方,大物 / 〈U〉《属》マリファナ(marijuana) / =potbelly / 〈植物〉を鉢植えにする / 〈食物〉を容器に入れて保存する / (食用・スポーツとして〈獲物〉を撃ち殺す / 《話》〈子供〉を室内便器に坐らせる
pot cheese	一種のコテージチーズ
pot roast	肉のなべ焼き料理 / なべ焼き肉
pot-roast	〈牛肉〉をとろ火でなべ焼きにする
potable	(特に水が)飲用に適した
potage	ポタージュ(濃いスープ)
potash	あく(灰汁) / カリ,カリウム化合物
potassium	ポタシウム,カリウム(金属元素;化学記号はK)
potassium bromide	臭化カリウム
potassium cyanide	青酸カリ
potassium hydroxide	水酸化カリウム
potassium nitrate	硝酸カリウム
potation	〈U〉飲酒 / 飲む行為 / 〈C〉飲酒の飲み物そのもの
potato	〈C〉〈U〉『ジャガイモ』 / (また『potato plant』)〈C〉ジャガイモをつける植物 / 〈C〉〈U〉《おもに米》サツマイモ(sweet potato)
potato beetle	ジャガイモカブトムシ(ジャガイモの葉を食う害虫)
potato chip	ポテトチップ(《英》crisp, potato crisp)
potato crisp	=potato chip
potbellied	たいこ腹の
potbelly	(また『pot』)たいこ腹 / たいこ腹の人
potboiler	金目当ての文学(芸術)作品 / その作家
potbound	(鉢植えを植物が)根が張りすぎて成長できない
potency	力,能力,権勢,影響力 / (薬などの)効能
potent	《文》(特に政治的に)有力な,強力な / (薬・酒などが)効きめのある / (議論などが)説得力のある,力強い / (男性が)性交可能な
potentate	(昔の)支配者,君主 / (業界などの)実力者,有力者
potential	可能性のある,潜在的な / 可能性,潜在力 / 電位
potential energy	(物理学で)位置エネルギー
potentiality	〈U〉潜在状態 / 〈C〉《通例複数形で》可能性;発展の見込み,将来性
potentially	可能性を秘めて,潜在的に
potentiate	…を可能にする,強力にする / 〈薬品〉の有効性を高める
potful	(…の)つぼ(なべ)1杯の分量《+『of』+『名』》
pothead	マリファナ常用者
pother	〈C〉《単数形で》ささいなことにくよくよすること / 〈U〉から騒ぎ,大騒ぎ / (ささいなことで)心配する,くよくよする《+『over』+『名』》 / …を心配させる
potherb	(ホウレンソウのように)煮て食べる野菜
potholder	(布製の)なべつかみ
pothole	(車などによる)路上の穴・甌穴(おうけつ)(河床の岩石上の穴)・深い穴、道にできた穴・= pot-hole
potholing	洞窟(どうくつ)探検
pothook	(火の上になべをつるすための)S字形のかぎ,自在かぎ
pothouse	(英の)居酒屋
pothunter	賞金目当ての競技参加者 / (狩猟のルールを守らない)乱猟家 / 不心得な考古発掘者
potion	(水薬・毒薬の)一服(drink, draft)
potluck	ありあわせの食べ物・ポットラックパーティー(potluck party)・あり合わせの料理・食べ物を持ち寄って行う・みんながごちそうを持ち寄る食事[料理]・持ち寄りの
potpie	肉入りパイ;肉だんご入りシチュー
potpourri	香つぼ(バラなどの干した花弁と香料を混ぜて入れたもので部屋に芳香を漂わせる) / 寄せ集め;(文学の)雑集;(音楽の)混成曲
potsherd	(特に考古学的価値のある)陶器片
potshot	めくら撃ち
pottage	濃いスープ,ポタージュ
potted	鉢植えの / びんづめの / (名著などが)簡約版の
potter	=putter / 陶工,陶芸家
