potter's field	(貧困者などのための)共同墓地,無縁墓地,
potter's wheel	(陶工が使う)ろくろ
potteries	ポッタリーズ(英国の陶磁器生産地)
pottery	〈U〉製陶術,陶器製造 / 〈U〉《集合的に》陶器類 / 〈C〉陶器製造所
potting shed	庭園用具小屋
potty	《おもに英話》(人が)ばかな,多少狂っている;(考えなどが)道理に合わない / 《名詞の前にのみ用いて》《英》価値のない,取るに足りない / 《補語にのみ用いて》《英話》(…に)熱狂的な,のぼせている《『+about+名』》 / 幼児用便器,おまる
potty-trained	(子供が)おまるを使えるようになった
pouch	(革製の)小袋(たばこ入れ・さいふなど);郵便袋;(兵隊の)弾薬袋 / (カンガルーなどの)腹袋 / (動物の)ほお袋 / (目の下の)たるみ
pouf,pouffe	腰掛け用(足置き用)クッション / 《英俗》ホモ,同性愛者
poult	(七面鳥・鶏などの)ひな
poulterer	《英》鳥屋,鳥肉屋,家禽(かきん)商
poultice	パップ剤,湿布剤
poultry	《集合的に》《複数扱い》『家禽』(かきん),飼い鳥(鶏・アヒルなど) / 《単数扱い》家禽の肉
pounce	(…に)飛びかかる《『+at(on, upon)+名』》 / (…に)急に襲いかかる《『+on(upon)+名』》 / 《通例単数形で》(…に)襲いかかること,(…への)急襲《『+on(upon)+名』》
pound	『ポンド』(一般に商業で用いられる重量の単位;16オンス;約453.6グラム;《略》『1b.』) / ポンド(英国・アイルランドなどの貨幣の単位(pound sterling)およびその紙幣;もと20シリング(=240ペンス);1971年2月以後は100ペンス;《略》￡) / トロイポンド(金・銀の重量単位;373.2グラム) / (…で)…を『強く打つ』,連打する《+名+with+名》 / (…になるまで)…を打ち砕く,たたきつぶす《『+名+into(to)+名』》 / (…を)『強く打つ』,連打する《『+at(on, against)+名』》 / 〈心臓などが〉激しく鼓動する / 《副詞[句]を伴って》ドスンドスンと歩く / (動物,特に捨て犬・猫の)囲い檻(おり),収容所
pound cake	《米》パウンドケーキ[バター,卵,小麦粉,砂糖を1ポンドずつ用いて作ったことから](《英》Madeira cake)
pound note	1ポンド紙幣;《数字と結合して》…ポンド紙幣
pound-foolish	大金の使い方を知らない
pounding	強打,連打;ドンドン(ドスンドスン)という音 / 《話》ひどい敗北
pour	《副詞[句]を伴って》〈液体〉を『注ぐ』,『つぐ』,流す / (…に)…を『注ぎかける』,浴びせる,〈努力など〉を注ぐ《+『out』(『forth』)+『名,』+『名』+『out』(『forth』)》 / 《副詞[句]を伴って》〈水・煙などが〉『流れる』;《比喩(ひゆ)的に》〈人・物が〉『流れ出る』 / 〈雨が〉『激しく降る』《+『down』》 / 《話》(レセプションなどで)〈婦人が〉お茶(コーヒーなど)をつぐ,接待役をする / どしゃ降り
pout	(不快・不きげんを表して)口をとがらせる,ふくれっつらをする / (くちびるなど)をとがらせる《+『out』+『名』》 / 口をとがらせること
pouter	ハネタカバト(え袋をふくらませる習性がある)
poverty	〈U〉『貧乏』,貧困 / 〈U〉《時にa~》(必要なものの)『不足』,欠乏《+『of』(『in』)+『名』》
poverty-stricken	極貧の
powder	〈U〉〈C〉『粉』,粉末 / 〈U〉おしろい / 〈U〉〈C〉粉薬 / 〈U〉火薬,爆薬(gunpowder) / 〈U〉粉雪 / …を粉にする / (粉などを)…にふりかける《+『名』+『with』+『名』》 / 〈顔など〉におしろいをつける / 粉になる / おしろいをつける
powder horn	(角(つめ)製の)火薬入れ
powder keg	爆発の可能性があるもの / (昔の)爆薬だる
powder magazine	火薬庫
powder puff	おしろいはけ,パフ / 《俗》弱虫
powder room	(劇場・ホテルなどの)化粧室,婦人用洗面所
powdered	粉に覆われた / 粉末状の
powdery	粉の,粉状の / 粉だらけの / 粉になりやすい,もろい
