prayer meeting	(プロテスタントの)祈祷会
prayer rug	(イスラム教徒が用いる)礼拝用敷物
prayerful	よく祈る,信心深い;(態度などが)祈りのこもった
praying mantis	カマキリ(前肢を祈りのように組むことから)
preach	(特に宗教的なことについて,人に)『説教する』,説く《+『to』(『at』)+『名』〈人〉+『about』(『on』)+『名』(do『ing』)》 / …を『説教する』,伝道する;…を説く
preacher	(特にプロテスタントの)伝道師,牧師(clergyman)
preachify	たいくつな説教をする
preamble	(文書の)序文,前文;(演説の)前置き,前口上
preamplifier	プリアンプ(受信した弱い電波を検波・増幅する装置)
prearrange	…を前もって打ち合わせる,あらかじめ準備する
prearrangement	前もっての打ち合わせ
prebend	聖堂参事会員の俸給・受給聖職者の職・聖職禄・=prebendary
prebendary	聖職給受給有資格者
prec.	preceded / preceding
precancerous	前癌(がん)症状の
precarious	危険な;心もともない,不確かな / あやふやな,いいかげんな(doubtful)
precast	建築用ブロックに作られた 前もって成形された あらかじめ成形する
precaution	〈C〉(危険・災害などに対する)『事前の策』,予防策《+『against』+『名』》 / 〈U〉(…に対する事前の)用心,警戒《+『against』+『名』》
precautionary	用心のための
precede	…より『先に来る』(『行く』) / …の上位である,より重要である / …に先だつ,の先に起こる / (…で)…に前置をする《+『名』+『with』+『名』》 / 先行する,先に(前に)来る
precedence	(時間・順位などが)先に来ること / (地位・重要性などが)上であること / (公式の席などでの)上席
precedent	〈C〉(…の)先例,前例《+『for』+『名』》 / 〈U〉先例にならうこと
preceding	(時間・順位などが)『先の』,前の(previous)
precentor	(聖歌隊の)先唱者
precept	教訓,道徳的な教え;(特に行動の)指針,格言
preceptor	教授者,教師
precession	春分点歳差(春分が年々早く起こること)
precessional	(地球の自転の)歳差[運動]の
precinct	《通例複数形で》構内;(寺院・教会の)境内(けいだい) / 《複数形で》(都市などの)周辺地域,近郊 / (都市のある目的をもった)特定区域 / 《米》(市の選挙・警察行政などの)区域 / 《通例複数形で》境界線,囲い
preciosity	〈U〉(発音・言葉などの)凝り過ぎ,気取り過ぎ / 〈C〉《しばしば複数形で》凝り過ぎた表現(発音)
precious	『高価な』;『貴重な』,大切な / 『かけがえのない』,無駄にできない / 『愛する』,いとしい(dear・beloved) / 《話》《名詞の前にのみ用いて》《強調・皮肉に》とびきりの,大した / いやに気取った,凝り過ぎの / とても,非常に / かわいい人
precious metal	貴金属
precious stone	宝石
precipice	断崖(だんがい),絶壁 / 危機,窮地
precipitant	まっさかさまに落ちる / 大急ぎの,まっしぐらの
precipitate	…を思いがけなく引き起こす,の到来を早める / (…の中に)…を投げ落とす,(…の状態に)…を陥らせる《+『名』+『into』+『名』》 / 〈流動体〉を沈殿させる / (雨・雪・霧などに)〈水蒸気〉を凝結させる / 〈水蒸気が〉凝結して雨(雪など)となる / 〈流動体が〉沈殿して固体になる / 大急ぎの;まっしぐらの / (化学で)沈殿物
precipitation	〈U〉(化学で)沈殿物;〈U〉沈殿 / 〈U〉降雨,降雪;降雨量,降雪量 / (文語)早まった行動
precipitous	絶壁のような,切り立った / 険しい,急勾配(こうばい)の
precis	〈C〉要約したもの,摘要 / 〈U〉要約法,要約すること / …を要約する
precise	『正確な』,的確な,明確な / 《名詞の前にのみ用いて》まさにその,当の / (必要量などに)ちょうどの / (人,考え・規則などが)厳格な,きちょうめんな
precisely	『正確に』,明確に,はっきり / きちょうめんに / かっきりと,ちょうど / 《人に同意して》全くそのとおり
precisian	(特に宗教上の)規則にやかましい人
precision	正確,きちょうめん / (計器などが)精密な
precision-made	精密に作られた
preclude	《文》〈事〉を不可能にする,がないようにする;〈人〉を妨げる
preclusion	防止,妨害
precocious	(人が)早熟の
precocity	早熟
precognition	[超感覚的]予知
preconceive	…をあらかじめ考える,を予想する
preconceived	(考え方・意見などが)頭ごなしの,先入観にとらわれた
preconception	予想,予断
precondition	必要条件 / …をあらかじめ整える
precursor	(…の)前兆,前触れ《+『of』+『名』》
pred.	predicate
predaceous, predacious	=predatory 1
predate	…を実際の日付より前にする / …より早く起こる
predation	(動物の)捕食関係 / 略奪[行為]
predator	捕(肉)食動物(ライオン・タカなど) / (強奪・搾取などで)他人を食いものにしている人
predatory	(またpredaceous, predacious)(動物が)肉食の,生物を捕食する / (人が)人を食いものにする
predecease	〈人・事件〉の前に死亡する,に先立つ
predecessor	2『前任者』;前のもの
predestinate	=predestine
predestination	救霊の予定(救われる者は神によって既に定められているとする教え) / 予定説,宿命論(この世のすべての事は神の予定によるとする考え)
predestine	《しばしば受動態で》〈神が〉(…に)〈人〉を運命づける,に宿命を負わせる《+『名』+『for』+『名』,(…するよう)〈人〉を運命づける《+『名』+『to』 do》
predetermination	宿命,運命づけられていること
predetermine	…を前もって定める;(…するよう)…を前もって定める《+『名』+『to』 do》 / 〈生産量,経費など〉を見積もる
predeterminer	冠詞の前に用いられる語(such a good boyのsuchなど)
predicable	断言(断定)できる
predicament	苦境,窮地
predicate	(文法で)述部,述語 / 述部の,述語の / (しばしば受動態で》(…に)〈行動・主張〉の根拠を置く《+『名』+『on』+『名』》 / 《文》…を断言する)
predicate adjective	叙述形容詞(補語としてのみ用いられる形容詞;He is alive.のalive)
predicate nominative	主格補語として用いられている名詞(代名詞)(He was a king.の文でking)
predicate noun	叙述名詞[句](補語として用いられている名詞[句])
predicative	(文法で)叙述的な / (文法で)述語
predict	(知識・経験・推論などで)…を『予報する』,『予言する』
predictable	(現象などが)予報(予言)し得る / (悪い意味で)予想どおりの
predictably	予言(予想)どおりに,案の定
