prefabricated house	組み立て式住宅,プレハブ家屋
prefabrication	規格部品による組み立方式
preface	(論文などの)『序文』,『はしがき』;(演説などの)前置き《+『to』+『名』》 / 《話》(行動の)きっかけ,序の口 / (…で)…に序文(前置き)をつける《+『名』+『with』(『by』)+『名』》 / …の前置き(導入)の役を果たす
prefatory	序文の,前置きの
prefect	(古代ローマの)長官,総督;(警察・軍・省庁の)長官,総監 / 《英》(public schoolで)風紀の監督をする上級生
prefectural	(フランス・日本などの)県の,府の
prefecture	(フランス・日本などの)『県』,府 / (フランスで)長官(総監)官邸
prefer	『むしろ』…『のほうを好む』(『選ぶ』) / (法廷なでに)…を提出する,申し出る / 《文》(特に教会などで)〈人〉を(…に)昇進させる《+『名』+『to』+『名』》
preferable	いっそう望ましい,むしろ好ましい;(…より)望ましい《+『to』+『名』(do『ing』)》
preferably	好んで,むしろ
preference	〈U〉〈C〉『好み』 / 〈U〉〈C〉好みの物を選ぶ権利;優先権 / 〈C〉『好みのもの』
preference stock	=preferred stock
preferential	優先の;差別的な
preferment	(稀に教会などで)昇進,登用
preferred stock	優先株(《英》preference stock)
prefigure	…を前もって示す / …を予想する
prefix	接頭辞 / 人名の前につける敬称(Mr.,Dr.,Sirなど) / …に接頭辞をつける / (本・名前などの頭に)〈題・称号など〉をつける,冠する《+『名』+『to』+『名』》
pregnancy	〈U〉〈C〉妊娠の状態(期間) / 〈U〉《文》含蓄
pregnancy test	受胎検査
pregnant	(比較変化なし)『妊娠している』 / 《名詞の前にのみ用いて》含みのある / 《補語にのみ用いて》(…を)いっぱいに含んだ,はらんだ《+『with』+『名』》 / 《文》想像(工夫)に富んだ
preheat	〈オーブンなど〉を使用前に温める(熟する)
prehensile	〈足・尾などが〉巻きついて物をつかむのに適している
prehistoric,prehistorical	有史以前の,先史の / 大昔の,旧式な
prehistory	〈U〉先史時代 / 〈U〉先史学,先史人類史 / 《a ~》(ある状況に至るまでの)いきさつ,経過《+『of』+『名』》
prejudge	…を先入観をもって判断する
prejudgment,prejudgement	予断,速断;予断裁決[例]
prejudice	〈U〉〈C〉(…に対する不当な)『先入観』,『偏見』《+『against』+『名』(do『ing』)》;(…に好意的な)先入観,えこひいき《+『in favor of』+『名』》 / 〈U〉不利益,損害 / (…に対して)…に(不当な)『先入観』(『偏見』)『を抱かせる』《+『名』+『against』+『名』(do『ing』)》;(…に対して)…に(好意的な)先入観を抱かせる《+『名』+『in favor of』+『名』,+『名』+『in』 one's 『favor』》 / 〈立場,見込みなど〉を損なう,だいなしにする
prejudiced	偏見をいだいた,不公平な
prejudicial	先入観(偏見)をいだかせる / 《『be prejudicial to』+『名』》…に有害な
prelacy	〈C〉(大司教など)高位聖職者の職(地位) / 《the ~》《集合的に;《英》複数扱い》高位聖職者
prelate	高位聖職者,高僧(bishop,archbishop,cardinalなど)
prelim.	preliminary
preliminary	『準備する』,『予備の』;前置きの / 《通例複数形で》準備の処置,予備行動,下準備 / 予備試験;前座試合;予選
preliterate	(文化・社会などが)記録(文献)を保存してない
prelude	《通例単数形で》(事件などの)前兆,前触れ《+『to』+『名』》 / プレリュード,前奏曲,序曲 / …の前触れとなる;…の前置きにする / …の前奏曲を奏する / (…の)前触れ(前兆)となる《+『to』+『名』》 / 序曲を奏する
prem.	premium
premarital	結婚前の
premature	時期尚早の,早すぎた / 早計の,早まった / 早産の
premature ejaculation	早漏・早発射精
premed	=premedical / 医学部進学課程の学生
premedic	=premed
premedical	医学部進学課程の
premeditate	…を前もって考える(計画する)
premeditated	意図的な,計画的な
premeditation	前もって慎重に計画すること
premier	『第1位の』;『首席の』(chief) / (フランス・イタリア・日本などの)『首相』
premiere,première	(演劇・映画の)初演,封切 / 〈演劇・映画など〉を初演する,封切る / 〈演劇・映画などが〉初演される,封切られる
premiership	〈U〉首相の地位(職,任期) / 〈C〉《英》プレミアリーグ(特にサッカーの最上位リーグ)
premise	〈C〉(推理を行う上で結論の根拠となる)『前提』;(…という)根拠《+『that節』》 / 《the premises》前述の事項,前述の物件 / 《複数形で》家屋敷,土地建物;敷地,構内 / …を前置きとして(あらかじめ)述べる;…ということを前提とする《+『that節』》
premium	(購買心をそそるための)無料提供品,値引き品,おまけ / 割増し金;奨励金 / (普通以上の)高い価値 / 保険料,保険掛け金
premium bond	割増し償還公債
premolar	小臼歯 / 小臼歯の
premonition	(特によくない)(…の)予感《+『of』+『名』》,(…という)前兆《+『that節』》
premonitory	(不吉な)前触れとなる,警告的な
prenatal	生まれる前の,胎児期の(《英》antenatal)
preoccupation	〈U〉(…への)没頭,夢中,(…に)心を奪われること《+『with+名』》 / 〈C〉没頭(夢中に)される問題
preoccupied	(…に)心を奪われている,気をとられている,夢中の《+『with+名』》
preoccupy	《しばしば受動態で》〈人・人の心〉をいっぱいにする
preoperative	手術前に起こる,手術前の
preordain	〈神・運命が〉…をあらかじめ定める
