priory	小修道院(格はabbeyの下)
prise	=prize
prism	プリズム(分光に用いる透明な三角柱) / (幾何で)角柱
prismatic	プリズムの,分光の;にじ色の / 角柱の
prismatic colors	にじの7色
prison	〈C〉〈U〉『刑務所』,監獄,拘置所 / 〈C〉〈U〉(一般に)閉じ込めておく場所,幽閉所 / 〈U〉監禁
prison breaker	脱獄者
prison breaking	脱獄,牢(ろう)破り
prison camp	捕虜収容所
prison visitor	囚人(捕虜)慰問者
prisoner	(服役中の)『囚人』;(未決の)拘置人,刑事被告人 / =prisoner of war / 自由を奪われた人,動きがとれなくなった人(動物) / 捕虜
prisoner of war	捕虜(《略》『PPX,P.O.W.』)
prissily	いやに礼儀正しく,きちんとして,とりすまして
prissiness	いやに礼儀正しいこと,とりすましていること
prissy	やかましい,こうるさい
pristine	原始時代の;元の / 純な,汚されていない
prithee	願わくは 何とぞ(please)
privacy	他人から干渉されない状態(権利),プライバシー / 秘密,内密
private	『私的な』,個人的な / 『私有の』,私営の,私立の / 『内密の』,非公開の,秘密の / 公職についていない,在野の;(軍隊で)士官(下士官)でない / 人目につかない,孤立した / 兵卒,兵(軍隊で最も下の三階級)
private detective	私立探偵
private enterprise	〈U〉私企業制度 / 民間企業活動 / 〈C〉私企業 / 民間企業
private eye	私立探偵(たんてい)
private first class	(米陸軍の)上等兵(privateとcorporalの間の階級;自衛隊の一等陸士に相当)
private house	私宅,私邸
private member	(下院の閣僚外の)一般議員,平議員
private parts	(また《俗》『privates』)陰部,性器
private school	私立学校
private soldier	=private
privateer	私掠(しりゃく)船(戦時中,敵船補獲の許可を持っていた民間の武装船) / 私掠船の船長
privately	個人として / ひそかに,秘密に
privation	〈U〉〈C〉(生活必需品の)欠乏,窮乏 / 〈C〉《単数形で》(人生にとって大事なものの)喪失,剥奪(はくだつ)
privet	イボタノキ(垣根などに用いる常緑低木)
privilege	(免除・許可などの)『特権』,『特典』,恩典,恩恵 / …に特権(特典)を与える
privileged	特権(特典)のある
privily	ひそかに,内密に
privy	(…の)内情に通じた《+『to』+『名』》 / 屋外便所
prize	『賞』,賞品,賞金,ほうび / (努力して手に入れる)『価値あるもの』,貴重なもの / 入賞した / 賞品の / 《話》《しばしば皮肉に》賞に値する / …を高く評価する,重んずる / 捕獲品,勝利品;捕獲した敵船
prize day	年間最優秀[学業]賞の授与
prize ring	プロボクシング試合場(リング)
prize,prise	…をてこで動かす
prizefight	懸賞のつきのプロボクシング試合
prizefighter	職業拳闘選手,プロボクサー
prizefighting	(職業としての)拳闘,プロボクシング
prizeman	(大学の)優等生
prizewinner	受賞者,賞金獲得者;受賞作品
pro	=professional / 賛成論;賛成票(者) / 賛成して
pro forma	形式上の,仮の
pro rata	一定の割合で,比例して / 比例した
pro-am	《名詞の前にのみ用いて》(ゴルフの試合が)プロとアマ参加の
prob.	probable / probably / problem
probability	〈U〉『ありそうなこと』,起こりそうなこと,見込み,公算(likelihood) / 〈C〉ありそうな(起こりそうな)事件(結果) / 〈U〉(数学で)確率;(哲学で)蓋然(がいぜん)性
probable	『ありそうな』,起こりそうな / 起こりそうなこと;何かしそうな人,予想される勝利者,有望な候補者
probably	『たぶん』,『おそらく』
probate	〈U〉遺言状の[真偽の]検認 / 〈C〉検認済みの遺言書 / 遺言検認の / 〈遺言書〉を検認する
probation	(性格・適性などを試す)試用,仮採用;試用期間,見習い期間 / 執行猶予;保護観察
probation officer	保護観察官
probationary	試用(見習い)期間の / 執行猶予の / 《米》仮及第の,仮進級の
probationer	試用(見習い)期間中の人;見習い看護婦,牧師補など / 執行猶予(保護観察)中の人
probative	試みの,試験的な / 立証(証拠)に役立つ
probe	(傷の深さを調べる)さぐり針 / (…を)厳密に調べること,精査《+『into』(『for』,『at』)+『名』》 / (また『space probe』)(ロケットの)宇宙探測機 / …を厳密に調べる / 〈傷〉をさぐり針で調べる / (…を)厳密に調べる《+『into』(『for』,『at』)+『名』》
probity	誠実,正直
problem	(特に解決の容易でない)『問題』,やっかいな事態 / 《単数形で》《話》(…にとって)やっかいな人《+『to』+『名』》 / (特に,数学の)問題 / 扱いにくい,問題の
problem child	扱いにくい子,問題児
problematic, problematical	疑問のある,あやふやな;未決(定)の
proboscis	象(バクなど)の鼻 / (チョウやカなどの)口吻(ふん) / 《おどけて》異常に大きい人間の鼻
proc.	procedure / proceedings / process
procaine	パロカイン(局所麻酔な用いる薬品)
procathedral	臨時司教座聖堂
procedural	(特に法的な)手続き[上]の,手順の
procedure	〈U〉(行動・事情などの)『進行』,進展 / 〈C〉(進行上の)『手順』,方法;(法律上の)『手続き』
proceed	『取りかかる』,始める / (一度やめてまた)(…を)『続ける』,続行する《+『with』+『名』》 / (一度止まってまた)(…へ)進む,前進する《+『to』+『名』》 / 〈事が〉進行する
proceeding	〈U〉(…の)進行,続行《+『of』+『名』》 / 〈C〉《複数形で》一連の行為(ふるまい) / 〈C〉《複数形で》《しばしばp-》学会などの会議録;会報 / 〈C〉《複数形で》訴訟[手続き]
proceeds	収入,所得,売り上げ高
process	(自然の)『作用』,過程 / (物事の)『手順』,方法 / (技術上の)製法,工程 / 召喚状,出頭令状;訴訟過程 / (動植物の組織の)隆起,突起 / 加工(処理,調整)した / 〈食品〉を加工する / 〈写真フイルム〉を現像する / 〈資料〉をコンピューターにかける / …を一定の手順で処理する,(整理する,調査する)
procession	〈C〉『行列』 / 〈U〉(行列の)『行進』
processional	行列の / 行列賛美歌[集]
processor,processer	[農産物]加工業者 / (コンピューターの)データ処理装置
proclaim	〈国家的・社会的重大事〉を『宣言する』,公表する / 《文》〈物・事が〉…をはっきりと知らせる
proclaimer	(公式の)宣用者,公布者,言明者
proclamation	〈U〉(…の)『宣言』,公布,布告《+『of』+『名』》 / 〈C〉声明書,宣言書
proclivity	(特に悪いことに向かう)傾向,性癖,気質《+『to』(『toward』)+『名』》,(…する)傾向《+『to』 do》
proconsul	(古代ローマの)地方総督;(近世の)植民地総督
