prodigious	巨大な,ばく大な(vast)
prodigy	非凡な人,天才,神童・(…の)驚異,奇跡,偉観《+『of』+『名』》
produce	[ある場所・地域などが]…を『産出する』,『生産する』 / 〈商品〉を『製造する』;〈作品など〉を作り出す / 〈動植物が〉…を『生じる』;〈子〉を生む / …を『取り出す』,提示する / 〈物事が〉…を引き起こす,もたらす / 産出する生産する / 生産物 / 《集合的に》農産物(特に野菜と果物)
producer	『生産者』;産出地 / (劇・映画などの)製作者,プロデューサー
product	『産物』;製品 / (…の)結果,帰結《+『of』+『名』(do『ing』)》 / (数の)積 / (化学の)生成物
production	〈U〉(…を)『生み出すこと』,(…の)『生産』,産出,製造《+『of』+『名』》 / 〈U〉『生産高』,産出額(量) / 〈C〉『産物』,製品 / 〈U〉(…の)提出,提示《+『of』+『名』》 / 〈C〉(劇・映画などの)製作;(文学などの)作品
production line	(工場での)流れ作業(assembly line)
productive	生産的な,好ましい結果を生み出す / たくさん産出(生産)する,多産の
productivity	生産力,生産性
proem	序文,緒言
profanation	〈U〉神聖を汚すこと,冒瀆(ぼうとく) / 〈C〉冒瀆行為
profane	《文》世俗の,俗界の / 神聖を汚す,不敬な / 〈神聖なもの〉を冒瀆(ぼうとく)する / …を乱用する,悪用する
profanity	〈U〉神聖を汚すこと,不敬,冒瀆(ぼうとく) / 〈U〉〈C〉神聖を汚す(不敬な)行為(言葉);口ぎたない言葉
profess	(自分の気持ち・信念として)…を『はっきりと言う』,明言する,公言する / …の『ふりをする』,自称する / …の信仰を告白する
professed	{形}公言された,表明された / 自称の / 《宗教》誓願を立てた
profession	〈C〉『専門職』;(一般に)職業 / 《the~》《集合的に》『同業者たち』 / 〈C〉〈U〉(…を)公言(明言,宣言)すること《+『of』+『名』》 / (…への)信仰の告白《+『of』+『名』》
professional	《名詞の前にのみ用いて》『専門職の』;(一般に)職業の / 《名詞の前にのみ用いて》専門職に従事する;専門食の訓練を受けた / (また《話》『pro』)『本職の』,プロの / 職業人;(特に)専門職にたずさわる人 / (また《話》『pro』)『職業選手』
professionalism	専門家かたぎ,プロ意識;専門技術,くろうと芸
professionally	職業的に,専門的に
professor	(大学の)『教授』 / (一般に)教師,先生
professorial	教授の,教授らしい
professorship	教授の食(地位)
proffer	…を申し出る,提出する / 申し出,提供
proficiency	(知識・技術の)熟達,熟練(skill)《+『in』(『at』)+『名』》
proficient	熟練した,上達した,堪能な;(…に)熟練した《+『in(at)』+『名』(do『ing』)》
profile	横顔,ゲロフィール / (彫象などの)側面 / (背景をパックにした)輪郭,外形 / (通例,図やグラフで示す)分析,分析表 / (新聞・雑誌などの)人物紹介 / …の横顔を書く / 《受動態で》(…を背景に)…の輪郭を描く《+『名』+『against』+『名』》・犯人像を描く
profiling	プロファイリング、犯人の心理を分析しながら事件を解明すること
profit	〈U〉〈C〉『利益』,もうけ,収益 / 〈U〉得(益)になること / 〈人が〉(…で)利益を得る,得をする《+『by』(『from』)+『名』(do『ing』)》 / 〈物事が〉役に立つ,ためになる / …の利益になる,ためになる
profit sharing	利益分配制
profitable	『利益の上がる』 / 有益な
profitably	有利に,有益に;(結果として)利益を得て
profiteer	(特に混乱時に)暴利を得る人,不当利得者
profitless	もうからなし,利益の上がらない / むだな,無益な
profligacy	放蕩(ほうとう),不品行 / 浪費
profligate	放蕩(ほうとう)の,品行のよくない / むだ使いの激しい;(…を)浪費する《+『of』+『名』》 / 放蕩者,身持ちの悪い人・浪費家
profound	『深遠な』,深い洞察力をもった / 《名詞の前に用いて》《文》深い,深い所の / 心の底からの,深い / 『完全な』,全くの / (書物・学説などが)深みのある,難解な
profoundly	深く / 十分に / 心から
