prudent	『用心深い』,慎重な / 倹約した
prudential	《文》=prudent
prudery	〈U〉上品ぶっていること / 〈C〉《通例複数形で》上品ぶった動作(言葉)
prudish	お上品ぶった
prune	(草木から)…を切り取る / 〈草木〉を刈り込む / (不要なものを)…から除く / 干しスモモ / 《英話》間抜け
pruning	(庭木などの)刈り込み,剪定(せんてい),枝打ち
prurience	好色,色情
prurient	好色な,みだらな
prussic acid	=hydrocyanic acid
pry	のぞきこむ;せんさくする / 《副詞[句]を伴って》…をてこで動かす(持ち上げる,開ける) / (…から)…をやっと手に入れる《+『名』+『form』(『out of』)+『名』》 / てこ,かなてこ
pryer	=prier
prying	(人が)せんさく好きな;(視線などが)じろじろ見る
psalm	『賛美歌』,聖歌(hymn) / 《P-》(特に旧約聖書「詩篇」の中の)一編の聖歌
psalmist	賛美歌作者
psalmody	〈U〉聖歌吟唱[法] / 〈C〉(符面つきの)聖歌集,賛美歌集
psaltery	ソルタリー(古代の弦楽器)
psephology	選挙学;[選挙]投票法研究
pseud.	pseudonym
pseudo	偽りの;見せかけの
pseudonym	偽名,変名;(特に作家の)筆名
pseudonymous	ペンネームで書かれた / 偽名(変名)を用いる
pseudopod	(アメーバの)仮足(移動・捕食の際一時的に出す舌状の突起物)
psf,p.s.f.	pounds per square foot 1平方フィートにつき…ポンド
pshaw	《まれ》ふん,へん,ちぇっ(軽べつ・いらいら・嫌悪(けんお)を表わす)
psi	プシー(ギリシア語アルファベットの第23字Ψ,ψ;英語のpsに相当)
psi,p.s.i.	pounds per square inch 1平方インチにつき…ポンド
psittacosis	おうむ病(高熱を出す)
psoriasis	乾癬(かんせん)(慢性の非伝染性皮膚病)
psst,pssst	ちょっと,ほら,あのね(小声で相手の注意を引く時の言葉)
psych	…を心理的にまいらせる,げんなりさせる《+『out』+『名』,+『名』+『out』》
psych.	psychologist / psychology
psychedelic	幻覚の,幻覚を引き起こす;陶酔(恍惚(こうこつ))の境地に至らせる / (文学・芸術が)サイケ調の / 幻覚剤
psychedelically	幻覚的に;サイケ調に
psychiatric,psychiatrical	精神医学(病理学)の
psychiatrist	精神病医,精神病学者
psychiatry	精神病学,精神医学
psychic, psychical	精神の,心の / 霊魂の;心霊的な,心霊現象の / 心霊現象を感じやすい / みこ,霊媒
psychical research	心霊学
psycho	〈C〉《俗》精神病患者 / 精神分析
psychoanalysis	精神分析学 / 精神分析[法]
psychoanalyst	精神分析家;精神分析学者
psychoanalytic, psychoanalytical	精神分析[学]の(に関する)
psychoanalyze,psychoanalyse	〈人〉を精神分析[法]で治療する
psychogenic	心因性の(精神・心理作用から生じる)
psychokinesis	念力[による物体の移動]
psychol.	psychologist / psychology
psychological	《名詞の前にのみ用いて》心理学の,心理学的な / 精神的な,心理的な
psychologist	心理学者
psychology	『心理学』 / 《話》(個人・団体の)『心理』[『状態』]
psychoneurosis	精神神経症
psychopath	(特に粗暴性のある)精神病者
psychopathic	精神病[質]の
psychosexual	性心理の
psychosis	(重度の)精神病,精神異常
psychosomatic	精神と身体の,心身相関の
psychotherapist	精神(心理)療法医
psychotherapy	精神催眠療法,心理療法
psychotic	精神病の / 精神病患者
psychotically	精神病的に,精神病患者のように
pt.	pint[s] / part / point / payment
ptarmigan	ライチョウ(雷鳥)(高地にすむ鳥)
pteridophyte	シダ植物
pterodactyl	テロダクティル(絶滅した翼竜の一種)
pterosaur	テラソー(翼竜;現在絶滅している)
ptomaine poisoning	プトマイン中毒(腐敗した食物による中毒)
ptomaine,ptomain	プトマイン(動物・植物の腐敗,特に蛋白(たんぱく)質の腐敗でできる中毒素)
ptyalin	プチアリン(唾液酵素;でんぷんを糖に変える作用力を持つ)
pub	パブ(public house)
pub-crawl	はしご酒 / はしご酒をする
pub.	public / publication / published / publisher / publishing
puberty	(受胎能力が生じる)思春期,年ごろ
pubes	陰毛
pubescent	思春期の,年ごろの / (動植物が)羽毛(綿毛)におおわれた
pubic	恥丘の,恥骨の
pubis	恥骨
publ.	public / publication / published / publisher
public	《名詞の前にのみ用いて》『公の』,『公共の』,公衆の / 公開の / 《名詞の前にのみ用いて》『公務の』,公務に従事する / 一般に知れ渡っている,周知の / 《the~》《集合的に》『一般の人々』,公衆 / 《the~》《a~》…界,…仲間
public address system	拡声装置一式(マイク・アンプ・スピーカーなどを含む;《略》『PT』)
public assistance	生活保護費
public bar	酒場(public house)の一室;(旅館・ホテルの)バー
public company	株式公開の会社
public convenience	公衆便所(《米》public toilet)
public corporation	公団,公社
public defender	公選弁護人 国選弁護人 公費弁護人
public domain	(著作権・特許権の)権利消滅 / 国(州)有地・公有 《時間の経過により著作権・特許権などが消滅した状態など》
public house	パブ,居酒屋
public nuisance	〈U〉〈C〉公的不法妨害 / 〈U〉公害 / 〈C〉《英話》やっかい者
public opinion poll	世論調査
public ownership	(産業・財産の)国有[権]
public prosecutor	公訴官,検察官
public purse	国庫
public relations	組織体と公衆との関係 / 《単数扱い》広報,宣伝(《略》『PR,P.R.』)
public relations officer	広報活動員,宣伝担当者(《略》『PRO』)
public school	《スコットランド・米・カナダ》公立初等(中等・高等・大)学校 / 《英》パブリックスクール(全寮制の私立中等学校;主として大学進学の予備教育を目的とする)
public servant	公務員
public television	公共テレビ,教養テレビ(《略》『PTV』)
public utility	(電気・ガス・水道など,私企業による)公益事業体
public works	公共事業
public-spirited	公共心のある
publican	(古代ローマの)収税吏 / 《英》居酒屋(pub)の主人
