Q	(チェスの)queen
Q,q	英語のアルファベットの第17字 / Q型[のもの]
Q.	Queen / question / quarto / quire
Q.C.	Queen's Counsel
Q.E.D.	(ラテン語)quod erat demonstrandum「以上が証明されるべきことであった(証明終り)」
QM	Quartermaster(米陸軍)補給係将校
QMC	Quartermaster Corps(米陸軍)補給部,主計部隊
QMG	Quartermaster General (米陸軍)補給部,主計部隊
Quadragesima	四旬節の第1日曜日
Quaker	クエーカー教徒(17世紀の中ごろ英国に起こり米国に渡って盛んになったキリスト教の一派;フレンド会信徒の俗称)
Quaternary	(地児時代の)第四紀 / 第四紀の
Que.	Quebec
Quebec	ケベック(カナダ東部の州;その州都;《略》『Que』.)
Queen Ann's lace	野生ニンジン(小さい白い花が集まりレース状の花房をつける)
Queen's Bench	the ... (英法)女王治世下の王座部
Queen's Counsel	(女王陛下の)勅撰弁護士
Queen's English	the... (女王治世中の)純正(標準)英語
Quinquagesma	四旬節直前の日曜日
Quito	キト(南米エクアドルの首都)
Quonset hut	かまぼこ[形]小屋(宿舎)の商標名 (米軍)かまぼこ形兵舎 かまぼこ形の住宅
q.	quart
q.i.d.	(ラテン語)quater in die(処方せんで)1日に4回
q.t.	quiet: on the q.t.こっそりと,内密に
q.v.	which see(ラテン語のquod videの略)…を見よ
qq	questions
qr.	quarter / quire
qt.	quart[s](複qts.) / quantity
qto.	quarto
qty.	quantity
qu.	question
qua	…として,の資格で
quack	ガアガア(アヒルの鳴き声) / 〈アヒルが〉ガアガア鳴く / にせ医者,いかがわしい医者 / くわせ者,はったり屋 / いかがわしい,いかさまの
quackery	いかさま療法,いんちき治療 / いかさま,いんちき
quad	=quadrangle2 / (録音再生が)4チャンネルの / 四つ子の一人
quadrangle	=quadrilateral / (大学・病院などの四方を建物で囲まれた)中庭,方庭 / 方庭を囲む建物
quadrangular	四角(辺)形の
quadrant	四分円弧;四分円;象限(しょうげん) / 四分円形のもの / (天文観測の)四分儀;象限儀
quadraphonic	(録音再生が)4チャンネルの
quadratic	(代数で)二次の
quadratic equation	二次方程式
quadrennial	4年[目]ごとの / 4年続く
quadrennium	4年間
quadricentennial	400年記念祭
quadrilateral	四辺(角)形の / 四辺(角)形
quadrille	カドリール(4人が組みになって踊るスクエアダンス;その曲)
quadrillion	《米》千兆,(one thousand trillion) / 《英》100万の4乗,(one trillion trillion)
quadripartite	4部から成る / 四者間の
quadrivium	(中世の大学の)四学科(算術・幾何・天文学・音楽)
quadroon	(差別的表現で四分の一黒人を指す表現,使用を避けるべき)
quadruped	四足(よつあし)獣(通例哺乳(ほにゅう)類) / 四つ足の
quadruple	4倍の;4重の;4部(4人)から成る / 4倍,4倍の数(量) / 4倍になる / …を4倍にする
quadruple time	4拍子
quadruplet	四つ子(quadruplets)の一人 / 《複数形で》4つ子 / (特に同種の)4個(4人)一組
