quartzite	珪岩(けいがん)(おもに石英から成る粒状の変成岩)
quasar	恒星状天体
quash	〈判決・決議など〉を取り消す,破棄する / 〈反乱など〉を鎮める,抑える
quasi	「(実質的には違うが)見たところでは」「いくぶんか;ほとんど」の意を表す / 類似の,擬似の;ある意味の,準…
quasi-stellar object	準星 = qso = quasar 恒星状天体
quatrain	(詩を構成する)四行連[句];四行詩
quatrefoil	(得に紋章で)四つ葉
quaver	(声が)震える, 震わす; 震え声で歌う[言う] (out, forth); (楽器で)震音を出す・ 震え声; 震音; 〔英〕八分音符
quavery	震える,震え声の
quay	はとば,埠頭(ふとう)
quean	売春婦,あばずれ
queasy	〈食べ物が〉吐き気をもよおさよる;〈人が〉吐き気がある / 不安な,落ち着かない;良心がとがめて胸を痛めている
queen	(…の)(一国の君主としての)『女王』(+『of』+『名』) / 『王妃(queen consort)』 / 《比喩(ひゆ)的に》(…の)『女王』,『花形』《+『of』+『名』》 / (カードの)(…の)クイーン[の札]《+『of』+『名』》 / (チェスの)クイーン / 女王バチ(queen bee) / 《軽べつして》女王のつもりで統治する,もったいぶる
queen consort	王妃,皇后(国王の妻;主権のある女王と区別して言う)
queen mother	皇太后(現国王・現女王の母)
queen-size	中特大の(特大に次ぐ大きさ)
queenly	『女王の』;『女王のような』;女王にふさわしい
queer	『風変りな』,変な / 気分が悪い,目まいがする / …をだめにする,失敗させる / 《軽べつして》同性愛の男
quell	〈反乱・反対など〉を抑えつける / 〈感情・苦しみなど〉を和らげる
quench	〈火など〉を消す(put out) / (…で)〈欲望など〉を満足させる,〈飢・渇きなど〉をいやす《+『名』+『by』(『with』)+『名』(do『ing』)》
quenchless	消しがたい,抑うがたい;いやせない
querulous	不平(不満)の多;(…に)不平を言う《+『about』+『名』》
query	質問,疑問・疑問符(?)・(不審・疑問を感じて)〈人〉に質問する,〈人の気持ちなど〉を問いただす・〈物事〉に疑問をいだく,を不審に思う・(コンピュータ)質問, 問い合わせ (特定の情報の検索をデータベースに要求すること)
ques.	question
quest	(…の)探求,探索(search)《+『of』(『for』)+『名』》 / (中世騎士の)冒険の旅;(…を捜し求めての)遠征《+『of』+『名』》 / (…を)探索する《+『for』+『名』》
question	〈C〉『質問』,『問い』;疑問文 / 〈C〉(討論・考慮すべき)『問題』,(研究・調査すべき)事柄 / 〈U〉『疑問』,疑い / (…について)〈人〉に『質問する』,〈人〉を尋問する《+『名』〈人〉+『about』+『名』(do『ing』)》 / 〈事〉に『疑いをかける』
question mark	疑問符(?)
question master	クイズ番組の司会者(《米》quizmaster)
question tag	付加疑問句(付加疑問文の文末のisn't it など)
questionable	人に疑問を抱かせる,疑わしい,不審な
questioner	質問者
questioning	尋ねるような,いぶかるような
questionnaire	質問表,アンケート
quetzal	ケツァル(中南米産の長い美しい尾を持つ鳥)
queue	(昔男性が後頭部から編んで下げた)弁髪 / 《おもに英》(順番を待っている人・乗り物の)列 / 〈人が〉(乗物などを)列を作って待つ《+『up for』+『名』》
qui vive	(歩哨の)誰何(すいか) (フランス語)誰だ
