Roman Catholic Church	ローマカトリック教会(Pope(教皇)を首長とするキリスト教会)
Roman Catholicism	ローマカトリック教(ローマカトリック教会の教理・信仰・実践・制度をいう)
Roman Empire	ローマ帝国(紀元前27年にAugustusによって建設され,395年に東西に分裂した)
Roman candle	ローマ花火(円筒から火花や火の玉の飛び出す花火) 筒型花火
Roman numerals	ローマ数字(I=1,V=5,X=10,L=50,C=100,D=500,M=1,000)
Romance	(言語が)ロマンス語系の(古代ローマの言語であるラテン語から発達した)
Romance languages	ロマンス語(ラテン語から派生したフランス語・イタリア語・スペイン語・ポルトガル語など)
Romanesque	ロマネスク式(11‐12世紀にヨーロッパで普及した建築様式;開口部の狭い重厚な石構造,円形アーチ,交差ボルトなどが特徴) / (建築様式・絵画などが)ロマネスク式の
Romania	ルーマニア(ヨーロッパ南東部,バルカン半島北東部の社会主義共和国;公式名はSocialist Republic of Romania(ルーマニア社会主義共和国);首都Bucharest)
Romanian	ルーマニアの,ルーマニア人の,ルーマニア語の / ルーマニア人;〈U〉ルーマニア語
Romantic Movement	ロマン主義運動(18世紀終りから19世紀初めに,西欧・米国で展開された芸術運動)
Romany	〈C〉ジプシー(Gypsy) / 〈U〉ジプシー語 / ジプシーの;ジプシー語の
Rome	『ローマ』(現イタリア首都;古代ローマ帝国の首都);(古代)ローマ帝国(Roman Empire)
Romish	《軽べつして》ローマカトリック教会の
Romulus	ロムルス(ローマ伝説でオオカミに養われたRemus(レムス)と双子の兄弟;ローマ建設者で最初の国王)
Roosevelt	(『Franklin Delano』~;1882‐1945;米国第32代の大統領;在職1933‐45) / (『Theodore』~;1858‐1919;米国第26代の大統領;在職1901‐09)
Roquefort cheese	ロックフォールチーズ(羊の乳で作られた,強い香りのあるフランス産青かびチーズ)
Rorschach test	ロールシャッハ検査(投影法による人格検査。左右対称の図形が何に見えるかで診断する。スイスの精神科医Hermann Rorschach 1884‐1922の考案)
Rosh Hashanah	ユダヤ教の新年祭
Rotary Club	ロータリークラブ(1905年Chicagoに設立された実業家と知識職業人による社会奉仕と世界平和を目的とする国際団体)
Rotterdam	ロッテルダム(オランダの港市)
Roumania	=Romania
Roumanian	=Romanian
Roundhead	議会党員,円頭党員(17世紀イギリスの内乱当時,王党に敵対した清教徒;頭髪を坊主刈りしていた)
Rousseau	ルソー(『Jean-Jacques Rousseau』;1712‐78;フランスの哲学者・著述家)
Royal Academy	英国王立美術院
Royal Air Force	英国空軍
Royal Highness	殿下
Royal Society	英国学士院
Ru	rutheniumの化学記号
Rubicon	ルビコン川(イタリア北部からアドリア海に注ぐ)
Rugby, rugby	ラグビー
Ruhr	ルール川(西ドイツを流れるライン川の支流) / ルール地方(ルール川流域の鉱工業地帯)
Rumania	=Romania
Rumanian	=Romanian
Russ.	Russia
Russell	ラッセル(『Bertrand~』;1872‐1970;英国の哲学者・数学者)
Russia	(帝政)『ロシア』 / 『旧ソ連』
Russian	『ロシアの』,『ロシア人』(語)『の』 / (個々の)『ロシア人』,《the Russians》ロシア人[全体];〈U〉ロシア語
Russian Orthodox Church	ロシア正教会
Russian Soviet Federated Socialist Republic	ロシア連邦[ソビエト社会主義]共和国(ソビエト連邦の最大の共和国;《略》『R.S.F.S.R.』)
Russian roulette	ロシアンルーレット(1発だけ弾丸の入った拳銃のシリンダーを回し,順番に自分で銃口を頭に向けて撃つゲーム)
Ruth	ルツ記(旧約聖書の一書)
Rwanda	ルワンダ(アフリカ中東部の共和国;首都Kigali)
Rx	prescription 処方箋(せん)
Ry,Rwy	Railway
r	roentgen / recto
r.	rare / rod / run; runs
r.b.c.	red blood cell 赤血球
r.s.	right side
rabbi	ユダヤの律法学者 / ユダヤ教の聖職者;その尊称
rabbinical	ユダヤの律法学者の;彼らの教え(考え方,学問,著作)に関する
rabbit	〈C〉ウサギ;《米》(一般にhareも含めて)ウサギ / 〈U〉ウサギの毛皮(肉) / 〈C〉《英話》(ゴルフ・クリケット,特にテニスの)へたなプレーヤー / ウサギを狩る
rabbit punch	ラビットパンチ(ボクシングで,首すじへの鋭い一撃)
rabbit warren	(巣穴がたくさんある)野ウサギ繁殖地 / こみ入った路地裏
rabble	〈C〉やじうま;暴徒(mob) / 《the ~》《集合的》に《軽べつして》下層階級の人々;庶民,大衆
rabble-rouser	民衆扇動家
rabblerousing	(言動が)扇動的な,群衆を扇動する
rabid	《名詞の前にのみ用いて》(意見・行動などが)過激な,狂信的な(fanatical) / 《名詞の前にのみ用いて》激しい,すさまじい / 狂犬(恐水)病にかかった
rabidity	過激,狂暴
rabies	狂犬病,恐水病
raccoon,racoon	〈C〉アライグマ / 〈U〉アライグマの毛皮
race	競走,レース;競技会,(特に)競馬 / (一般に)競争;(…を得るための)競争《+『for』+『名』》 / 水の速い流れ,急流,早瀬;(水車などの)水路 / 《おもに文》(事件・話などの)進行;(太陽・月の)運行;(時の)経過;人生の行路 / (…と)『競走する』《+『with』(『against』)+『名』》,(…のために)『競争する』《+『for』+『名』》 / 《方向などの副詞[句]を伴って》疾走する,急ぐ / 〈機械などが〉高速で作動する,〈エンジンなどが〉空転する / …と『競走する』 / (…と)…を『競走させる』,全速力で走らせる《+『名』+『against』+『名』》 / 〈機械など〉を高速で作動させる,〈エンジンなど〉を空転させる / 〈C〉『人種』;『民族』 / 〈C〉《修飾語[句]を伴って》(動植物の)『種類』,品種;《the ~》人類 / 〈C〉(祖先・歴史・国籍・言語・風俗などが同じの)民族,同族 / 〈U〉血統,家系 / 〈C〉同類;(…の)仲間《+『of』+『名』》
race card	競馬案内,出馬表
race meeting	競馬[大会]
racecourse	=racetrack
racehorse,race horse	競走馬
raceme	総状花序(フジ・スズランなどのふさ状の花のつき方)
racemose	総状花序の ブドウ状の つる状の
racer	競走する人・競走用自転車(自動車・ボート・ヨットなど);競走馬
racetrack, race track	競馬場;カーレース場:競走場,トラック
raceway	《英》(水車小屋にひく)水路 / 1頭立ての一人乗り二輪車(sulky)の競走路
rachitic	=rickety 1
rachitis	=rickets
racial	人種[上]の,民族の,種族の
racialism	=racism
racialist	=racist
racialistic	民族主義的・人種(差別)的な・この語は、あまり使われません。
racily	独特の風味をもって / 生きよく,きびきびと / きわどく
raciness	独特の風味 / きびきびしていること / きわどさ
racing	競走・競馬・ボートレース / 競走用の;競馬[好き]の
racing form	競馬新聞
racing stable	競走馬訓練場
racism	民族主義,民族的優越感;人種差別 / 民族主義政策(体制)
racist	民族主義者;人種差別主義者 / 民族主義の;人種差別主義の
rack	《しばしば複合語を作って》(枠・網・棒などで作られた)…『掛け』,…『のせ』,…『棚』(たな)陳列棚;網棚 / 歯ざお(歯車を受ける直線のかみ合せ歯) / (昔の)拷問(ごうもん)台;《『the~』》拷問;(肉体・精神の)苦痛 / (肉体的・精神的に)(…で)〈人〉を苦しめる,悩ませる《+『名』+『with』+『名』》・「rack one's brains」で「知恵を絞る」 / ちぎれ雲,飛び雲 / 破滅,破壊
rack railway	(急斜面を登る)歯車式(アプト式)鉄道
rack rent	法外な賃貸料
racket	〈U〉〈C〉ばか騒ぎ,大騒ぎ;騒動(uproar) / 〈C〉《話》(特に,暴力団による)ゆすり,たかり,不正金融,密売,賭博(とばく) / 〈C〉《俗》《おどけて》商売,仕事 / 遊び回る,遊興をする《+『about』(『around』)》
racket, racquet	(テニス・バドミントン・ピンポンなどの)『ラケット』
racketeer	暴力団員 / ゆする,たかる
racketeering	ゆすり,たかり,恐喝;密輸
rackets, racquets	ラケッツ(テニスの一種で壁に囲まれたコートで壁面に球をあてて行う球技)
rackety	騒々しい(noisy) / 道楽好きな
raconteur	話じょうず[な人]
racoon	=raccoon
racquet	=racket
racy	独特の風味の / (話し方・文体などが)生きのいい,きびきびした / ちょっときわどい
rad.	radical / radio / radius
radar	電波探知法;〈C〉電波探知機,レーダー[radio detecting and rangingの略]
