rainbow trout	ニジマス
raincoat	レインコート
raindrop	雨だれ
rainfall	〈C〉降雨,雨降り / 〈U〉雨量
rainforest	熱帯雨林 / 雨林、降雨林、多雨林
rainmaker	(アメリカインディアンの)雨ごい師 / 人工降雨技師
rainmaking	人工降雨法
rainproof	防水の
rainstorm	暴風雨
rainwater	雨水,天水
rainy	『雨の』,雨降りの;雨の多い / 雨にぬれた;雨模様の
raise	…を『上げる』,持ち上げる;〈倒れた物〉を起こす / …の量(程度,価値など)『を上げる』 / 〈地位,名声〉を『高める』;(…の地位などに)…を上げる,高くする《+『名』+『to』+『名』》 / …を生じさせる / …を集める,調達する / 《米》…を育てる,栽培する,飼う / 《おもに米》〈子供・家族〉を扶養する,養育する / 〈建物・像など〉を建てる / 〈気持ち・人など〉を奮い立たせる / 〈疑問・異議・要求など〉を提起する,持ち出す / 〈禁止・封鎖など〉を解く / 〈死者〉を生き返らせる / 〈パン〉をふくらませる / 『賃上げ』,『昇給』;昇給額(《英》rise)
raisin	干しぶどう
raison d'être	存在理由
raj	(インド・パキスタンで)支配[期間];(特にインドでの)英国統治
rajah, raja	(インドの)王;(東南アジアの)首長(しゅちょう)
rake	熊手(くまで),草かき;くまでの形の道具(賭博(とばく)場で金を集めるのに使うものなど) / …をくまででかき集める;〈場所〉をくまででかきならす《+『together(up)』+『名,』+『名』+『together(up)』》 / (…を求めて)〈場所〉をくまなく捜す《+『名』+『for』+『名』》 / …を機銃掃射する / くまでで集める(かきならす) / (…を求めて)かきわけて捜す《+『for』+『名』》・「rake it in」で《口語》 金をうんともうける[稼ぐ] / 放蕩(ほうとう)者,道楽者 / (マストなどの)傾斜,勾配(こうばい) / 〈マスト・煙突など〉を傾斜させる / 〈マスト・煙突などが〉傾斜する
rake-off	(不正な仕事の)分け前,割り前;リベート
rakish	放蕩(ほうとう)な,不品行な,みだらな / いきな / (船が)軽快な,速力のありそうな
rallentando	次第にゆるやかになる楽節(旋律) / 次第にゆるやかな / 次第にゆるやかに
rallier	(共通の目的のために)人を呼び集める人 / 元気づける人
