reconciliation	『和解』;甘んじること;調停;調和
recondite	難解な,常識理解を越えた
recondition	…を作り直す;修理する
reconnaissance	調査,(特に軍事的な)偵察
reconnoiter,reconnoitre	…を調査する,〈特に敵情など〉を偵察する / 調査する,(特に)偵察する
reconsider	…を再考する,考え直す
reconstitute	…を再構成する,再形成する,復元する
reconstruct	…を再建する,改造(復興,復元)する / 〈でき事〉を再現する
reconstruction	〈U〉再建,改造,復興,復元 / 〈C〉再建(改造,復元)された物 / 《the R-》《米》南部諸州の再統合期,再建時代(南北戦争後,法律・諸制度を改正した1865年から1877年までの期間)
record	〈C〉(…の)『記録』,(…を)記録すること《+『of』(『about』)+『名』(『wh-節』)》 / 〈C〉公文書;公判記録;(昔の)遺物 / 〈C〉(個人・団体の)『経歴』;業績;成績 / 〈C〉(スポーツなどの)『最高記録』,レコード / (また『disc』)〈C〉音盤,レコード / 記録的な / (文書・写真などに)…を『記録する』 / 〈計器などが〉…を示す / 〈音〉をテープ(レコード)に吹き込む / 〈作品など〉を録音する
record library	レコード貨出し[室]
record player	レコードプレーヤー
record-breaking	記録破りの,新記録の
recorded delivery	(2ポンドまで保証される)書留便
recorder	記録係,記録者 / 録音機;記録計 / レコーダー(フルートに似た縦笛)
recording	〈C〉録音したもの;レコード,テープ / 〈U〉録音された音
recordist	(特に映画の)録音係
recount	…を詳しく話す
recoup	〈損失分など〉を取り戻す・差引く; 償う; 埋合せる (for)
recourse	〈U〉(…に)頼ること《+『to』+『名』》 / 〈C〉頼りにできる人(物)
recover	…を再びおおう;…を張り替える / 〈失ったもの〉を『取り戻す』,『回復する』 / 〈損失など〉を埋め合わせる / (…から)正常な状態に戻る,回復する《+『from』+『名』(do『ing』)》
recoverable	取り戻せる / 元に戻せる / (体が)回復できる,全快できる
recovery	〈U〉(…を)『取り戻すこと』《+『of』+『名』》 / 〈C〉《単数形で》(…からの…の)『回復』《+『of』+『名』+『from』+『名』》
recreance	不誠実,裏切り / おく病
recreancy	=recreance
recreant	不実(忠)な;おく病な / 裏切り者,おく病者
recreate	…を再び作る,作り直す / 〈人〉に気晴らしさせる / 気晴らしをする,レクリエーションをする
recreation	作り直し;〈C〉作り直したもの / 『レクリエーション』,気晴らし,娯楽
recreation ground	公共の運動場
recreation room	(家庭・公共建物の)娯楽室
recreational	レクリエーションの,気晴らしの,娯楽の
recreative	再生の,改造の / 休養の,元気づける;気晴らしの,くつろげる
recriminate	(非難した人を)非難し返す《+『against』+『名』》
recrimination	〈U〉(非難した人に)非難し返すこと / 〈C〉非難し返す言葉
recriminative	非難し返す,やり返す / 反対告訴の
recriminatory	非難し返す / 反対告訴の
recrudescence	(病気などの)再発,ぶり返し
recrudescent	再発の,ぶり返しの
recruit	(軍隊・団体などに)〈新兵・新会員など〉を入れる,募る《+『名』+『for』+『名』》 / 《古》〈健康・元気など〉を回復する / 新兵(新会員)を募集する / 新兵 / 新会員,新社員
recruitment	新兵徴募,新会員募集;《古》補充,補強
rect.	receipt / rectangle / rectangular / rectified / rector / rectory
rectal	直腸(rectum)の
rectangle	矩形(くけい),長方形
rectangular	矩形(くけい)の,長方形の
rectification	修正,訂正 / (電気の)整流
rectifier	修正する人;調整器 / (電気)の整流器
rectify	…を改める,正す / (くり返し蒸留して)〈アルコールなど〉を精留する;(電気で)…を整流する
rectilinear	直線の,直線をなす / 直線でできた / 直線に進む / 直線的な
rectitude	(道徳的な)正しさ;実直さ
recto	(印刷で)右[側の]ページ
rector	(英国国教会の)教区司祭,(米聖公会の)教区牧師 / (ローマカトリック教会の)主任聖職者,修道院長 / 校長,学長
rectory	(教区司祭(牧師)の住む)司祭(牧師)館
rectum	直腸
recumbent	(人が)横になっている
recuperate	〈健康など〉を回復する / 回復する,元気になる
recuperation	(健康などの)回復
recuperative	回復に役立つ,元気づける / 回復力のある
recur	〈問題・病気などが〉再び起こる,繰り返される / (心・記憶などに)〈考え・でき事などが〉再び浮かぶ《+『to』+『名』》 / (もとの話・考えなどに)戻る,立ちかえる《+『to』+『名』》 / (数学で)循環する
recurrence	再発;反復;回想
recurrent	再発する;繰り返し起こる
recurved	後ろ(上向き)に曲がっている,そり返った
recusant	(特に)宗教的な権威に従わない / がん固な拒否(抵抗)者 / 英国国教忌避者
recycle	〈廃物など〉を再利用する
red	〈U〉〈C〉『赤,』『赤色;』赤い絵の具(染料) / 〈U〉赤い服 / 〈C〉《しばしば『R-』》《話》《時に軽べつして》アカ,共産主義者;過激論(主義)者 / 〈U〉《通例the ~》(会計の)赤字,負債 / 『赤い』,赤色の / (顔・目などが)赤くなった;血に染った / 赤い服を着た;赤毛の / 《しばしば『R-』》《話》《軽べつして》共産主義の;過激な
red admiral	アカタテハ(欧米によく見られる,赤い帯模様のある黒い羽のチョウ)
red blood cell	赤血球
red carpet	赤じゅうたん / (非常に重要な人物に示す)丁重な勧待
red cent	とるにたらないもの,価値の無い物 びた一文
red corpuscle	=red blood cell
red deer	アカシカ(ヨーロッパ,アジア産):オジロジカ(アメリカ産)
red ensign	商船旗(英国の軍艦以外の船に用いられる旗)
red flag	〈C〉危険信号に用いる赤い旗 / 《the ~》《しばしば『R-』》赤旗(左翼政党の旗)
red giant	赤色巨星(進化の中間段階にあり,太陽より大きく密度の薄い恒星)
red herring	くん製のニシン / 人の注意を他へそらすもの[キツネの通り道にくん製のニシンを置いて猟犬の嗅覚を訓練することから]
red lead	赤色鉛(ペンキ・害虫防除用)
red light	(危険信号の)赤ランプ / (停止信号の)赤ランプ
red man	北米インディアン(North American Indian)
red meat	赤肉(羊や成牛の肉のようにやや黒ずんだ色をした肉) 脂肪の少ない肉
red pepper	トウガラシ
red setter	赤毛セッター(猟犬の一種)
red squirrel	ヨーロッパ産の長い尾の赤毛のリス / 北米産の小型で上半身の赤いリス
red tape	お役所仕事,官僚式手続き
red tide	赤潮
red-blooded	精力旺盛(おうせい)な,元気いっぱいの;雄々しい,男性的な
red-handed	現行犯の
red-hot	(金属などが)真っ赤に焼けた,赤熱の / (怒り・議論などが)猛烈な,激しい / 《話》最新の
red-letter day	祭日,祝日;(記念すべき)吉日[暦に赤字で示すことから]
red-light district	赤線地帯(売春宿の密集地)
red-winged blackbird	ハゴロモガラス(北米産のムクドリモドキの一種)
