redeeming feature	他の欠点を補う長所,とりえ
redemption	買い戻し・(質や差し押さえ物の)取り戻し・(約束などの)履行 / (キリストの犠牲による)罪のあがない
redemptive	(特にキリスト教で)償いの,罪を償う / 買い戻しの,身請けの
redeploy	〈兵隊・社員など〉を再編成(配置替え)する,移動させる
redhead	赤毛の人
redheaded	赤毛の
redirect	{動}(ウェブなどで)別のURLに転送する / …の方向を変える /《法》反対尋問後の再尋問を行う / 〈C〉リダイレクト,転送
redistribute	(別の方法で)…を再分配する
redistrict	(選挙などのために)〈区域〉を分割(区画)し直す
redneck	《軽べつして》(米国南部の)無学な白人農場労働者,貧乏白人
redness	赤いこと,赤さ
redo	…を再びする,やり直す
redolence	芳香,かおり;におい / 暗示,しるし
redolent	(…の)芳香のある,においがする《+『of』+『名』》 / (…を)しのばせる,暗示する《+『of』+『名』》
redouble	…を倍にする,強める・倍になる,強まる・繰返す
redoubtable	《時におどけて》恐るべき;尊敬に値する,厳然たる
redound	(信用・利益などを)高める,増す《+『to』+『名』》
redress	〈不正・弊害・不均衡など〉を正す / 正すこと,矯正
redskin	《しばしば軽べつして》(昔の)北米インディアン
redstart	ジョウビタキ(赤い尾をもつヨーロッパ産の小鳥) / アメリカムシクイ(赤橙色の斑点のあるアメリカ産の小鳥)
reduce	(あるところまで)〈数量など〉を『減らす』,小さくする;〈程度・地位など〉を『下げる』《+『名』+『to』+『名』》 / 《しばしば受動態で》(ある状態・形に)…を『する,』変える,至らせる《+『名』+『to』+『名』(do『ing』)》 / (単純な要素・部分に)…を分解する,還元する《+『名』+『to』+『名』》 / …を(…に)換算する,約分する《+『名』+『to』+『名』》 / 《話》〈人が〉減量する / 〈数量などが〉減る;〈程度・位などが〉下がる
reducible	縮小(減少)できる,弱められる / (化合物が)還元できる / (数式が)約分できる
reduction	〈U〉〈C〉(…を)『減らすこと』,減少,縮小,格下げ,(…の)割り引き《+『in』+『名』》 / 〈C〉減少(縮小)した量;割引額 / 〈C〉縮図,縮写 / 〈U〉換算約分
redundancy	〈U〉余分な言葉を使うこと,冗長,冗漫 / 余分なもの;不必要な言葉
redundancy pay	自宅待機従業員に対する特別手当て
redundant	余計な; 冗長な, くどい; 豊富な; 〔英〕 解雇された, (労働力が)余剰な・余分な表現が多い・(物などが)余分な,必要以上の
reduplicate	を倍加する;反復する,繰返す(repeat)
redwing	ヨーロッパ産のツグミの一種;羽がところどころ赤い
redwood	〈C〉アメリカスギ(米国California州産;高さ130mに達するものもある) / 〈U〉その木材(赤褐色で軽くて強い)
reecho	を反響させる / 〈音が〉反響する;〈場所が〉響き渡る
reed	『アシ』,ヨシ;《複数形で》(屋根ふきに用いる)乾燥したアシ(ヨシ)の茎 / アシ笛,牧笛(アシなどの茎で作ったもの) / リード,舌(クラリネットやオーボエなどの吹口についている薄片) / リード楽(リードの震動で音を出す管楽器;クラリネットやオーボエなど)
reed instrument	リード楽器(オーボエ・クラリネットなど,吹口にリードのある楽器)
reediness	アシの多いこと;(アシのような)か細さ / (音が)かん高いこと
reeducate	〈人〉を再教育する / 〈人〉に更生のため教える
reedy	アシの;アシの多い;アシのような / (音が)リード楽器に似た,かん高い
reef	[暗]礁,岩礁,砂州(さす) / 縮帆(しゅくはん)部(巻き上げて風を受ける面積を少なくした帆の部分) / 〈帆〉を縮める
reef knot	=square knot
reefer	(帆船で)縮帆する人 / 厚地のショートコート(ジャケット) / 《米俗》マリファナたばこ
reek	悪臭 / (…の)悪臭を放つ,くさいにおいがする《+『of』+『名』》 / (汗・血などに)まみれる《+『with』+『名』》
reel	(電線・フイルム・テープなどの)『巻きわく』,(釣りの)リール / 《英》=spool / 一巻きの量;一巻き(の…)《+『of』+『名』》 / (映画フイルムの)1巻(1000‐2000フィート) / 〈糸・綱など〉を『巻き取る』 / 〈魚など〉をリールを巻いてたぐりよせる / 《副詞[句]を伴って》よろめく;よろめくように歩く / 〈心などが〉動揺する;〈頭が〉くらくらする / ぐるぐる回る;ぐるぐる回るように見える / リール舞踏(二人が組なにって踊るスコットランドの活発な舞踏);その曲
reelect	…を再選する
reelection	再選,改選
reenforce	=reinforce
reenter,re-enter	再び入れる; 再記入する; 【彫】 彫り深める / 再び入る;《俗》 麻薬による陶酔からさめる; 【法】 再び所有権を得る
reentry,re-entry	再び入れる(はいる)こと,再記入 / (宇宙船などの大気圏への)再突入
reestablish,re-establish	…を再建する,復興する,回復する(restore)
reeve	(船で)〈ロープ〉を穴(輪)に通す
ref	=referee
ref.	referee / reference / referred / reformation / reformed / refund
reface	…に新しい表面をつける,…の表面を新しくする
refashion	〈古い物〉を作り直す,改造する
refection	〈U〉(特に飲食物による)元気回復 / 〈C〉軽食
refectory	(特に僧院・大学などの)食堂
refer	(情報・援助などを得るため)(…に)〈人〉を『差し向ける』,行かせる(send, direct) / (委員会などに)〈問題など〉を『委託する』,持ち込む / 《まれ》〈物事〉を(…の)せいにする / (…に)『話を及ぼす』,ふれる / (…に)『関係する』,当てはまる / (辞書・メモなどを)『参照する』;引用する;(人に)問い合わせる
referee	(スポーツ競技の)審判員,レフェリー / 仲裁人,調停者 / …の審判をする / 審判をする
reference	〈U〉(…へ)『言及すること』,(…の)話に触れること《+『to』+『名』》;〈C〉言及した事柄 / 〈U〉(…を)『参照すること』,参考《+『to』+『名』》;〈C〉(本などの)出典,参考書;(出典などの)注記 / 〈C〉(人物・才能などの)証明書;身元保証人,照会先
reference book	参考図書(辞書・百科事典・年鑑など)
reference library	参考図書室 / 参考図書[類]
reference mark	参照附号(*,§など)
