refreshing	気分を一新させる,再び元気になる / ざん新な
refreshment	〈U〉『元気回復』,気分爽快(そうかい);元気を回復した状態 / 〈C〉『元気を回復させるもの』 / 〈U〉(ばく然と)飲食物;《複数形で》軽い飲食物,軽食
refrig.	refrigeration / refrigerator
refrigerant	冷却剤(アンモニアなど)
refrigerate	〈物〉を冷やす,冷やしておく,(特に)〈食料〉を冷蔵する,冷凍[保存]する
refrigeration	冷凍,冷却;冷蔵
refrigerator	『冷蔵庫』;冷凍室(また《おもに英話》fridge,《米古》icebox)
reft	(…を)奪われて,失って《+『of』+『名』》
refuel	…に燃料を補給する / 燃料を補給される
refuge	〈U〉(…からの)『避難』,保護《+『from』+『名』》 / 〈C〉(…からの,…のための)『避難所』,保護する場所《+『from』(『for』)+『名』》 / 〈C〉助け(慰め)となる人物(物) / 《英》 = safety island
refugee	(特に祖国からの)亡命者,逃亡者,難民
refulgence	輝き,光輝,光彩
refulgent	光り輝く
refund	〈金など〉を返済する,払い戻す / (金などの)返済,払い戻し;返済金,払い戻し金
refurbish	〈古びた物〉をぴかぴかにみがき直す
refusal	〈U〉〈C〉『拒否』,拒絶 / 〈U〉《しばしばthe~》(諾否を決める)優先権,取捨選択権
refuse	…を『断る』,拒む / 拒絶する,断る / 廃物,くず,ごみ
refuse dump	ごみ処理地
refutable	論破できる,反証の余地のある
refutation	〈U〉論破,反論,やりこめ / 〈C〉反証[事実]
refute	〈人・意見など〉の間違っていることを証明する,を論破する
reg.	regent / regiment / region / register / registered / registrar / registry / regular / regularly / regulation
regain	〈健康・記憶など〉を『取り戻す』,回復する / 〈場所・状態など〉に立ち帰る,再び着く
regal	王の,帝王の(royal) / 王者らしい(kingly);堂堂とした,荘厳な
regale	(…で)〈人〉を大いに喜ばせる(楽しませる)《+『名』〈人〉+『with』(『on』)+『名』》
regalia	王家の象徴(王冠・王しゃく・宝珠など) / (官職などを表す)儀礼服,官服,記章 / 盛装,正装
