reiteration	繰り返し,反復(repetition)
reject	…を『断る』,『拒絶する』,はねつける / (役に立たないものとして)…を捨てる,取り除く / 断られた人(事)
rejection	〈U〉〈C〉断ること,拒絶;却下 / 〈C〉廃棄物
rejection slip	(出版社からの)原稿不採用の短い手紙,返送票
rejoice	(…を)『喜ぶ』,うれしがる(delight)《+『at』)『in, over』+『名』(do『ing』》 / 〈人が〉…を喜ぶ / 《古》《しばしば受動態で》〈物事が〉〈人〉を喜ばせる
rejoicing	〈U〉喜び,歓喜 / 《複数形で》歓呼;祝典
rejoin	〈仲間・団体〉に再び加わる,復帰する / …を再び結合させる / …と答える,答弁する(reply) / 答える
rejoinder	(特に,失礼な)答え,答弁
rejuvenate	〈人〉を若返らせる,に元気を取り戻させる / 若返る,元気を取り戻す
rejuvenation	若返り,元気を取り戻すこと
rekindle	〈火〉を再び起こす;…を再び照らす / 再び火がつく;再び明るくなる
rel.	relating / relative / released / religion / religious
relapse	(元の悪い状態に)逆戻りする,再び陥る《+『into』+『名』》 / 〈病気が〉ぶり返す / 逆戻り;堕落 / (病気の)再発
relate	(…に)〈事件・事情など〉を『物語る』《+『名』+『to』+『名』》 / (…と)…を『関係させる』,結びつける《+『名』+『to(with)』+『名』》 / 〈物・事が〉(…に)関係がある,かかわる《+『to(with)』+『名(wh・節・句)』》 / (…に)〈人が〉なじむ,順応する《+『to』+『名』》
related	関係のある
relation	(またrelationship)〈U〉『関係』,関連 / 〈U〉血縁関係,親族関係 / 〈C〉親類,親戚 / 《複数形で》(個人・組織・国などの,相互の)利害関係《+『between』(『with』)+『名』》 / 《文》〈U〉話すこと;〈C〉話,物語
relational	関係の,交渉の / (語が)関係を示す,関係のある / 親類の,血縁関係のある
relationship	=relation 1 / 血縁関係,親族関係
relative	『関係のある』,関連した / 『比較上の』,相対的の / 相互の,相関的な / (文法で)関係を表す / 親類,親戚 / 関係詞,(特に)関係代名詞
relative adverb	関係副詞
relative clause	関係詞節(This is the man who wrote this poem.のwho以下をいう)
relative humidity	(空気の)相対湿度
relative pronoun	関係代名詞
relatively	比較的,相対的に / 《まれ》(…と)関連して;(…に)比べて,(…の)割に《+『to』+『名』》
relativism	(哲学で)相対論,相対主義
relativistic	相対性理論の / (物理で)相対論的速度の
relativity	関係のあること,関連性,相関,相対性 / 《時にR-》(アインシュタインによる)相対性理論
relax	〈緊張・力など〉を『ゆるめる』,和らげる(loosen) / 〈規則など〉を緩和する / 〈人〉を楽にさせる,くつろがせる / 〈緊張・力などが〉『ゆるむ』,和らぐ;〈規則などが〉緩和される / 〈人が〉楽にする,くつろぐ,緊張をほぐす
relaxant	くつろがせる,骨休めになる,気晴らしの
relaxation	(…を)ゆるめること,緩和すること;(…を)ゆるみ;(規則などの)緩和,軽減《+『of』+『名』》 / 休養,くつろぎ,気晴らし,娯楽(diversion)
relaxing	リラックスさせる,心地よい
relay	(駅馬車などの)替え馬,継ぎ馬 / (仕事の)交代,交代班 / 《話》=relay race / (放送の)中継;(電気の)継電器 / (…へ)〈伝言・放送など〉を中継する,中継して伝える《+『名』+『to』+『名』》 / …を敷き直す,敷設し直す
relay race	リレー競走,駅伝競走
release	(束縛・義務などから)〈人・動物など〉を『自由にする』,解放する《+『名』+『from』+『名』》 / 〈矢など〉を放つ,〈爆弾〉を投下する;〈締めつけた物〉をゆるめて放す / 〈ニュースなど〉を発表する;〈レコード・書籍など〉を発売する,〈映画〉を封切りする / (人に)〈権利など〉を譲渡する《+『名』+『to』+『名』》 / (束縛・義務などからの)『解放』,放免,免除《+『from』+『名』》 / (ガスなどの)放出;(爆弾の)投下;(感情の)吐露《+『of』(『to』)+『名』》 / (ニュースなどの)発表;(映画などの)封切り,(レコードなどの)発表 / (機械の)作動装置,レリーズ
relegate	《通例受動態で》(重要でない地位・状態に)〈人・物など〉を追いやる,左遷(させん)する《+『名』+『to』+『名』(do『ing』)》 / (人に)〈仕事・義務など〉をまかせる,委託する《+『名』+『to』+『名』》
relegation	降格 / 左遷,追放 / 追いやること
relent	〈態度・気質・決意などが〉やわらぐ,ゆるむ
relentless	無情な,容赦しない / 絶え間ない,執ような
relentlessly	無情にも,容赦なく;執拗に
relevance	適切 / (…に対する)関連性《+『to』+『名』》
